VelX,VelY,VelZ
(m/s),(m/s),(m/s)
1.181,0.293,-0.957
1.268,0.248,-1.401
1.035,0.248,-0.622
1.435,0.033,-0.467
1.506,0.206,-0.544
1.16,0.126,-0.644
0.788,0.036,-0.578
1.109,0.138,-0.55
1.087,0.134,-0.543
1.4,0.101,-0.766
1.281,0.023,-0.738
1.415,0.016,-1.495
1.038,0.154,-0.939
1.382,0.086,-0.771
1.458,0.083,-0.9
1.111,0.083,-0.785
1.181,0.154,-0.619
0.971,0.096,-0.963
1.149,0.159,-0.711
1.197,0.167,-0.43
0.948,0.111,-0.545
0.837,0.096,-0.429
1.5,0.006,-1.479
1.154,0.117,-0.664
1.518,0.031,-0.85
1.231,0.112,-0.747
1.355,0.112,-0.585
1.259,0.037,-0.856
1.389,0.185,-0.661
1.169,0.145,-1.039
1.373,-0.028,-1.097
0.758,0.118,-0.571
1.303,0.088,-0.706
1.056,0.093,-1.373
0.843,0.055,-0.641
1.403,0.095,-0.156
1.555,-0.111,-1.4
1.219,0.081,-1.065
0.872,0.19,-0.225
1.325,0.142,-1.216
0.87,0.08,-0.461
1.429,0.099,-0.999
1.16,0.155,0.054
1.376,0.146,-0.554
1.335,0.086,-0.767
1.419,0.067,-0.723
1.362,0.105,-0.821
1.281,0.129,-0.835
1.19,0.102,-0.67
0.931,0.121,-0.476
1.165,0.178,-0.529
1.175,0.075,-0.633
1.282,0.089,-0.345
1.545,0.215,-0.325
1.391,0.169,-0.457
1.282,0.071,-1.123
1.238,0.048,-0.773
1.19,0.067,-1.263
1.222,0.053,-1.055
1.612,-0.018,-1.833
0.952,0.063,-1.206
0.723,0.155,-0.474
1.396,0.077,-0.618
1.227,0.178,-0.367
0.878,0.089,-0.679
1.093,0.092,-0.227
1.122,0.124,-0.183
1.25,0.104,-0.295
1.41,0.187,-0.53
1.21,0.126,-1.035
1.53,0.134,-0.935
1.006,0.078,-0.721
1.184,0.15,-0.755
1.071,0.155,-0.721
1.106,0.062,-0.877
1.316,0.068,-1.094
1.525,0.114,-0.966
1.614,0.167,-0.458
1.026,0.128,-0.749
1.396,0.149,-0.676
