VelX,VelY,VelZ
(m/s),(m/s),(m/s)
0.125,-0.172,0.13
-0.053,-0.204,0.148
-0.049,-0.079,-0.091
-0.194,-0.145,-0.586
-0.056,-0.174,0.23
-0.052,-0.093,0.019
0.099,-0.129,-0.218
-0.103,-0.164,-0.696
-0.097,-0.047,-0.067
-0.008,-0.079,-0.285
-0.157,-0.167,-0.654
-0.078,-0.08,-0.329
-0.156,-0.158,-0.249
0.296,-0.159,-0.55
-0.039,-0.069,-0.273
-0.144,-0.068,-0.273
-0.041,-0.055,-0.227
-0.103,-0.204,-0.793
-0.005,-0.029,-0.119
-0.101,-0.023,-0.012
-0.542,-0.155,0.269
0.031,-0.113,-0.221
-0.15,-0.099,-0.394
-0.022,-0.056,-0.083
-0.204,-0.108,-0.183
-0.043,-0.019,-0.014
0.049,-0.246,-0.368
-0.426,-0.106,0.066
0.012,-0.07,0.142
-0.062,-0.115,-0.007
-0.303,-0.103,0.049
-0.305,-0.103,-0.178
-0.039,-0.094,0.053
-0.121,-0.069,-0.012
-0.22,-0.152,-0.085
-0.126,-0.095,-0.074
0.065,-0.276,-0.564
-0.103,-0.05,-0.057
-0.092,-0.084,-0.263
-0.084,-0.122,-0.081
-0.128,-0.109,0.258
-0.039,-0.073,0.233
-0.051,-0.013,-0.104
-0.14,-0.046,-0.166
-0.077,-0.108,0.335
-0.093,-0.214,-0.166
-0.066,-0.153,-0.166
-0.057,-0.216,-0.147
-0.208,-0.135,-0.125
-0.189,-0.133,-0.104
-0.22,-0.102,-0.113
0.396,0.084,0.722
-0.24,-0.043,0.162
0.021,-0.001,0.002
-0.351,-0.129,0.222
-0.223,-0.101,-0.074
-0.106,-0.224,-0.006
-0.536,-0.202,0.45
-0.145,-0.091,-0.053
-0.166,-0.095,0.071
0.009,0.004,0.037
-0.791,-0.167,0.487
-0.259,-0.056,0.091
-0.046,-0.027,-0.126
-0.273,-0.1,-0.241
0.113,0.059,0.01
0.034,0.006,-0.052
-0.159,-0.081,-0.007
-0.556,-0.185,0.409
-0.12,-0.061,0.051
-0.082,-0.02,0.095
-0.182,-0.054,0.068
-0.293,-0.067,0.478
-0.327,-0.088,0.349
-0.392,-0.114,0.065
-0.123,0.006,0.022
-0.219,-0.047,0.011
-0.354,-0.092,0.35
-0.28,-0.171,-0.016
-0.327,-0.084,0.044
