VelX,VelY,VelZ
(m/s),(m/s),(m/s)
0.884,0.005,0.111
0.735,0.035,0.207
0.778,-0.095,-0.189
0.634,-0.051,0.152
0.879,0.05,0.515
0.629,0.003,0.172
0.788,-0.021,-0.039
0.749,0.086,0.712
0.847,0.026,0.113
0.665,-0.054,0.279
0.673,0.076,-0.018
0.781,0.017,0.743
0.541,0.042,0.296
0.598,-0.031,0.16
0.778,0.02,0.342
0.969,-0.011,0.21
0.867,0.03,0.029
0.682,0.057,0.184
0.735,-0.062,0.12
0.836,0.033,0.103
1.065,-0.011,0.131
0.581,-0.042,0.065
1.005,0.026,0.082
0.639,-0.061,-0.1
0.905,0.022,0.02
0.638,0.032,-0.082
0.398,-0.005,0.221
0.887,-0.061,-0.55
0.538,-0.091,-0.344
0.675,0.056,-0.134
0.78,0.053,-0.098
0.741,0.003,-0.077
0.595,-0.055,0.079
0.679,-0.007,0.141
0.744,-0.037,-0.084
0.565,-0.007,0.144
0.782,0.073,0.294
0.824,-0.006,0.161
0.581,-0.011,0.183
0.577,0.028,0.313
0.497,-0.028,-0.057
1.003,0.042,0.163
0.497,-0.004,0.263
0.791,-0.034,0.178
0.546,0.053,0.301
0.637,0.048,0.405
0.509,0.021,-0.198
0.74,0.05,0.164
0.655,0.036,0.126
0.804,-0.003,0.335
0.698,-0.017,0.108
0.635,-0.016,-0.118
0.697,0.03,0.302
0.619,0.015,0.284
0.849,0.158,0.611
0.702,0.153,0.278
0.78,0.061,-0.141
0.688,0.025,0.15
0.486,0.052,0.424
0.739,0.039,0.016
0.913,0.021,0.202
0.735,0.043,0.131
0.806,0.033,-0.828
0.755,0.076,0.133
0.259,-0.099,0.197
0.552,0.034,0.343
0.803,-0.01,0.15
0.798,0.061,0.057
0.555,-0.018,0.161
0.814,0.072,0.22
0.765,0.065,0.236
0.392,0.027,0.092
0.701,0.036,0.157
0.74,-0.013,0.124
0.642,0.062,0.149
0.781,-0.015,-0.154
0.502,0.01,0.291
0.637,-0.016,-0.064
0.535,-0.007,-0.006
0.366,-0.038,0.308
