Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
00,2023,07,13,17,16,46,0.693,-0.171,-0.196,47.37,46.593,47.187,-30.343,-394.194,16476.11,14.698
00,2023,07,13,17,16,46,0.53,-0.071,0.015,46.145,46.375,46.948,-135.959,-343.996,16435.41,14.698
00,2023,07,13,17,16,47,0.472,-0.102,0.035,45.904,47.356,47.1,-87.739,-230.219,16469.72,14.698
00,2023,07,13,17,16,47,0.278,-0.084,-0.158,47.239,45.874,48.143,-89.326,-181.938,16491.52,14.698
00,2023,07,13,17,16,48,0.345,-0.118,0.032,46.758,45.655,47.491,29.485,-47.827,16518.35,14.698
00,2023,07,13,17,16,48,0.479,-0.073,0.029,45.773,45.983,47.143,-168.195,-94.284,16428.77,14.698
00,2023,07,13,17,16,49,0.488,-0.053,0.005,47.72,46.506,47.013,-23.905,30.174,16462.39,14.698
00,2023,07,13,17,16,49,0.454,-0.108,-0.223,45.335,46.419,48.034,-60.917,9.686,16471.85,14.698
00,2023,07,13,17,16,50,0.651,-0.166,-0.197,46.933,45.895,47.86,-91.294,62.936,16494.86,14.698
00,2023,07,13,17,16,50,0.479,-0.147,-0.048,45.773,46.484,46.861,-133.67,-30.923,16521.17,14.698
00,2023,07,13,17,16,51,0.5,-0.108,0.012,47.414,45.437,47.143,-73.567,83.623,16493.2,14.698
00,2023,07,13,17,16,51,0.423,-0.111,-0.111,46.889,44.326,47.534,-65.224,105.722,16472.21,14.698
00,2023,07,13,17,16,52,0.383,-0.066,0.111,46.32,45.786,47.513,-86.207,139.843,16505.17,14.698
00,2023,07,13,17,16,52,0.372,-0.136,0.226,46.648,45.219,47.013,-109.919,128.372,16473.05,14.698
00,2023,07,13,17,16,53,0.548,-0.087,0.212,47.458,46.179,44.97,-65.226,131.478,16484.7,14.698
00,2023,07,13,17,16,53,0.57,-0.1,0.18,45.292,45.198,46.709,-90.548,144.172,16465.06,14.698
00,2023,07,13,17,16,54,0.493,-0.114,0.048,46.889,43.519,43.231,-131.556,26.426,16501.28,14.698
00,2023,07,13,17,16,54,0.534,-0.113,-0.25,46.845,45.568,48.578,-137.997,12.02,16498.19,14.698
00,2023,07,13,17,16,55,0.465,-0.03,0.08,47.677,45.394,46.882,-112.348,15.048,16495.23,14.698
00,2023,07,13,17,16,55,0.612,-0.082,0.05,47.042,46.244,47.904,-131.259,-2.887,16460.04,14.698
00,2023,07,13,17,16,56,0.572,-0.082,0.294,46.189,45.765,48.447,-165.218,-28.053,16480.79,14.698
00,2023,07,13,17,16,56,0.539,-0.121,-0.073,45.248,44.369,47.056,-146.053,-31.332,16482.63,14.698
00,2023,07,13,17,16,57,0.428,-0.103,-0.057,47.392,45.983,49.425,-192.575,-84.065,16468.38,14.698
00,2023,07,13,17,16,57,0.647,-0.064,-0.045,46.451,45.895,47.534,-212.314,-133.245,16494.38,14.698
00,2023,07,13,17,16,58,0.469,-0.112,-0.055,46.429,45.416,45.709,-180.163,-111.052,16491.26,14.698
00,2023,07,13,17,16,58,0.56,-0.042,0.089,46.342,46.026,47.469,-168.388,-65.091,16460.41,14.698
00,2023,07,13,17,16,59,0.455,-0.056,0.247,48.661,45.198,48.599,-213.763,-85.122,16503.37,14.698
00,2023,07,13,17,16,59,0.415,-0.113,-0.176,44.942,46.288,43.97,-162.217,-117.978,16456.33,14.698
00,2023,07,13,17,17,00,0.625,-0.073,-0.146,46.561,45.285,46.578,-168.389,-48.993,16468.21,14.698
00,2023,07,13,17,17,00,0.52,-0.004,0.218,46.364,44.238,46.709,-187.527,-50.572,16461.62,14.698
00,2023,07,13,17,17,01,0.415,-0.115,0.13,47.064,45.525,47.187,-202.164,-101.733,16458.9,14.698
00,2023,07,13,17,17,01,0.573,-0.086,-0.148,46.167,45.219,46.774,-273.204,-229.396,16456.51,14.698
00,2023,07,13,17,17,02,0.772,-0.065,0.245,46.495,44.762,45.317,-249.279,-187.588,16483.45,14.698
00,2023,07,13,17,17,02,0.549,-0.074,-0.195,46.386,45.263,48.339,-245.984,-189.323,16473.91,14.698
00,2023,07,13,17,17,03,0.358,-0.064,0.015,46.758,43.235,47.274,-202.533,-131.893,16478.47,14.698
00,2023,07,13,17,17,03,0.331,-0.092,0.121,47.13,45.001,46.622,-189.154,-39.266,16469.46,14.698
00,2023,07,13,17,17,04,0.584,-0.089,-0.436,47.042,45.11,46.795,-213.749,-138.254,16476.83,14.698
00,2023,07,13,17,17,04,0.324,-0.051,-0.041,44.657,46.68,49.295,-281.502,-193.603,16500.78,14.698
00,2023,07,13,17,17,05,0.472,-0.16,-0.521,46.342,47.138,48.121,-212.328,-171.859,16477.26,14.698
00,2023,07,13,17,17,05,0.483,-0.074,0.031,47.458,47.313,48.143,-169.287,-175.124,16490.56,14.698
00,2023,07,13,17,17,06,0.495,-0.075,-0.041,46.276,46.135,48.599,-193.039,-210.692,16450.74,14.698
00,2023,07,13,17,17,06,0.28,-0.045,0.178,45.97,47.661,45.883,-247.491,-168.497,16475.23,14.698
00,2023,07,13,17,17,07,0.574,-0.063,-0.129,45.839,46.702,46.491,-236.247,-186.312,16462.78,14.698
00,2023,07,13,17,17,07,0.526,-0.078,0.019,45.204,44.086,47.382,-177.06,-181.779,16466.56,14.698
00,2023,07,13,17,17,08,0.495,-0.108,-0.002,44.92,45.459,46.774,-189.833,-180.133,16464.8,14.698
00,2023,07,13,17,17,08,0.307,-0.104,-0.147,46.823,44.958,49.817,-261.496,-117.365,16463.25,14.698
00,2023,07,13,17,17,09,0.494,-0.111,0.153,48.311,44.653,46.535,-206.153,-178.074,16495,14.698
00,2023,07,13,17,17,09,0.646,-0.079,0.126,48.136,45.241,48.795,-226.503,-162.383,16460.99,14.698
00,2023,07,13,17,17,10,0.549,-0.124,-0.066,45.642,45.481,47.404,-251.28,-249.894,16490.61,14.698
00,2023,07,13,17,17,10,0.21,-0.012,0.227,46.298,43.715,46.622,-209.859,-315.902,16475.87,14.698
00,2023,07,13,17,17,11,0.483,-0.025,-0.137,44.373,45.176,46.774,-176.35,-293.441,16495.16,14.698
00,2023,07,13,17,17,11,0.753,-0.015,0.216,45.117,46.026,48.056,-166.456,-293.827,16468.06,14.698
00,2023,07,13,17,17,12,0.788,-0.138,-0.403,45.729,45.459,48.23,-182.635,-314.463,16474.54,14.694
00,2023,07,13,17,17,12,0.282,-0.095,0.118,46.473,46.375,47.361,-169.824,-259.817,16499.61,14.69
