Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 04/11/2021
TIME       : 12:20:37
FILENAME   : C:\Users\361045\Documents\projects\caldera\CSV\GW9_211104122037_U0037.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-U0037  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =GW9
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-U0037  216.
  Instrument number       =          UTC-6     
  Location                =GW9
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:12 29/07/21
  End date / time         =00:45:13 28/10/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2021/07/29 12:00:00,765.808,11.923
2021/07/29 12:15:00,765.983,11.630
2021/07/29 12:30:00,765.983,11.523
2021/07/29 12:45:00,765.808,11.477
2021/07/29 13:00:00,765.633,11.450
2021/07/29 13:15:00,765.808,11.430
2021/07/29 13:30:00,765.808,11.423
2021/07/29 13:45:00,765.633,11.417
2021/07/29 14:00:00,765.458,11.410
2021/07/29 14:15:00,765.458,11.403
2021/07/29 14:30:00,765.458,11.397
2021/07/29 14:45:00,765.283,11.397
2021/07/29 15:00:00,765.283,11.397
2021/07/29 15:15:00,765.283,11.390
2021/07/29 15:30:00,765.283,11.390
2021/07/29 15:45:00,765.108,11.390
2021/07/29 16:00:00,765.283,11.390
2021/07/29 16:15:00,764.933,11.383
2021/07/29 16:30:00,764.933,11.383
2021/07/29 16:45:00,764.583,11.383
2021/07/29 17:00:00,764.758,11.383
2021/07/29 17:15:00,764.583,11.383
2021/07/29 17:30:00,764.408,11.383
2021/07/29 17:45:00,764.408,11.383
2021/07/29 18:00:00,764.233,11.383
2021/07/29 18:15:00,764.583,11.383
2021/07/29 18:30:00,764.583,11.383
2021/07/29 18:45:00,764.583,11.383
2021/07/29 19:00:00,764.583,11.383
2021/07/29 19:15:00,764.758,11.383
2021/07/29 19:30:00,764.933,11.383
2021/07/29 19:45:00,765.108,11.390
2021/07/29 20:00:00,765.633,11.390
2021/07/29 20:15:00,765.458,11.397
2021/07/29 20:30:00,765.633,11.397
2021/07/29 20:45:00,765.633,11.403
2021/07/29 21:00:00,765.808,11.403
2021/07/29 21:15:00,766.158,11.403
2021/07/29 21:30:00,766.508,11.410
2021/07/29 21:45:00,766.683,11.417
2021/07/29 22:00:00,767.033,11.417
2021/07/29 22:15:00,767.150,11.423
2021/07/29 22:30:00,767.150,11.430
2021/07/29 22:45:00,767.150,11.437
2021/07/29 23:00:00,767.325,11.437
2021/07/29 23:15:00,767.325,11.443
2021/07/29 23:30:00,767.325,11.450
2021/07/29 23:45:00,767.325,11.457
2021/07/30 00:00:00,767.325,11.463
2021/07/30 00:15:00,767.500,11.470
2021/07/30 00:30:00,767.500,11.470
2021/07/30 00:45:00,767.500,11.477
2021/07/30 01:00:00,767.675,11.483
2021/07/30 01:15:00,767.325,11.490
2021/07/30 01:30:00,767.325,11.497
2021/07/30 01:45:00,767.325,11.497
2021/07/30 02:00:00,767.325,11.503
2021/07/30 02:15:00,767.325,11.510
2021/07/30 02:30:00,767.325,11.517
2021/07/30 02:45:00,767.150,11.523
2021/07/30 03:00:00,767.150,11.530
2021/07/30 03:15:00,767.150,11.530
2021/07/30 03:30:00,767.033,11.537
2021/07/30 03:45:00,767.150,11.543
2021/07/30 04:00:00,767.150,11.543
2021/07/30 04:15:00,766.858,11.550
2021/07/30 04:30:00,766.683,11.557
2021/07/30 04:45:00,766.858,11.563
2021/07/30 05:00:00,766.858,11.563
2021/07/30 05:15:00,766.858,11.570
2021/07/30 05:30:00,767.033,11.577
2021/07/30 05:45:00,767.033,11.577
2021/07/30 06:00:00,766.858,11.583
2021/07/30 06:15:00,767.033,11.583
2021/07/30 06:30:00,767.150,11.590
2021/07/30 06:45:00,767.150,11.590
2021/07/30 07:00:00,767.150,11.597
2021/07/30 07:15:00,767.325,11.597
2021/07/30 07:30:00,767.325,11.597
2021/07/30 07:45:00,767.500,11.603
2021/07/30 08:00:00,767.500,11.603
2021/07/30 08:15:00,767.675,11.603
2021/07/30 08:30:00,767.850,11.610
2021/07/30 08:45:00,767.675,11.610
2021/07/30 09:00:00,767.850,11.617
2021/07/30 09:15:00,767.850,11.617
2021/07/30 09:30:00,767.675,11.617
2021/07/30 09:45:00,767.850,11.617
2021/07/30 10:00:00,767.850,11.617
2021/07/30 10:15:00,767.850,11.617
2021/07/30 10:30:00,767.850,11.617
2021/07/30 10:45:00,767.850,11.617
2021/07/30 11:00:00,767.675,11.617
2021/07/30 11:15:00,767.850,11.617
2021/07/30 11:30:00,767.850,11.623
2021/07/30 11:45:00,767.675,11.617
2021/07/30 12:00:00,767.675,11.623
2021/07/30 12:15:00,767.675,11.623
2021/07/30 12:30:00,767.500,11.617
2021/07/30 12:45:00,767.500,11.617
2021/07/30 13:00:00,767.325,11.617
2021/07/30 13:15:00,767.150,11.617
2021/07/30 13:30:00,767.150,11.617
2021/07/30 13:45:00,767.033,11.617
2021/07/30 14:00:00,766.858,11.617
2021/07/30 14:15:00,766.858,11.617
2021/07/30 14:30:00,766.858,11.617
2021/07/30 14:45:00,767.033,11.610
2021/07/30 15:00:00,767.033,11.610
2021/07/30 15:15:00,767.033,11.610
2021/07/30 15:30:00,766.858,11.610
2021/07/30 15:45:00,766.858,11.610
2021/07/30 16:00:00,766.683,11.610
2021/07/30 16:15:00,766.683,11.603
2021/07/30 16:30:00,766.683,11.603
2021/07/30 16:45:00,766.858,11.603
2021/07/30 17:00:00,766.858,11.603
2021/07/30 17:15:00,766.683,11.603
2021/07/30 17:30:00,766.683,11.603
2021/07/30 17:45:00,766.858,11.603
2021/07/30 18:00:00,766.683,11.603
2021/07/30 18:15:00,766.858,11.603
2021/07/30 18:30:00,766.683,11.603
2021/07/30 18:45:00,766.858,11.603
2021/07/30 19:00:00,767.150,11.603
2021/07/30 19:15:00,767.325,11.603
2021/07/30 19:30:00,767.150,11.610
2021/07/30 19:45:00,767.150,11.610
2021/07/30 20:00:00,767.150,11.610
2021/07/30 20:15:00,767.150,11.610
2021/07/30 20:30:00,767.150,11.617
2021/07/30 20:45:00,767.033,11.617
2021/07/30 21:00:00,767.150,11.623
2021/07/30 21:15:00,767.500,11.623
2021/07/30 21:30:00,767.500,11.623
2021/07/30 21:45:00,767.675,11.630
2021/07/30 22:00:00,767.850,11.630
2021/07/30 22:15:00,767.850,11.637
2021/07/30 22:30:00,767.850,11.637
2021/07/30 22:45:00,768.200,11.643
2021/07/30 23:00:00,768.025,11.650
2021/07/30 23:15:00,768.025,11.650
2021/07/30 23:30:00,768.025,11.657
2021/07/30 23:45:00,768.200,11.657
2021/07/31 00:00:00,768.200,11.663
2021/07/31 00:15:00,768.200,11.670
2021/07/31 00:30:00,768.200,11.670
2021/07/31 00:45:00,768.200,11.677
2021/07/31 01:00:00,768.200,11.677
2021/07/31 01:15:00,768.025,11.683
2021/07/31 01:30:00,768.025,11.690
2021/07/31 01:45:00,768.025,11.690
2021/07/31 02:00:00,768.025,11.697
2021/07/31 02:15:00,767.675,11.703
2021/07/31 02:30:00,767.675,11.703
2021/07/31 02:45:00,767.850,11.710
2021/07/31 03:00:00,767.675,11.710
2021/07/31 03:15:00,768.025,11.717
2021/07/31 03:30:00,768.025,11.717
2021/07/31 03:45:00,768.025,11.723
2021/07/31 04:00:00,768.200,11.723
2021/07/31 04:15:00,768.025,11.730
2021/07/31 04:30:00,767.850,11.730
2021/07/31 04:45:00,768.200,11.737
2021/07/31 05:00:00,767.850,11.737
2021/07/31 05:15:00,768.025,11.743
2021/07/31 05:30:00,768.025,11.743
2021/07/31 05:45:00,768.025,11.743
2021/07/31 06:00:00,767.850,11.750
2021/07/31 06:15:00,768.025,11.750
2021/07/31 06:30:00,768.200,11.757
2021/07/31 06:45:00,768.200,11.757
2021/07/31 07:00:00,768.200,11.757
2021/07/31 07:15:00,768.375,11.757
2021/07/31 07:30:00,768.375,11.763
2021/07/31 07:45:00,768.550,11.763
2021/07/31 08:00:00,768.550,11.763
2021/07/31 08:15:00,768.725,11.757
2021/07/31 08:30:00,768.725,11.763
2021/07/31 08:45:00,768.725,11.763
2021/07/31 09:00:00,768.725,11.770
2021/07/31 09:15:00,768.725,11.763
2021/07/31 09:30:00,768.900,11.770
2021/07/31 09:45:00,768.725,11.770
2021/07/31 10:00:00,768.900,11.770
2021/07/31 10:15:00,769.075,11.763
2021/07/31 10:30:00,768.900,11.763
2021/07/31 10:45:00,769.075,11.763
2021/07/31 11:00:00,768.725,11.770
2021/07/31 11:15:00,768.900,11.763
2021/07/31 11:30:00,768.900,11.763
2021/07/31 11:45:00,768.900,11.763
2021/07/31 12:00:00,768.725,11.763
2021/07/31 12:15:00,768.550,11.763
2021/07/31 12:30:00,768.725,11.757
2021/07/31 12:45:00,768.725,11.757
2021/07/31 13:00:00,768.550,11.757
2021/07/31 13:15:00,768.550,11.750
2021/07/31 13:30:00,768.550,11.750
2021/07/31 13:45:00,768.375,11.750
2021/07/31 14:00:00,768.025,11.750
2021/07/31 14:15:00,767.675,11.743
2021/07/31 14:30:00,767.675,11.743
2021/07/31 14:45:00,767.850,11.737
2021/07/31 15:00:00,767.850,11.737
2021/07/31 15:15:00,767.675,11.737
2021/07/31 15:30:00,767.850,11.730
2021/07/31 15:45:00,767.850,11.730
2021/07/31 16:00:00,767.675,11.730
2021/07/31 16:15:00,768.025,11.730
2021/07/31 16:30:00,768.025,11.723
2021/07/31 16:45:00,768.025,11.723
2021/07/31 17:00:00,768.200,11.723
2021/07/31 17:15:00,768.200,11.717
2021/07/31 17:30:00,768.025,11.717
2021/07/31 17:45:00,768.025,11.717
2021/07/31 18:00:00,768.025,11.717
