Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 04/11/2021
TIME       : 12:20:38
FILENAME   : C:\Users\361045\Documents\projects\caldera\CSV\P1-B_211104122038_U8153.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-U8153  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =P1-B
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-U8153  216.
  Instrument number       =          UTC-6     
  Location                =P1-B
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:12 29/07/21
  End date / time         =00:45:12 28/10/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2021/07/29 12:00:00,776.017,14.683
2021/07/29 12:15:00,776.017,15.060
2021/07/29 12:30:00,775.842,15.380
2021/07/29 12:45:00,776.017,15.647
2021/07/29 13:00:00,775.842,15.887
2021/07/29 13:15:00,775.842,16.133
2021/07/29 13:30:00,775.667,16.360
2021/07/29 13:45:00,775.550,16.520
2021/07/29 14:00:00,775.550,16.653
2021/07/29 14:15:00,775.200,16.770
2021/07/29 14:30:00,775.200,16.837
2021/07/29 14:45:00,775.083,16.790
2021/07/29 15:00:00,775.025,16.607
2021/07/29 15:15:00,775.025,16.373
2021/07/29 15:30:00,774.733,16.193
2021/07/29 15:45:00,774.908,15.967
2021/07/29 16:00:00,774.558,15.747
2021/07/29 16:15:00,774.733,15.547
2021/07/29 16:30:00,774.442,15.347
2021/07/29 16:45:00,774.092,15.133
2021/07/29 17:00:00,774.092,14.903
2021/07/29 17:15:00,774.092,14.630
2021/07/29 17:30:00,773.800,14.370
2021/07/29 17:45:00,773.742,14.103
2021/07/29 18:00:00,773.625,13.850
2021/07/29 18:15:00,773.742,13.577
2021/07/29 18:30:00,773.742,13.350
2021/07/29 18:45:00,774.092,13.173
2021/07/29 19:00:00,773.917,12.967
2021/07/29 19:15:00,773.917,12.707
2021/07/29 19:30:00,774.383,12.460
2021/07/29 19:45:00,774.208,12.240
2021/07/29 20:00:00,774.558,12.047
2021/07/29 20:15:00,774.675,11.867
2021/07/29 20:30:00,774.850,11.700
2021/07/29 20:45:00,774.850,11.550
2021/07/29 21:00:00,775.317,11.410
2021/07/29 21:15:00,775.492,11.277
2021/07/29 21:30:00,775.958,11.163
2021/07/29 21:45:00,775.958,11.063
2021/07/29 22:00:00,776.308,10.963
2021/07/29 22:15:00,776.425,10.877
2021/07/29 22:30:00,776.425,10.783
2021/07/29 22:45:00,776.600,10.703
2021/07/29 23:00:00,776.775,10.623
2021/07/29 23:15:00,776.600,10.557
2021/07/29 23:30:00,776.600,10.490
2021/07/29 23:45:00,776.892,10.423
2021/07/30 00:00:00,776.775,10.357
2021/07/30 00:15:00,776.892,10.297
2021/07/30 00:30:00,777.067,10.237
2021/07/30 00:45:00,776.775,10.183
2021/07/30 01:00:00,776.892,10.130
2021/07/30 01:15:00,776.775,10.077
2021/07/30 01:30:00,776.775,10.030
2021/07/30 01:45:00,776.775,10.003
2021/07/30 02:00:00,776.600,10.000
2021/07/30 02:15:00,776.425,10.000
2021/07/30 02:30:00,776.775,10.003
2021/07/30 02:45:00,776.600,10.010
2021/07/30 03:00:00,776.600,10.017
2021/07/30 03:15:00,776.425,10.030
2021/07/30 03:30:00,776.425,10.030
2021/07/30 03:45:00,776.250,10.023
2021/07/30 04:00:00,776.250,10.010
2021/07/30 04:15:00,776.133,9.977
2021/07/30 04:30:00,775.958,9.937
2021/07/30 04:45:00,775.958,9.890
2021/07/30 05:00:00,776.133,9.843
2021/07/30 05:15:00,775.958,9.787
2021/07/30 05:30:00,776.075,9.733
2021/07/30 05:45:00,776.133,9.680
2021/07/30 06:00:00,775.958,9.633
2021/07/30 06:15:00,776.133,9.583
2021/07/30 06:30:00,776.250,9.543
2021/07/30 06:45:00,776.250,9.510
2021/07/30 07:00:00,776.425,9.483
2021/07/30 07:15:00,776.425,9.477
2021/07/30 07:30:00,776.425,9.483
2021/07/30 07:45:00,776.425,9.503
2021/07/30 08:00:00,776.600,9.543
2021/07/30 08:15:00,776.775,9.607
2021/07/30 08:30:00,776.892,9.680
2021/07/30 08:45:00,776.892,9.760
2021/07/30 09:00:00,776.892,9.883
2021/07/30 09:15:00,777.067,10.050
2021/07/30 09:30:00,776.892,10.243
2021/07/30 09:45:00,777.067,10.477
2021/07/30 10:00:00,777.067,10.737
2021/07/30 10:15:00,777.067,11.030
2021/07/30 10:30:00,776.892,11.410
2021/07/30 10:45:00,776.950,11.880
2021/07/30 11:00:00,776.775,12.347
2021/07/30 11:15:00,776.892,12.987
2021/07/30 11:30:00,776.600,13.610
2021/07/30 11:45:00,776.483,14.183
2021/07/30 12:00:00,776.308,14.670
2021/07/30 12:15:00,776.600,15.013
2021/07/30 12:30:00,776.308,15.007
2021/07/30 12:45:00,776.308,15.093
2021/07/30 13:00:00,776.017,15.380
2021/07/30 13:15:00,776.133,15.713
2021/07/30 13:30:00,775.842,15.687
2021/07/30 13:45:00,775.550,15.593
2021/07/30 14:00:00,775.492,15.607
2021/07/30 14:15:00,775.550,15.653
2021/07/30 14:30:00,775.492,15.707
2021/07/30 14:45:00,775.375,15.747
2021/07/30 15:00:00,775.375,15.607
2021/07/30 15:15:00,775.492,15.520
2021/07/30 15:30:00,775.200,15.460
2021/07/30 15:45:00,775.200,15.507
2021/07/30 16:00:00,775.200,15.413
2021/07/30 16:15:00,775.025,15.340
2021/07/30 16:30:00,775.025,15.280
2021/07/30 16:45:00,775.200,15.093
2021/07/30 17:00:00,775.025,14.777
2021/07/30 17:15:00,774.733,14.403
2021/07/30 17:30:00,774.908,14.057
2021/07/30 17:45:00,774.908,13.743
2021/07/30 18:00:00,774.733,13.443
2021/07/30 18:15:00,774.850,13.160
2021/07/30 18:30:00,775.025,12.880
2021/07/30 18:45:00,775.025,12.633
2021/07/30 19:00:00,775.317,12.420
2021/07/30 19:15:00,775.783,12.247
2021/07/30 19:30:00,775.492,12.100
2021/07/30 19:45:00,775.492,11.947
2021/07/30 20:00:00,775.492,11.807
2021/07/30 20:15:00,775.200,11.673
2021/07/30 20:30:00,775.317,11.550
2021/07/30 20:45:00,775.317,11.430
2021/07/30 21:00:00,775.492,11.310
2021/07/30 21:15:00,775.492,11.197
2021/07/30 21:30:00,775.667,11.077
2021/07/30 21:45:00,775.783,10.963
2021/07/30 22:00:00,775.958,10.857
2021/07/30 22:15:00,775.783,10.757
2021/07/30 22:30:00,775.958,10.657
2021/07/30 22:45:00,776.133,10.570
2021/07/30 23:00:00,776.133,10.483
2021/07/30 23:15:00,776.250,10.397
2021/07/30 23:30:00,776.133,10.323
2021/07/30 23:45:00,776.250,10.257
2021/07/31 00:00:00,776.250,10.190
2021/07/31 00:15:00,776.425,10.130
2021/07/31 00:30:00,776.250,10.070
2021/07/31 00:45:00,776.133,10.003
2021/07/31 01:00:00,776.133,9.950
2021/07/31 01:15:00,776.133,9.897
2021/07/31 01:30:00,776.133,9.850
2021/07/31 01:45:00,775.958,9.810
2021/07/31 02:00:00,776.133,9.767
2021/07/31 02:15:00,775.958,9.733
2021/07/31 02:30:00,775.958,9.700
2021/07/31 02:45:00,775.958,9.667
2021/07/31 03:00:00,775.958,9.640
2021/07/31 03:15:00,775.958,9.607
2021/07/31 03:30:00,775.958,9.583
2021/07/31 03:45:00,775.958,9.557
2021/07/31 04:00:00,776.075,9.537
2021/07/31 04:15:00,776.133,9.517
2021/07/31 04:30:00,775.783,9.497
2021/07/31 04:45:00,775.783,9.470
2021/07/31 05:00:00,775.958,9.450
2021/07/31 05:15:00,775.958,9.423
2021/07/31 05:30:00,775.958,9.393
2021/07/31 05:45:00,775.958,9.367
2021/07/31 06:00:00,775.958,9.333
2021/07/31 06:15:00,776.075,9.307
2021/07/31 06:30:00,776.075,9.280
2021/07/31 06:45:00,776.075,9.260
2021/07/31 07:00:00,776.075,9.247
2021/07/31 07:15:00,776.075,9.260
2021/07/31 07:30:00,776.250,9.300
2021/07/31 07:45:00,776.425,9.360
2021/07/31 08:00:00,776.425,9.430
2021/07/31 08:15:00,776.425,9.510
2021/07/31 08:30:00,776.600,9.590
2021/07/31 08:45:00,776.775,9.680
2021/07/31 09:00:00,776.600,9.810
2021/07/31 09:15:00,776.600,9.990
2021/07/31 09:30:00,776.600,10.190
2021/07/31 09:45:00,776.600,10.390
2021/07/31 10:00:00,776.600,10.583
2021/07/31 10:15:00,776.600,10.837
2021/07/31 10:30:00,776.775,11.183
2021/07/31 10:45:00,776.775,11.590
2021/07/31 11:00:00,776.483,12.067
2021/07/31 11:15:00,776.600,12.673
2021/07/31 11:30:00,776.775,13.273
2021/07/31 11:45:00,776.483,13.850
2021/07/31 12:00:00,776.308,14.377
2021/07/31 12:15:00,776.308,14.757
2021/07/31 12:30:00,776.308,15.113
2021/07/31 12:45:00,776.483,15.047
2021/07/31 13:00:00,776.308,14.997
2021/07/31 13:15:00,776.017,14.877
2021/07/31 13:30:00,776.133,14.703
2021/07/31 13:45:00,775.842,14.670
2021/07/31 14:00:00,775.492,14.630
2021/07/31 14:15:00,775.375,14.670
2021/07/31 14:30:00,775.492,14.830
2021/07/31 14:45:00,775.200,14.843
2021/07/31 15:00:00,775.492,14.650
2021/07/31 15:15:00,775.025,14.350
2021/07/31 15:30:00,775.317,14.043
2021/07/31 15:45:00,775.375,13.757
2021/07/31 16:00:00,775.375,13.477
2021/07/31 16:15:00,775.667,13.247
2021/07/31 16:30:00,775.492,13.053
2021/07/31 16:45:00,775.667,12.907
2021/07/31 17:00:00,775.667,12.787
2021/07/31 17:15:00,775.667,12.653
