Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 04/11/2021
TIME       : 12:20:41
FILENAME   : C:\Users\361045\Documents\projects\caldera\CSV\P5-C_211104122041_P3980.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-P3980  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =P5-C
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-P3980  216.
  Instrument number       =          UTC-6     
  Location                =P5-C
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:12 29/07/21
  End date / time         =00:45:13 28/10/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2021/07/29 12:00:00,513.633,14.773
2021/07/29 12:15:00,513.400,15.030
2021/07/29 12:30:00,512.933,15.323
2021/07/29 12:45:00,512.817,15.633
2021/07/29 13:00:00,512.292,15.910
2021/07/29 13:15:00,511.825,16.197
2021/07/29 13:30:00,511.358,16.433
2021/07/29 13:45:00,511.358,16.587
2021/07/29 14:00:00,511.008,16.720
2021/07/29 14:15:00,510.833,16.813
2021/07/29 14:30:00,510.833,16.877
2021/07/29 14:45:00,510.717,16.713
2021/07/29 15:00:00,510.833,16.380
2021/07/29 15:15:00,511.008,16.210
2021/07/29 15:30:00,511.067,16.037
2021/07/29 15:45:00,511.358,15.687
2021/07/29 16:00:00,511.358,15.467
2021/07/29 16:15:00,511.592,15.223
2021/07/29 16:30:00,511.767,15.030
2021/07/29 16:45:00,511.767,14.753
2021/07/29 17:00:00,512.000,14.503
2021/07/29 17:15:00,512.000,14.210
2021/07/29 17:30:00,512.233,13.953
2021/07/29 17:45:00,512.292,13.707
2021/07/29 18:00:00,512.467,13.423
2021/07/29 18:15:00,512.933,13.113
2021/07/29 18:30:00,513.167,12.940
2021/07/29 18:45:00,513.225,12.773
2021/07/29 19:00:00,513.575,12.483
2021/07/29 19:15:00,513.983,12.180
2021/07/29 19:30:00,514.392,11.947
2021/07/29 19:45:00,514.683,11.750
2021/07/29 20:00:00,515.150,11.563
2021/07/29 20:15:00,515.617,11.383
2021/07/29 20:30:00,515.500,11.220
2021/07/29 20:45:00,515.967,11.073
2021/07/29 21:00:00,516.317,10.940
2021/07/29 21:15:00,516.725,10.810
2021/07/29 21:30:00,517.250,10.717
2021/07/29 21:45:00,517.367,10.637
2021/07/29 22:00:00,517.600,10.550
2021/07/29 22:15:00,517.892,10.463
2021/07/29 22:30:00,518.067,10.367
2021/07/29 22:45:00,518.242,10.287
2021/07/29 23:00:00,518.592,10.213
2021/07/29 23:15:00,518.533,10.160
2021/07/29 23:30:00,518.592,10.107
2021/07/29 23:45:00,518.708,10.033
2021/07/30 00:00:00,518.708,9.963
2021/07/30 00:15:00,518.825,9.910
2021/07/30 00:30:00,518.708,9.847
2021/07/30 00:45:00,518.767,9.800
2021/07/30 01:00:00,518.825,9.753
2021/07/30 01:15:00,518.650,9.697
2021/07/30 01:30:00,518.767,9.663
2021/07/30 01:45:00,518.825,9.683
2021/07/30 02:00:00,518.650,9.697
2021/07/30 02:15:00,518.708,9.703
2021/07/30 02:30:00,518.708,9.740
2021/07/30 02:45:00,518.650,9.753
2021/07/30 03:00:00,518.475,9.767
2021/07/30 03:15:00,518.533,9.773
2021/07/30 03:30:00,518.358,9.773
2021/07/30 03:45:00,518.300,9.753
2021/07/30 04:00:00,518.300,9.710
2021/07/30 04:15:00,517.950,9.663
2021/07/30 04:30:00,518.067,9.610
2021/07/30 04:45:00,518.125,9.567
2021/07/30 05:00:00,518.300,9.500
2021/07/30 05:15:00,518.358,9.433
2021/07/30 05:30:00,518.475,9.363
2021/07/30 05:45:00,518.358,9.317
2021/07/30 06:00:00,518.358,9.267
2021/07/30 06:15:00,518.708,9.220
2021/07/30 06:30:00,518.708,9.180
2021/07/30 06:45:00,518.708,9.160
2021/07/30 07:00:00,519.000,9.173
2021/07/30 07:15:00,518.708,9.290
2021/07/30 07:30:00,518.708,9.253
2021/07/30 07:45:00,518.825,9.290
2021/07/30 08:00:00,518.883,9.423
2021/07/30 08:15:00,519.058,9.480
2021/07/30 08:30:00,519.000,9.670
2021/07/30 08:45:00,518.533,10.167
2021/07/30 09:00:00,518.592,10.457
2021/07/30 09:15:00,518.358,10.677
2021/07/30 09:30:00,518.125,10.933
2021/07/30 09:45:00,518.125,10.903
2021/07/30 10:00:00,517.950,10.940
2021/07/30 10:15:00,517.600,11.153
2021/07/30 10:30:00,517.425,11.530
2021/07/30 10:45:00,516.958,11.980
2021/07/30 11:00:00,516.142,12.637
2021/07/30 11:15:00,515.383,13.423
2021/07/30 11:30:00,514.742,14.040
2021/07/30 11:45:00,514.392,14.483
2021/07/30 12:00:00,513.633,14.867
2021/07/30 12:15:00,513.575,15.137
