Date_Time,Barom,Temperature
9/18/2023 0:00,754.025,6.573
9/18/2023 0:15,754.142,6.593
9/18/2023 0:30,754.142,6.547
9/18/2023 0:45,754.317,6.357
9/18/2023 1:00,754.142,6.083
9/18/2023 1:15,754.025,6.057
9/18/2023 1:30,754.025,5.82
9/18/2023 1:45,754.142,5.627
9/18/2023 2:00,753.85,5.67
9/18/2023 2:15,753.85,5.683
9/18/2023 2:30,753.85,5.62
9/18/2023 2:45,753.558,5.52
9/18/2023 3:00,753.675,5.71
9/18/2023 3:15,753.558,5.633
9/18/2023 3:30,753.383,5.26
9/18/2023 3:45,753.208,5.213
9/18/2023 4:00,753.383,5.15
9/18/2023 4:15,753.208,5.213
9/18/2023 4:30,753.383,5.157
9/18/2023 4:45,753.383,4.987
9/18/2023 5:00,753.383,4.683
9/18/2023 5:15,753.208,4.783
9/18/2023 5:30,753.092,4.717
9/18/2023 5:45,753.092,4.64
9/18/2023 6:00,753.092,4.81
9/18/2023 6:15,753.092,4.737
9/18/2023 6:30,753.092,4.717
9/18/2023 6:45,753.092,4.803
9/18/2023 7:00,753.092,4.953
9/18/2023 7:15,753.208,5.28
9/18/2023 7:30,753.383,6.2
9/18/2023 7:45,753.558,8.003
9/18/2023 8:00,753.675,8.473
9/18/2023 8:15,753.675,9.133
9/18/2023 8:30,753.85,9.87
9/18/2023 8:45,753.675,10.453
9/18/2023 9:00,754.025,11.3
9/18/2023 9:15,754.025,12.253
9/18/2023 9:30,754.025,12.917
9/18/2023 9:45,754.025,15.327
9/18/2023 10:00,754.025,16.38
9/18/2023 10:15,754.142,17.36
9/18/2023 10:30,754.025,18.3
9/18/2023 10:45,753.85,20.423
9/18/2023 11:00,753.675,20.767
9/18/2023 11:15,753.675,18.48
9/18/2023 11:30,753.558,18.79
9/18/2023 11:45,753.383,19.48
9/18/2023 12:00,753.558,19.3
9/18/2023 12:15,753.383,22.993
9/18/2023 12:30,753.267,29.283
9/18/2023 12:45,752.917,30.86
9/18/2023 13:00,752.8,29.677
9/18/2023 13:15,752.742,21.933
9/18/2023 13:30,752.45,19.06
9/18/2023 13:45,752.45,17.963
9/18/2023 14:00,752.158,17.16
9/18/2023 14:15,751.983,16.3
9/18/2023 14:30,752.158,15.563
9/18/2023 14:45,752.275,15.04
9/18/2023 15:00,751.983,14.923
9/18/2023 15:15,752.275,15.093
9/18/2023 15:30,751.983,15.193
9/18/2023 15:45,751.692,15.14
9/18/2023 16:00,751.342,15.663
9/18/2023 16:15,751.517,18.797
9/18/2023 16:30,751.342,20.243
9/18/2023 16:45,751.692,17.333
9/18/2023 17:00,751.808,16.193
9/18/2023 17:15,751.692,15.95
9/18/2023 17:30,751.517,14.863
9/18/2023 17:45,751.808,14.073
9/18/2023 18:00,751.983,12.97
9/18/2023 18:15,751.983,11.36
9/18/2023 18:30,751.983,10.863
9/18/2023 18:45,751.808,10.937
9/18/2023 19:00,751.808,11.06
9/18/2023 19:15,751.692,10.327
9/18/2023 19:30,751.517,9.29
9/18/2023 19:45,751.517,8.72
9/18/2023 20:00,751.517,8.357
9/18/2023 20:15,751.692,8.113
9/18/2023 20:30,751.692,8.067
9/18/2023 20:45,751.692,8.31
9/18/2023 21:00,751.692,8.05
9/18/2023 21:15,751.983,8.08
9/18/2023 21:30,751.983,7.997
9/18/2023 21:45,751.983,7.67
9/18/2023 22:00,751.983,8.023
9/18/2023 22:15,751.808,7.507
9/18/2023 22:30,751.983,6.95
9/18/2023 22:45,751.808,6.92
9/18/2023 23:00,751.983,6.78
9/18/2023 23:15,751.517,6.437
9/18/2023 23:30,751.692,6.357
9/18/2023 23:45,751.692,6.927
9/19/2023 0:00,751.517,7.52
9/19/2023 0:15,751.692,7.78
9/19/2023 0:30,751.692,7.397
9/19/2023 0:45,751.517,7.07
9/19/2023 1:00,751.225,6.737
9/19/2023 1:15,751.517,6.723
9/19/2023 1:30,751.692,7.27
9/19/2023 1:45,751.808,7.73
9/19/2023 2:00,751.517,6.827
9/19/2023 2:15,751.517,6.077
9/19/2023 2:30,751.342,6.03
9/19/2023 2:45,751.342,6.123
9/19/2023 3:00,751.342,5.867
9/19/2023 3:15,751.05,5.677
9/19/2023 3:30,751.05,5.527
9/19/2023 3:45,750.758,5.233
9/19/2023 4:00,750.875,5.15
9/19/2023 4:15,750.583,4.907
9/19/2023 4:30,750.583,4.797
9/19/2023 4:45,750.875,5.15
9/19/2023 5:00,750.758,4.993
9/19/2023 5:15,750.875,6.043
9/19/2023 5:30,750.875,6.267
9/19/2023 5:45,750.875,6.147
9/19/2023 6:00,750.583,5.82
9/19/2023 6:15,750.583,5.35
9/19/2023 6:30,750.758,5.18
9/19/2023 6:45,750.758,5.167
9/19/2023 7:00,750.758,4.973
9/19/2023 7:15,750.583,4.823
9/19/2023 7:30,750.758,5.023
9/19/2023 7:45,751.05,6.147
9/19/2023 8:00,751.05,6.297
9/19/2023 8:15,751.225,6.507
9/19/2023 8:30,751.225,6.997
9/19/2023 8:45,751.225,7.697
9/19/2023 9:00,751.225,8.813
9/19/2023 9:15,751.225,10.353
9/19/2023 9:30,751.225,13.883
9/19/2023 9:45,751.342,17.757
9/19/2023 10:00,751.342,24.87
9/19/2023 10:15,751.4,28.573
9/19/2023 10:30,751.4,28.057
9/19/2023 10:45,751.517,25.727
9/19/2023 11:00,751.342,22.193
9/19/2023 11:15,751.342,18.053
9/19/2023 11:30,751.342,17.473
9/19/2023 11:45,751.342,17.597
9/19/2023 12:00,751.342,17.427
9/19/2023 12:15,751.517,21.897
9/19/2023 12:30,751.05,27.85
9/19/2023 12:45,751.05,30.557
9/19/2023 13:00,750.933,32.747
9/19/2023 13:15,750.933,31.313
9/19/2023 13:30,750.758,32.717
9/19/2023 13:45,750.583,31.61
9/19/2023 14:00,750.583,31.407
9/19/2023 14:15,750.583,21.897
9/19/2023 14:30,750.292,18.53
9/19/2023 14:45,750.292,18.38
9/19/2023 15:00,750.292,18.563
9/19/2023 15:15,750.117,19.427
9/19/2023 15:30,750.117,18.67
9/19/2023 15:45,750,19.207
9/19/2023 16:00,750.117,27.727
9/19/2023 16:15,749.825,21.913
9/19/2023 16:30,749.65,27.41
9/19/2023 16:45,749.65,25.443
9/19/2023 17:00,749.65,28.567
9/19/2023 17:15,749.475,25.387
9/19/2023 17:30,749.65,18.32
9/19/2023 17:45,750,16.053
9/19/2023 18:00,750,14.487
9/19/2023 18:15,750.117,12.637
9/19/2023 18:30,750,11.823
9/19/2023 18:45,750,11.413
9/19/2023 19:00,750.117,10.597
9/19/2023 19:15,750.117,9.74
9/19/2023 19:30,750.292,9.27
9/19/2023 19:45,750.292,8.78
9/19/2023 20:00,750.292,8.48
9/19/2023 20:15,750.292,8.167
9/19/2023 20:30,750.408,7.97
9/19/2023 20:45,750.408,7.833
9/19/2023 21:00,750.583,7.553
9/19/2023 21:15,750.583,7.433
9/19/2023 21:30,750.583,7.153
9/19/2023 21:45,750.758,6.937
9/19/2023 22:00,750.758,6.71
9/19/2023 22:15,750.758,6.357
9/19/2023 22:30,750.875,6.24
9/19/2023 22:45,750.875,6.22
9/19/2023 23:00,750.758,5.997
9/19/2023 23:15,750.875,5.907
9/19/2023 23:30,750.875,5.79
9/19/2023 23:45,750.758,6.017
9/20/2023 0:00,750.583,5.97
9/20/2023 0:15,750.758,5.92
9/20/2023 0:30,750.758,5.873
9/20/2023 0:45,750.758,5.73
9/20/2023 1:00,750.758,5.703
9/20/2023 1:15,750.583,5.613
9/20/2023 1:30,750.758,5.443
9/20/2023 1:45,750.583,5.337
9/20/2023 2:00,750.408,5.273
9/20/2023 2:15,750.408,5.103
9/20/2023 2:30,750.583,4.71
9/20/2023 2:45,750.408,5.09
9/20/2023 3:00,750.583,5.6
9/20/2023 3:15,750.292,4.873
9/20/2023 3:30,750.292,4.64
9/20/2023 3:45,750.408,4.41
9/20/2023 4:00,750.292,4.007
9/20/2023 4:15,750.292,3.96
9/20/2023 4:30,750.117,4.327
9/20/2023 4:45,750.117,3.593
9/20/2023 5:00,750.117,2.777
9/20/2023 5:15,750.117,2.92
9/20/2023 5:30,750.117,2.967
9/20/2023 5:45,750.292,2.57
9/20/2023 6:00,750.292,2.537
9/20/2023 6:15,750.408,2.66
9/20/2023 6:30,750.408,2.77
9/20/2023 6:45,750.758,2.757
9/20/2023 7:00,750.583,2.87
9/20/2023 7:15,750.758,3.373
9/20/2023 7:30,750.583,3.41
9/20/2023 7:45,750.758,4.327
9/20/2023 8:00,750.875,5.063
9/20/2023 8:15,750.875,5.207
9/20/2023 8:30,751.05,5.573
9/20/2023 8:45,751.225,6.153
9/20/2023 9:00,751.225,7.39
9/20/2023 9:15,751.225,9.78
9/20/2023 9:30,751.342,14.663
9/20/2023 9:45,751.517,17.22
9/20/2023 10:00,751.517,25.677
9/20/2023 10:15,751.4,28.78
9/20/2023 10:30,751.517,29.65
9/20/2023 10:45,751.692,25.897
9/20/2023 11:00,751.517,20.61
9/20/2023 11:15,751.692,18.007
9/20/2023 11:30,751.517,19.053
9/20/2023 11:45,751.342,19.83
9/20/2023 12:00,751.342,20.533
9/20/2023 12:15,751.342,23.32
9/20/2023 12:30,751.05,24.023
9/20/2023 12:45,751.05,23.32
9/20/2023 13:00,750.758,22.037
9/20/2023 13:15,750.875,22.243
9/20/2023 13:30,750.758,24.663
9/20/2023 13:45,751.05,21.78
9/20/2023 14:00,750.758,20.497
9/20/2023 14:15,750.875,18.883
9/20/2023 14:30,750.875,17.087
9/20/2023 14:45,750.875,16.067
9/20/2023 15:00,750.875,15.367
9/20/2023 15:15,751.05,14.777
