Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/12/2023
TIME       : 12:47:46
FILENAME   : C:\Users\nicol\AppData\Roaming\DiverOffice\La Jara Creek\CSV\EXP-09-18-23-P2_231205124746_N2768.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-N2768  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =EXP-09-18-23-P2
  Sample period           =S10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-N2768  216.
  Instrument number       =          UTC-6     
  Location                =EXP-09-18-23-P2
  Sample period           =00 00:00:10 0
  Sample method           =T   
  Start date / time       =00:00:12 18/09/23
  End date / time         =50:11:11 19/09/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2023/09/18 12:00:00,752.683,18.360
2023/09/18 12:00:10,752.683,18.320
2023/09/18 12:00:20,752.858,18.287
2023/09/18 12:00:30,752.858,18.247
2023/09/18 12:00:40,752.858,18.213
2023/09/18 12:00:50,752.858,18.173
2023/09/18 12:01:00,752.858,18.133
2023/09/18 12:01:10,752.858,18.100
2023/09/18 12:01:20,752.858,18.067
2023/09/18 12:01:30,752.858,18.033
2023/09/18 12:01:40,752.858,18.000
2023/09/18 12:01:50,752.858,17.967
2023/09/18 12:02:00,752.683,17.933
2023/09/18 12:02:10,752.508,17.907
2023/09/18 12:02:20,752.683,17.873
2023/09/18 12:02:30,752.683,17.840
2023/09/18 12:02:40,752.683,17.813
2023/09/18 12:02:50,752.683,17.787
2023/09/18 12:03:00,752.858,17.753
2023/09/18 12:03:10,752.858,17.733
2023/09/18 12:03:20,753.033,17.707
2023/09/18 12:03:30,752.858,17.680
2023/09/18 12:03:40,752.858,17.660
2023/09/18 12:03:50,752.683,17.633
2023/09/18 12:04:00,752.858,17.613
2023/09/18 12:04:10,752.683,17.593
2023/09/18 12:04:20,752.683,17.567
2023/09/18 12:04:30,753.033,17.547
2023/09/18 12:04:40,752.858,17.527
2023/09/18 12:04:50,752.858,17.507
2023/09/18 12:05:00,752.858,17.487
2023/09/18 12:05:10,752.858,17.460
2023/09/18 12:05:20,752.683,17.440
2023/09/18 12:05:30,752.858,17.420
2023/09/18 12:05:40,752.683,17.400
2023/09/18 12:05:50,752.858,17.380
2023/09/18 12:06:00,752.858,17.360
2023/09/18 12:06:10,753.033,17.340
2023/09/18 12:06:20,752.683,17.320
2023/09/18 12:06:30,752.683,17.300
2023/09/18 12:06:40,752.683,17.280
2023/09/18 12:06:50,752.683,17.260
2023/09/18 12:07:00,752.858,17.240
2023/09/18 12:07:10,752.683,17.220
2023/09/18 12:07:20,752.683,17.200
2023/09/18 12:07:30,752.858,17.187
2023/09/18 12:07:40,752.683,17.167
2023/09/18 12:07:50,752.683,17.140
2023/09/18 12:08:00,752.683,17.120
2023/09/18 12:08:10,752.858,17.100
2023/09/18 12:08:20,752.683,17.080
2023/09/18 12:08:30,752.683,17.060
2023/09/18 12:08:40,752.683,17.040
2023/09/18 12:08:50,752.858,17.020
2023/09/18 12:09:00,752.858,17.000
2023/09/18 12:09:10,752.858,16.987
2023/09/18 12:09:20,752.858,16.967
2023/09/18 12:09:30,752.858,16.953
2023/09/18 12:09:40,752.858,16.933
2023/09/18 12:09:50,752.683,16.920
2023/09/18 12:10:00,752.858,16.907
2023/09/18 12:10:10,752.858,16.893
2023/09/18 12:10:20,752.683,16.880
2023/09/18 12:10:30,753.033,16.867
2023/09/18 12:10:40,752.683,16.847
2023/09/18 12:10:50,752.858,16.833
2023/09/18 12:11:00,752.858,16.820
2023/09/18 12:11:10,752.858,16.807
2023/09/18 12:11:20,752.858,16.793
2023/09/18 12:11:30,752.683,16.780
2023/09/18 12:11:40,752.683,16.767
2023/09/18 12:11:50,752.683,16.753
2023/09/18 12:12:00,752.858,16.740
2023/09/18 12:12:10,752.858,16.733
2023/09/18 12:12:20,752.508,16.720
2023/09/18 12:12:30,752.858,16.707
2023/09/18 12:12:40,752.683,16.693
2023/09/18 12:12:50,752.683,16.687
2023/09/18 12:13:00,752.858,16.673
2023/09/18 12:13:10,752.858,16.660
2023/09/18 12:13:20,752.683,16.653
2023/09/18 12:13:30,752.858,16.640
2023/09/18 12:13:40,752.858,16.627
2023/09/18 12:13:50,752.683,16.620
2023/09/18 12:14:00,752.683,16.607
2023/09/18 12:14:10,752.858,16.600
2023/09/18 12:14:20,752.858,16.593
2023/09/18 12:14:30,752.858,16.580
2023/09/18 12:14:40,752.683,16.573
2023/09/18 12:14:50,753.033,16.560
2023/09/18 12:15:00,752.683,16.547
2023/09/18 12:15:10,752.858,16.540
2023/09/18 12:15:20,752.858,16.527
2023/09/18 12:15:30,752.858,16.513
2023/09/18 12:15:40,752.858,16.500
2023/09/18 12:15:50,752.858,16.487
2023/09/18 12:16:00,752.858,16.467
2023/09/18 12:16:10,752.858,16.453
2023/09/18 12:16:20,752.858,16.433
2023/09/18 12:16:30,752.858,16.420
2023/09/18 12:16:40,752.858,16.400
2023/09/18 12:16:50,752.858,16.387
2023/09/18 12:17:00,752.683,16.367
2023/09/18 12:17:10,752.858,16.353
2023/09/18 12:17:20,752.858,16.333
2023/09/18 12:17:30,752.858,16.320
2023/09/18 12:17:40,752.683,16.307
2023/09/18 12:17:50,752.858,16.287
2023/09/18 12:18:00,752.858,16.273
2023/09/18 12:18:10,752.858,16.260
2023/09/18 12:18:20,752.858,16.247
2023/09/18 12:18:30,752.858,16.233
2023/09/18 12:18:40,752.858,16.220
2023/09/18 12:18:50,752.683,16.207
2023/09/18 12:19:00,752.858,16.193
2023/09/18 12:19:10,752.858,16.180
2023/09/18 12:19:20,752.683,16.167
2023/09/18 12:19:30,752.858,16.153
2023/09/18 12:19:40,752.683,16.140
2023/09/18 12:19:50,752.683,16.127
2023/09/18 12:20:00,752.858,16.113
2023/09/18 12:20:10,752.683,16.100
2023/09/18 12:20:20,752.858,16.087
2023/09/18 12:20:30,752.683,16.073
2023/09/18 12:20:40,752.683,16.060
2023/09/18 12:20:50,752.858,16.047
2023/09/18 12:21:00,752.858,16.033
2023/09/18 12:21:10,752.858,16.020
2023/09/18 12:21:20,752.683,16.007
2023/09/18 12:21:30,752.858,15.993
2023/09/18 12:21:40,752.683,15.980
2023/09/18 12:21:50,752.858,15.967
2023/09/18 12:22:00,752.858,15.953
2023/09/18 12:22:10,752.858,15.940
2023/09/18 12:22:20,752.858,15.920
2023/09/18 12:22:30,752.683,15.900
2023/09/18 12:22:40,752.858,15.887
2023/09/18 12:22:50,752.508,15.867
2023/09/18 12:23:00,752.858,15.847
2023/09/18 12:23:10,752.683,15.833
2023/09/18 12:23:20,752.683,15.813
2023/09/18 12:23:30,752.683,15.800
2023/09/18 12:23:40,752.683,15.780
2023/09/18 12:23:50,752.683,15.760
2023/09/18 12:24:00,752.858,15.747
2023/09/18 12:24:10,752.858,15.727
2023/09/18 12:24:20,752.858,15.707
2023/09/18 12:24:30,752.858,15.687
2023/09/18 12:24:40,752.858,15.667
2023/09/18 12:24:50,752.858,15.647
2023/09/18 12:25:00,752.683,15.627
2023/09/18 12:25:10,752.858,15.600
2023/09/18 12:25:20,752.683,15.580
2023/09/18 12:25:30,752.683,15.553
2023/09/18 12:25:40,752.858,15.533
2023/09/18 12:25:50,752.683,15.507
2023/09/18 12:26:00,752.858,15.487
2023/09/18 12:26:10,752.858,15.467
2023/09/18 12:26:20,752.858,15.447
2023/09/18 12:26:30,752.683,15.427
2023/09/18 12:26:40,752.858,15.407
2023/09/18 12:26:50,752.858,15.393
2023/09/18 12:27:00,752.858,15.373
2023/09/18 12:27:10,752.858,15.360
2023/09/18 12:27:20,752.683,15.347
2023/09/18 12:27:30,752.858,15.327
2023/09/18 12:27:40,752.508,15.313
2023/09/18 12:27:50,752.683,15.300
2023/09/18 12:28:00,752.508,15.287
2023/09/18 12:28:10,752.683,15.273
2023/09/18 12:28:20,752.683,15.253
2023/09/18 12:28:30,752.683,15.240
2023/09/18 12:28:40,752.508,15.227
2023/09/18 12:28:50,752.683,15.213
2023/09/18 12:29:00,752.683,15.200
2023/09/18 12:29:10,752.508,15.187
2023/09/18 12:29:20,752.683,15.173
2023/09/18 12:29:30,752.683,15.160
2023/09/18 12:29:40,752.508,15.147
2023/09/18 12:29:50,752.683,15.133
2023/09/18 12:30:00,752.683,15.120
2023/09/18 12:30:10,752.508,15.107
2023/09/18 12:30:20,752.508,15.100
2023/09/18 12:30:30,752.683,15.087
2023/09/18 12:30:40,752.392,15.073
2023/09/18 12:30:50,752.508,15.067
2023/09/18 12:31:00,752.508,15.053
2023/09/18 12:31:10,752.508,15.040
2023/09/18 12:31:20,752.508,15.033
2023/09/18 12:31:30,752.508,15.020
2023/09/18 12:31:40,752.508,15.013
2023/09/18 12:31:50,752.508,15.000
2023/09/18 12:32:00,752.508,14.997
2023/09/18 12:32:10,752.508,14.990
2023/09/18 12:32:20,752.508,14.983
2023/09/18 12:32:30,752.508,14.977
2023/09/18 12:32:40,752.508,14.970
2023/09/18 12:32:50,752.392,14.963
2023/09/18 12:33:00,752.508,14.957
2023/09/18 12:33:10,752.508,14.957
2023/09/18 12:33:20,752.508,14.950
2023/09/18 12:33:30,752.508,14.950
2023/09/18 12:33:40,752.508,14.943
2023/09/18 12:33:50,752.683,14.937
2023/09/18 12:34:00,752.508,14.930
2023/09/18 12:34:10,752.392,14.930
2023/09/18 12:34:20,752.392,14.923
2023/09/18 12:34:30,752.508,14.917
2023/09/18 12:34:40,752.683,14.917
2023/09/18 12:34:50,752.683,14.910
2023/09/18 12:35:00,752.508,14.903
2023/09/18 12:35:10,752.508,14.903
2023/09/18 12:35:20,752.508,14.897
2023/09/18 12:35:30,752.508,14.897
2023/09/18 12:35:40,752.508,14.890
2023/09/18 12:35:50,752.392,14.890
2023/09/18 12:36:00,752.392,14.883
2023/09/18 12:36:10,752.508,14.877
2023/09/18 12:36:20,752.508,14.870
2023/09/18 12:36:30,752.392,14.857
2023/09/18 12:36:40,752.392,14.850
2023/09/18 12:36:50,752.508,14.837
2023/09/18 12:37:00,752.683,14.830
2023/09/18 12:37:10,752.508,14.817
2023/09/18 12:37:20,752.392,14.803
2023/09/18 12:37:30,752.392,14.790
2023/09/18 12:37:40,752.508,14.770
2023/09/18 12:37:50,752.508,14.757
2023/09/18 12:38:00,752.508,14.743
2023/09/18 12:38:10,752.508,14.730
2023/09/18 12:38:20,752.508,14.710
2023/09/18 12:38:30,752.508,14.697
2023/09/18 12:38:40,752.508,14.677
2023/09/18 12:38:50,752.392,14.657
2023/09/18 12:39:00,752.508,14.643
2023/09/18 12:39:10,752.392,14.623
2023/09/18 12:39:20,752.508,14.603
2023/09/18 12:39:30,752.392,14.583
2023/09/18 12:39:40,752.392,14.570
2023/09/18 12:39:50,752.392,14.550
2023/09/18 12:40:00,752.392,14.530
2023/09/18 12:40:10,752.392,14.510
2023/09/18 12:40:20,752.392,14.490
2023/09/18 12:40:30,752.508,14.477
2023/09/18 12:40:40,752.508,14.457
2023/09/18 12:40:50,752.508,14.437
2023/09/18 12:41:00,752.392,14.417
2023/09/18 12:41:10,752.508,14.397
2023/09/18 12:41:20,752.392,14.377
2023/09/18 12:41:30,752.508,14.357
2023/09/18 12:41:40,752.392,14.337
2023/09/18 12:41:50,752.392,14.317
2023/09/18 12:42:00,752.392,14.297
