Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/12/2023
TIME       : 12:49:36
FILENAME   : C:\Users\nicol\AppData\Roaming\DiverOffice\La Jara Creek\CSV\EXP-09-22-23-P4_231205124936_U9662.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-U9662  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =EXP-09-22-23-P4
  Sample period           =S10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-U9662  216.
  Instrument number       =          UTC-6     
  Location                =EXP-09-22-23-P4
  Sample period           =00 00:00:10 0
  Sample method           =T   
  Start date / time       =00:50:11 22/09/23
  End date / time         =50:09:01 28/09/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2023/09/22 11:50:00,752.567,21.677
2023/09/22 11:50:10,752.567,21.620
2023/09/22 11:50:20,752.567,21.563
2023/09/22 11:50:30,752.567,21.510
2023/09/22 11:50:40,752.567,21.453
2023/09/22 11:50:50,752.392,21.393
2023/09/22 11:51:00,752.392,21.343
2023/09/22 11:51:10,752.392,21.297
2023/09/22 11:51:20,752.392,21.247
2023/09/22 11:51:30,752.392,21.197
2023/09/22 11:51:40,752.275,21.150
2023/09/22 11:51:50,752.100,21.107
2023/09/22 11:52:00,752.100,21.060
2023/09/22 11:52:10,752.275,21.017
2023/09/22 11:52:20,752.275,20.970
2023/09/22 11:52:30,752.100,20.923
2023/09/22 11:52:40,752.100,20.880
2023/09/22 11:52:50,751.983,20.840
2023/09/22 11:53:00,752.100,20.797
2023/09/22 11:53:10,751.925,20.750
2023/09/22 11:53:20,751.925,20.707
2023/09/22 11:53:30,751.808,20.660
2023/09/22 11:53:40,751.925,20.617
2023/09/22 11:53:50,751.925,20.577
2023/09/22 11:54:00,751.808,20.540
2023/09/22 11:54:10,751.808,20.500
2023/09/22 11:54:20,751.808,20.460
2023/09/22 11:54:30,751.925,20.417
2023/09/22 11:54:40,751.808,20.383
2023/09/22 11:54:50,751.808,20.340
2023/09/22 11:55:00,751.633,20.300
2023/09/22 11:55:10,751.808,20.257
2023/09/22 11:55:20,751.808,20.203
2023/09/22 11:55:30,751.808,20.153
2023/09/22 11:55:40,751.808,20.093
2023/09/22 11:55:50,751.808,20.037
2023/09/22 11:56:00,751.808,19.970
2023/09/22 11:56:10,751.925,19.903
2023/09/22 11:56:20,751.633,19.837
2023/09/22 11:56:30,751.808,19.763
2023/09/22 11:56:40,751.808,19.697
2023/09/22 11:56:50,751.925,19.630
2023/09/22 11:57:00,751.633,19.560
2023/09/22 11:57:10,751.808,19.493
2023/09/22 11:57:20,751.925,19.427
2023/09/22 11:57:30,751.633,19.360
2023/09/22 11:57:40,751.808,19.293
2023/09/22 11:57:50,751.925,19.223
2023/09/22 11:58:00,751.808,19.157
2023/09/22 11:58:10,751.808,19.097
2023/09/22 11:58:20,751.808,19.030
2023/09/22 11:58:30,751.808,18.970
2023/09/22 11:58:40,751.633,18.910
2023/09/22 11:58:50,751.808,18.850
2023/09/22 11:59:00,751.808,18.787
2023/09/22 11:59:10,751.808,18.727
2023/09/22 11:59:20,751.633,18.673
2023/09/22 11:59:30,751.808,18.613
2023/09/22 11:59:40,751.808,18.553
2023/09/22 11:59:50,751.633,18.493
2023/09/22 12:00:00,751.633,18.430
2023/09/22 12:00:10,751.633,18.370
2023/09/22 12:00:20,751.633,18.310
2023/09/22 12:00:30,751.633,18.243
2023/09/22 12:00:40,751.633,18.183
2023/09/22 12:00:50,751.633,18.123
2023/09/22 12:01:00,751.517,18.060
2023/09/22 12:01:10,751.633,18.000
2023/09/22 12:01:20,751.633,17.933
2023/09/22 12:01:30,751.808,17.873
2023/09/22 12:01:40,751.633,17.813
2023/09/22 12:01:50,751.633,17.753
2023/09/22 12:02:00,751.633,17.693
2023/09/22 12:02:10,751.808,17.630
2023/09/22 12:02:20,751.633,17.563
2023/09/22 12:02:30,751.633,17.510
2023/09/22 12:02:40,751.633,17.450
2023/09/22 12:02:50,751.808,17.390
2023/09/22 12:03:00,751.808,17.330
2023/09/22 12:03:10,751.633,17.267
2023/09/22 12:03:20,751.808,17.207
2023/09/22 12:03:30,751.808,17.147
2023/09/22 12:03:40,751.808,17.087
2023/09/22 12:03:50,751.633,17.033
2023/09/22 12:04:00,751.633,16.973
2023/09/22 12:04:10,751.633,16.910
2023/09/22 12:04:20,751.633,16.850
2023/09/22 12:04:30,751.633,16.797
2023/09/22 12:04:40,751.633,16.737
2023/09/22 12:04:50,751.633,16.683
2023/09/22 12:05:00,751.808,16.630
2023/09/22 12:05:10,751.808,16.570
2023/09/22 12:05:20,751.633,16.520
2023/09/22 12:05:30,751.633,16.467
2023/09/22 12:05:40,751.633,16.413
2023/09/22 12:05:50,751.517,16.360
2023/09/22 12:06:00,751.633,16.313
2023/09/22 12:06:10,751.517,16.260
2023/09/22 12:06:20,751.517,16.213
2023/09/22 12:06:30,751.517,16.160
2023/09/22 12:06:40,751.633,16.110
2023/09/22 12:06:50,751.633,16.057
2023/09/22 12:07:00,751.633,16.010
2023/09/22 12:07:10,751.633,15.963
2023/09/22 12:07:20,751.633,15.917
2023/09/22 12:07:30,751.808,15.870
2023/09/22 12:07:40,751.808,15.830
2023/09/22 12:07:50,751.633,15.783
2023/09/22 12:08:00,751.633,15.733
2023/09/22 12:08:10,751.633,15.693
2023/09/22 12:08:20,751.633,15.647
2023/09/22 12:08:30,751.633,15.607
2023/09/22 12:08:40,751.633,15.567
2023/09/22 12:08:50,751.808,15.527
2023/09/22 12:09:00,751.808,15.487
2023/09/22 12:09:10,751.633,15.447
2023/09/22 12:09:20,751.633,15.407
2023/09/22 12:09:30,751.633,15.363
2023/09/22 12:09:40,751.808,15.323
2023/09/22 12:09:50,751.633,15.283
2023/09/22 12:10:00,751.633,15.243
2023/09/22 12:10:10,751.808,15.210
2023/09/22 12:10:20,751.808,15.170
2023/09/22 12:10:30,751.808,15.130
2023/09/22 12:10:40,751.808,15.090
2023/09/22 12:10:50,751.808,15.050
2023/09/22 12:11:00,751.633,15.010
2023/09/22 12:11:10,751.633,14.967
2023/09/22 12:11:20,751.633,14.927
2023/09/22 12:11:30,751.633,14.887
2023/09/22 12:11:40,751.633,14.847
2023/09/22 12:11:50,751.808,14.793
2023/09/22 12:12:00,751.633,14.733
2023/09/22 12:12:10,751.808,14.673
2023/09/22 12:12:20,751.633,14.610
2023/09/22 12:12:30,751.633,14.543
2023/09/22 12:12:40,751.633,14.477
2023/09/22 12:12:50,751.808,14.417
2023/09/22 12:13:00,751.808,14.357
2023/09/22 12:13:10,751.633,14.290
2023/09/22 12:13:20,751.633,14.227
2023/09/22 12:13:30,751.633,14.160
2023/09/22 12:13:40,751.808,14.093
2023/09/22 12:13:50,751.808,14.027
2023/09/22 12:14:00,751.808,13.960
2023/09/22 12:14:10,751.808,13.893
2023/09/22 12:14:20,751.808,13.823
2023/09/22 12:14:30,751.633,13.757
2023/09/22 12:14:40,751.633,13.690
2023/09/22 12:14:50,751.633,13.623
2023/09/22 12:15:00,751.633,13.557
2023/09/22 12:15:10,751.633,13.497
2023/09/22 12:15:20,751.633,13.427
2023/09/22 12:15:30,751.633,13.360
2023/09/22 12:15:40,751.633,13.300
2023/09/22 12:15:50,751.633,13.233
2023/09/22 12:16:00,751.517,13.173
2023/09/22 12:16:10,751.517,13.113
2023/09/22 12:16:20,751.808,13.043
2023/09/22 12:16:30,751.633,12.983
2023/09/22 12:16:40,751.633,12.930
2023/09/22 12:16:50,751.517,12.870
2023/09/22 12:17:00,751.633,12.817
2023/09/22 12:17:10,751.517,12.763
2023/09/22 12:17:20,751.633,12.717
2023/09/22 12:17:30,751.633,12.660
2023/09/22 12:17:40,751.517,12.613
2023/09/22 12:17:50,751.517,12.567
2023/09/22 12:18:00,751.633,12.520
2023/09/22 12:18:10,751.633,12.473
2023/09/22 12:18:20,751.517,12.433
2023/09/22 12:18:30,751.633,12.387
2023/09/22 12:18:40,751.517,12.353
2023/09/22 12:18:50,751.517,12.313
2023/09/22 12:19:00,751.633,12.277
2023/09/22 12:19:10,751.633,12.243
2023/09/22 12:19:20,751.633,12.210
2023/09/22 12:19:30,751.633,12.177
2023/09/22 12:19:40,751.517,12.150
2023/09/22 12:19:50,751.633,12.117
2023/09/22 12:20:00,751.517,12.090
2023/09/22 12:20:10,751.633,12.070
2023/09/22 12:20:20,751.517,12.043
2023/09/22 12:20:30,751.517,12.017
2023/09/22 12:20:40,751.517,11.997
2023/09/22 12:20:50,751.633,11.977
2023/09/22 12:21:00,751.633,11.957
2023/09/22 12:21:10,751.633,11.937
