Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/12/2023
TIME       : 12:49:24
FILENAME   : C:\Users\nicol\AppData\Roaming\DiverOffice\La Jara Creek\CSV\EXP-09-22-23_231205124924_P3980.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-P3980  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =EXP-09-22-23
  Sample period           =S10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-P3980  216.
  Instrument number       =          UTC-6     
  Location                =EXP-09-22-23
  Sample period           =00 00:00:10 0
  Sample method           =T   
  Start date / time       =00:30:11 22/09/23
  End date / time         =50:49:00 28/09/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2023/09/22 11:30:00,478.633,21.553
2023/09/22 11:30:10,480.908,20.740
2023/09/22 11:30:20,482.833,20.030
2023/09/22 11:30:30,484.467,19.367
2023/09/22 11:30:40,486.042,18.770
2023/09/22 11:30:50,487.325,18.227
2023/09/22 11:31:00,488.433,17.730
2023/09/22 11:31:10,489.483,17.273
2023/09/22 11:31:20,490.125,16.850
2023/09/22 11:31:30,491.058,16.460
2023/09/22 11:31:40,491.875,16.097
2023/09/22 11:31:50,492.400,15.767
2023/09/22 11:32:00,492.983,15.460
2023/09/22 11:32:10,493.333,15.170
2023/09/22 11:32:20,493.975,14.907
2023/09/22 11:32:30,494.558,14.660
2023/09/22 11:32:40,494.967,14.423
2023/09/22 11:32:50,495.083,14.210
2023/09/22 11:33:00,495.433,14.000
2023/09/22 11:33:10,495.900,13.813
2023/09/22 11:33:20,496.425,13.640
2023/09/22 11:33:30,496.542,13.470
2023/09/22 11:33:40,496.717,13.317
2023/09/22 11:33:50,497.008,13.167
2023/09/22 11:34:00,497.183,13.027
2023/09/22 11:34:10,497.358,12.900
2023/09/22 11:34:20,497.533,12.780
2023/09/22 11:34:30,497.825,12.657
2023/09/22 11:34:40,498.000,12.550
2023/09/22 11:34:50,498.117,12.450
2023/09/22 11:35:00,498.233,12.357
2023/09/22 11:35:10,498.408,12.260
2023/09/22 11:35:20,498.467,12.173
2023/09/22 11:35:30,498.642,12.093
2023/09/22 11:35:40,498.642,12.013
2023/09/22 11:35:50,498.817,11.947
2023/09/22 11:36:00,498.933,11.873
2023/09/22 11:36:10,499.050,11.803
2023/09/22 11:36:20,499.108,11.743
2023/09/22 11:36:30,499.050,11.683
2023/09/22 11:36:40,499.108,11.630
2023/09/22 11:36:50,499.225,11.577
2023/09/22 11:37:00,499.400,11.523
2023/09/22 11:37:10,499.575,11.477
2023/09/22 11:37:20,499.458,11.430
2023/09/22 11:37:30,499.575,11.383
2023/09/22 11:37:40,499.575,11.333
2023/09/22 11:37:50,499.692,11.293
2023/09/22 11:38:00,499.750,11.253
2023/09/22 11:38:10,499.925,11.220
2023/09/22 11:38:20,499.925,11.180
2023/09/22 11:38:30,499.925,11.147
2023/09/22 11:38:40,499.925,11.113
2023/09/22 11:38:50,500.042,11.080
2023/09/22 11:39:00,500.100,11.053
2023/09/22 11:39:10,500.100,11.020
2023/09/22 11:39:20,500.042,10.993
2023/09/22 11:39:30,500.275,10.967
2023/09/22 11:39:40,500.275,10.940
2023/09/22 11:39:50,500.217,10.913
2023/09/22 11:40:00,500.275,10.883
2023/09/22 11:40:10,500.217,10.857
2023/09/22 11:40:20,500.392,10.837
2023/09/22 11:40:30,500.392,10.810
2023/09/22 11:40:40,500.392,10.790
2023/09/22 11:40:50,500.392,10.770
2023/09/22 11:41:00,500.508,10.750
2023/09/22 11:41:10,500.508,10.730
2023/09/22 11:41:20,500.508,10.710
2023/09/22 11:41:30,500.567,10.697
2023/09/22 11:41:40,500.392,10.677
2023/09/22 11:41:50,500.508,10.657
2023/09/22 11:42:00,500.508,10.643
2023/09/22 11:42:10,500.683,10.623
2023/09/22 11:42:20,500.683,10.610
2023/09/22 11:42:30,500.567,10.590
2023/09/22 11:42:40,500.392,10.577
2023/09/22 11:42:50,500.392,10.563
2023/09/22 11:43:00,500.392,10.550
2023/09/22 11:43:10,500.392,10.537
2023/09/22 11:43:20,500.567,10.523
2023/09/22 11:43:30,500.567,10.510
2023/09/22 11:43:40,500.508,10.497
2023/09/22 11:43:50,500.625,10.490
2023/09/22 11:44:00,500.683,10.477
2023/09/22 11:44:10,500.683,10.463
2023/09/22 11:44:20,500.625,10.447
2023/09/22 11:44:30,500.508,10.440
2023/09/22 11:44:40,500.567,10.427
2023/09/22 11:44:50,500.742,10.413
2023/09/22 11:45:00,500.567,10.407
2023/09/22 11:45:10,500.567,10.393
2023/09/22 11:45:20,500.742,10.387
2023/09/22 11:45:30,500.742,10.373
2023/09/22 11:45:40,500.683,10.367
2023/09/22 11:45:50,500.683,10.360
2023/09/22 11:46:00,500.683,10.347
2023/09/22 11:46:10,500.683,10.340
2023/09/22 11:46:20,500.683,10.333
2023/09/22 11:46:30,500.858,10.327
2023/09/22 11:46:40,500.742,10.313
2023/09/22 11:46:50,500.742,10.307
2023/09/22 11:47:00,500.742,10.300
2023/09/22 11:47:10,500.742,10.293
2023/09/22 11:47:20,500.917,10.287
2023/09/22 11:47:30,500.917,10.280
2023/09/22 11:47:40,500.858,10.273
2023/09/22 11:47:50,501.033,10.267
2023/09/22 11:48:00,500.858,10.253
2023/09/22 11:48:10,500.858,10.253
2023/09/22 11:48:20,500.858,10.247
2023/09/22 11:48:30,501.033,10.240
2023/09/22 11:48:40,500.858,10.227
2023/09/22 11:48:50,500.858,10.227
2023/09/22 11:49:00,501.033,10.220
2023/09/22 11:49:10,501.033,10.213
2023/09/22 11:49:20,501.033,10.207
2023/09/22 11:49:30,501.033,10.200
2023/09/22 11:49:40,501.033,10.200
2023/09/22 11:49:50,501.033,10.193
2023/09/22 11:50:00,501.033,10.187
2023/09/22 11:50:10,500.858,10.180
2023/09/22 11:50:20,501.033,10.180
2023/09/22 11:50:30,500.858,10.173
2023/09/22 11:50:40,500.858,10.167
2023/09/22 11:50:50,500.858,10.167
2023/09/22 11:51:00,501.033,10.160
2023/09/22 11:51:10,501.033,10.153
2023/09/22 11:51:20,501.033,10.153
2023/09/22 11:51:30,501.033,10.147
2023/09/22 11:51:40,500.858,10.140
2023/09/22 11:51:50,500.858,10.140
2023/09/22 11:52:00,500.858,10.133
2023/09/22 11:52:10,500.858,10.133
2023/09/22 11:52:20,500.858,10.127
2023/09/22 11:52:30,500.858,10.127
2023/09/22 11:52:40,500.683,10.120
2023/09/22 11:52:50,500.683,10.120
2023/09/22 11:53:00,500.858,10.113
2023/09/22 11:53:10,500.683,10.113
2023/09/22 11:53:20,500.742,10.107
2023/09/22 11:53:30,500.742,10.107
2023/09/22 11:53:40,500.917,10.100
2023/09/22 11:53:50,500.917,10.100
2023/09/22 11:54:00,500.742,10.093
2023/09/22 11:54:10,500.742,10.093
2023/09/22 11:54:20,500.683,10.087
2023/09/22 11:54:30,500.858,10.087
2023/09/22 11:54:40,500.683,10.087
2023/09/22 11:54:50,500.858,10.080
2023/09/22 11:55:00,500.683,10.080
2023/09/22 11:55:10,500.683,10.080
2023/09/22 11:55:20,500.683,10.073
2023/09/22 11:55:30,500.683,10.073
2023/09/22 11:55:40,500.683,10.073
2023/09/22 11:55:50,500.858,10.067
2023/09/22 11:56:00,500.858,10.067
2023/09/22 11:56:10,500.858,10.060
