Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/12/2023
TIME       : 12:23:35
FILENAME   : C:\Users\nicol\AppData\Roaming\DiverOffice\La Jara Creek\CSV\P2-A_231205122335_U8190.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-U8190  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =P2-A
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-U8190  216.
  Instrument number       =          UTC-6     
  Location                =P2-A
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:19 13/07/22
  End date / time         =00:15:20 28/09/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2022/07/13 19:00:00,774.208,12.020
2022/07/13 19:15:00,774.208,11.867
2022/07/13 19:30:00,774.208,11.813
2022/07/13 19:45:00,774.208,11.787
2022/07/13 20:00:00,774.208,11.770
2022/07/13 20:15:00,774.208,11.750
2022/07/13 20:30:00,774.208,11.730
2022/07/13 20:45:00,774.208,11.710
2022/07/13 21:00:00,774.383,11.690
2022/07/13 21:15:00,774.383,11.670
2022/07/13 21:30:00,774.558,11.643
2022/07/13 21:45:00,774.675,11.617
2022/07/13 22:00:00,774.675,11.590
2022/07/13 22:15:00,775.375,11.563
2022/07/13 22:30:00,775.200,11.537
2022/07/13 22:45:00,775.200,11.510
2022/07/13 23:00:00,775.200,11.483
2022/07/13 23:15:00,775.200,11.457
2022/07/13 23:30:00,775.200,11.427
2022/07/13 23:45:00,775.200,11.400
2022/07/14 00:00:00,775.200,11.373
2022/07/14 00:15:00,775.025,11.347
2022/07/14 00:30:00,775.200,11.320
2022/07/14 00:45:00,775.375,11.293
2022/07/14 01:00:00,775.200,11.267
2022/07/14 01:15:00,775.200,11.240
2022/07/14 01:30:00,775.200,11.220
2022/07/14 01:45:00,774.850,11.200
2022/07/14 02:00:00,775.200,11.173
2022/07/14 02:15:00,775.200,11.153
2022/07/14 02:30:00,775.025,11.133
2022/07/14 02:45:00,775.025,11.113
2022/07/14 03:00:00,775.025,11.093
2022/07/14 03:15:00,775.025,11.073
2022/07/14 03:30:00,775.025,11.063
2022/07/14 03:45:00,774.850,11.050
2022/07/14 04:00:00,775.200,11.030
2022/07/14 04:15:00,774.850,11.010
2022/07/14 04:30:00,775.025,10.997
2022/07/14 04:45:00,775.025,10.977
2022/07/14 05:00:00,774.850,10.957
2022/07/14 05:15:00,775.200,10.943
2022/07/14 05:30:00,775.200,10.923
2022/07/14 05:45:00,775.375,10.903
2022/07/14 06:00:00,775.492,10.890
2022/07/14 06:15:00,775.375,10.870
2022/07/14 06:30:00,775.550,10.850
2022/07/14 06:45:00,775.492,10.830
2022/07/14 07:00:00,775.550,10.810
2022/07/14 07:15:00,775.550,10.790
2022/07/14 07:30:00,775.842,10.777
2022/07/14 07:45:00,775.725,10.757
2022/07/14 08:00:00,775.667,10.743
2022/07/14 08:15:00,775.550,10.723
2022/07/14 08:30:00,775.667,10.713
2022/07/14 08:45:00,775.842,10.700
2022/07/14 09:00:00,775.667,10.687
2022/07/14 09:15:00,775.842,10.680
2022/07/14 09:30:00,775.725,10.673
2022/07/14 09:45:00,775.725,10.673
2022/07/14 10:00:00,775.550,10.673
2022/07/14 10:15:00,775.550,10.673
2022/07/14 10:30:00,775.667,10.680
2022/07/14 10:45:00,775.667,10.687
2022/07/14 11:00:00,775.667,10.707
2022/07/14 11:15:00,775.725,10.723
2022/07/14 11:30:00,775.550,10.757
2022/07/14 11:45:00,775.725,10.790
2022/07/14 12:00:00,775.550,10.837
2022/07/14 12:15:00,775.375,10.897
2022/07/14 12:30:00,775.550,10.957
2022/07/14 12:45:00,775.375,11.023
2022/07/14 13:00:00,775.550,11.100
2022/07/14 13:15:00,775.667,11.173
2022/07/14 13:30:00,775.375,11.247
2022/07/14 13:45:00,775.492,11.320
2022/07/14 14:00:00,775.492,11.380
2022/07/14 14:15:00,775.375,11.430
2022/07/14 14:30:00,775.375,11.477
2022/07/14 14:45:00,775.375,11.517
2022/07/14 15:00:00,775.025,11.550
2022/07/14 15:15:00,774.850,11.577
2022/07/14 15:30:00,775.025,11.597
2022/07/14 15:45:00,775.025,11.610
2022/07/14 16:00:00,775.025,11.617
2022/07/14 16:15:00,774.675,11.623
2022/07/14 16:30:00,774.558,11.630
2022/07/14 16:45:00,774.383,11.637
2022/07/14 17:00:00,774.208,11.643
2022/07/14 17:15:00,774.208,11.657
2022/07/14 17:30:00,774.208,11.670
2022/07/14 17:45:00,774.208,11.683
2022/07/14 18:00:00,774.383,11.690
2022/07/14 18:15:00,774.383,11.703
2022/07/14 18:30:00,774.558,11.710
2022/07/14 18:45:00,774.558,11.717
2022/07/14 19:00:00,774.383,11.717
2022/07/14 19:15:00,774.383,11.717
2022/07/14 19:30:00,774.383,11.710
2022/07/14 19:45:00,774.383,11.703
2022/07/14 20:00:00,774.558,11.690
2022/07/14 20:15:00,774.675,11.677
2022/07/14 20:30:00,774.850,11.663
2022/07/14 20:45:00,775.025,11.643
2022/07/14 21:00:00,775.025,11.630
2022/07/14 21:15:00,775.200,11.610
2022/07/14 21:30:00,775.375,11.583
2022/07/14 21:45:00,775.550,11.563
2022/07/14 22:00:00,775.725,11.543
2022/07/14 22:15:00,775.842,11.523
2022/07/14 22:30:00,776.017,11.497
2022/07/14 22:45:00,775.842,11.477
2022/07/14 23:00:00,775.842,11.450
2022/07/14 23:15:00,776.017,11.430
2022/07/14 23:30:00,776.192,11.407
2022/07/14 23:45:00,776.542,11.380
2022/07/15 00:00:00,776.717,11.360
2022/07/15 00:15:00,776.892,11.333
2022/07/15 00:30:00,777.008,11.313
2022/07/15 00:45:00,777.008,11.287
2022/07/15 01:00:00,777.533,11.267
2022/07/15 01:15:00,777.183,11.247
2022/07/15 01:30:00,777.183,11.227
2022/07/15 01:45:00,777.183,11.207
2022/07/15 02:00:00,776.892,11.187
2022/07/15 02:15:00,776.542,11.167
2022/07/15 02:30:00,776.717,11.153
2022/07/15 02:45:00,776.367,11.133
2022/07/15 03:00:00,776.192,11.120
2022/07/15 03:15:00,776.367,11.100
2022/07/15 03:30:00,776.542,11.087
2022/07/15 03:45:00,776.367,11.073
2022/07/15 04:00:00,776.192,11.070
2022/07/15 04:15:00,776.542,11.057
2022/07/15 04:30:00,776.192,11.043
2022/07/15 04:45:00,776.542,11.037
2022/07/15 05:00:00,776.542,11.030
2022/07/15 05:15:00,776.367,11.023
2022/07/15 05:30:00,776.367,11.023
2022/07/15 05:45:00,776.542,11.017
2022/07/15 06:00:00,776.542,11.010
2022/07/15 06:15:00,776.542,11.010
2022/07/15 06:30:00,777.008,11.003
2022/07/15 06:45:00,777.008,11.003
2022/07/15 07:00:00,776.892,10.997
2022/07/15 07:15:00,776.892,10.990
2022/07/15 07:30:00,777.008,10.983
2022/07/15 07:45:00,777.183,10.977
2022/07/15 08:00:00,777.183,10.970
2022/07/15 08:15:00,777.008,10.963
2022/07/15 08:30:00,777.008,10.957
2022/07/15 08:45:00,777.183,10.950
2022/07/15 09:00:00,777.008,10.943
2022/07/15 09:15:00,777.008,10.937
2022/07/15 09:30:00,776.892,10.937
2022/07/15 09:45:00,776.717,10.930
2022/07/15 10:00:00,776.717,10.930
2022/07/15 10:15:00,776.717,10.937
2022/07/15 10:30:00,776.717,10.943
2022/07/15 10:45:00,776.717,10.950
2022/07/15 11:00:00,776.892,10.963
2022/07/15 11:15:00,776.542,10.983
2022/07/15 11:30:00,776.542,11.010
2022/07/15 11:45:00,776.542,11.050
2022/07/15 12:00:00,776.542,11.087
2022/07/15 12:15:00,776.542,11.133
2022/07/15 12:30:00,776.367,11.187
2022/07/15 12:45:00,776.367,11.253
2022/07/15 13:00:00,776.717,11.320
2022/07/15 13:15:00,776.542,11.393
2022/07/15 13:30:00,776.367,11.463
2022/07/15 13:45:00,776.367,11.543
2022/07/15 14:00:00,776.367,11.617
2022/07/15 14:15:00,776.017,11.690
2022/07/15 14:30:00,775.842,11.750
2022/07/15 14:45:00,775.725,11.800
2022/07/15 15:00:00,775.550,11.847
2022/07/15 15:15:00,775.725,11.893
2022/07/15 15:30:00,775.375,11.933
2022/07/15 15:45:00,775.550,11.973
2022/07/15 16:00:00,775.200,12.013
2022/07/15 16:15:00,775.375,12.053
2022/07/15 16:30:00,775.375,12.093
2022/07/15 16:45:00,775.200,12.127
2022/07/15 17:00:00,774.850,12.163
2022/07/15 17:15:00,774.850,12.190
2022/07/15 17:30:00,774.850,12.217
2022/07/15 17:45:00,774.675,12.237
2022/07/15 18:00:00,774.558,12.250
2022/07/15 18:15:00,774.558,12.263
2022/07/15 18:30:00,774.383,12.270
2022/07/15 18:45:00,774.383,12.270
2022/07/15 19:00:00,774.558,12.270
2022/07/15 19:15:00,774.558,12.263
2022/07/15 19:30:00,774.558,12.250
2022/07/15 19:45:00,774.675,12.230
2022/07/15 20:00:00,774.675,12.210
2022/07/15 20:15:00,774.675,12.190
2022/07/15 20:30:00,774.558,12.163
2022/07/15 20:45:00,774.733,12.140
2022/07/15 21:00:00,774.733,12.107
2022/07/15 21:15:00,774.850,12.080
2022/07/15 21:30:00,775.025,12.040
2022/07/15 21:45:00,775.200,12.007
2022/07/15 22:00:00,775.550,11.973
