Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/12/2023
TIME       : 12:26:10
FILENAME   : C:\Users\nicol\AppData\Roaming\DiverOffice\La Jara Creek\CSV\P3-A_231205122610_P3958.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-P3958  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =P3-A
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-P3958  216.
  Instrument number       =          UTC-6     
  Location                =P3-A
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:12 29/07/21
  End date / time         =00:30:23 06/05/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2021/07/29 12:00:00,792.350,13.020
2021/07/29 12:15:00,792.525,13.350
2021/07/29 12:30:00,792.233,13.687
2021/07/29 12:45:00,792.175,14.013
2021/07/29 13:00:00,792.000,14.323
2021/07/29 13:15:00,791.883,14.607
2021/07/29 13:30:00,791.533,14.860
2021/07/29 13:45:00,791.533,15.083
2021/07/29 14:00:00,791.533,15.277
2021/07/29 14:15:00,791.242,15.450
2021/07/29 14:30:00,791.358,15.600
2021/07/29 14:45:00,790.892,15.707
2021/07/29 15:00:00,790.717,15.747
2021/07/29 15:15:00,790.717,15.707
2021/07/29 15:30:00,790.542,15.633
2021/07/29 15:45:00,790.367,15.533
2021/07/29 16:00:00,790.075,15.397
2021/07/29 16:15:00,789.900,15.263
2021/07/29 16:30:00,790.075,15.123
2021/07/29 16:45:00,789.725,14.980
2021/07/29 17:00:00,789.550,14.827
2021/07/29 17:15:00,789.375,14.653
2021/07/29 17:30:00,789.375,14.457
2021/07/29 17:45:00,789.025,14.250
2021/07/29 18:00:00,789.083,14.047
2021/07/29 18:15:00,789.025,13.827
2021/07/29 18:30:00,789.025,13.617
2021/07/29 18:45:00,789.025,13.430
2021/07/29 19:00:00,788.733,13.250
2021/07/29 19:15:00,788.908,13.053
2021/07/29 19:30:00,789.025,12.833
2021/07/29 19:45:00,789.200,12.637
2021/07/29 20:00:00,789.550,12.437
2021/07/29 20:15:00,789.725,12.260
2021/07/29 20:30:00,789.725,12.093
2021/07/29 20:45:00,789.667,11.940
2021/07/29 21:00:00,789.900,11.797
2021/07/29 21:15:00,790.017,11.657
2021/07/29 21:30:00,790.367,11.537
2021/07/29 21:45:00,790.542,11.430
2021/07/29 22:00:00,790.892,11.340
2021/07/29 22:15:00,790.717,11.253
