Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/12/2023
TIME       : 12:30:30
FILENAME   : C:\Users\nicol\AppData\Roaming\DiverOffice\La Jara Creek\CSV\P3-C-NEW_231205123030_U9261.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-U9261  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =P3-C-NEW
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-U9261  216.
  Instrument number       =          UTC-6     
  Location                =P3-C-NEW
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:16 19/04/23
  End date / time         =00:30:11 18/09/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2023/04/19 16:00:00,757.467,6.047
2023/04/19 16:15:00,757.000,5.863
2023/04/19 16:30:00,757.758,5.723
2023/04/19 16:45:00,757.467,5.627
2023/04/19 17:00:00,757.583,5.487
2023/04/19 17:15:00,757.583,5.353
2023/04/19 17:30:00,758.517,5.200
2023/04/19 17:45:00,757.758,5.083
2023/04/19 18:00:00,757.933,4.943
2023/04/19 18:15:00,757.758,4.817
2023/04/19 18:30:00,758.050,4.707
2023/04/19 18:45:00,757.583,4.607
2023/04/19 19:00:00,757.175,4.530
2023/04/19 19:15:00,757.292,4.467
2023/04/19 19:30:00,757.933,4.433
2023/04/19 19:45:00,757.758,4.350
2023/04/19 20:00:00,757.583,4.267
2023/04/19 20:15:00,757.758,4.203
2023/04/19 20:30:00,758.517,4.133
2023/04/19 20:45:00,758.692,4.070
2023/04/19 21:00:00,758.692,4.013
2023/04/19 21:15:00,758.983,3.950
2023/04/19 21:30:00,759.450,3.873
2023/04/19 21:45:00,759.917,3.827
2023/04/19 22:00:00,759.450,3.777
2023/04/19 22:15:00,759.567,3.713
2023/04/19 22:30:00,759.917,3.680
2023/04/19 22:45:00,759.917,3.630
2023/04/19 23:00:00,760.208,3.603
2023/04/19 23:15:00,760.208,3.553
2023/04/19 23:30:00,760.967,3.497
2023/04/19 23:45:00,760.033,3.463
