Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/12/2023
TIME       : 12:30:58
FILENAME   : C:\Users\nicol\AppData\Roaming\DiverOffice\La Jara Creek\CSV\P4-A_231205123058_N2786.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-N2786  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =P4-A
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-N2786  216.
  Instrument number       =          UTC-6     
  Location                =P4-A
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:12 29/07/21
  End date / time         =00:00:00 07/05/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2021/07/29 12:00:00,783.950,10.680
2021/07/29 12:15:00,783.775,10.740
2021/07/29 12:30:00,783.600,10.817
2021/07/29 12:45:00,783.425,10.917
2021/07/29 13:00:00,783.600,11.030
2021/07/29 13:15:00,783.250,11.143
2021/07/29 13:30:00,783.075,11.267
2021/07/29 13:45:00,783.250,11.393
2021/07/29 14:00:00,782.958,11.527
2021/07/29 14:15:00,782.783,11.663
2021/07/29 14:30:00,782.958,11.803
2021/07/29 14:45:00,782.608,11.940
2021/07/29 15:00:00,782.608,12.073
2021/07/29 15:15:00,782.433,12.200
2021/07/29 15:30:00,782.258,12.317
2021/07/29 15:45:00,782.258,12.423
2021/07/29 16:00:00,781.967,12.523
2021/07/29 16:15:00,782.083,12.610
2021/07/29 16:30:00,781.792,12.690
2021/07/29 16:45:00,781.792,12.747
2021/07/29 17:00:00,781.792,12.800
2021/07/29 17:15:00,781.617,12.847
2021/07/29 17:30:00,781.442,12.887
2021/07/29 17:45:00,781.267,12.913
2021/07/29 18:00:00,781.267,12.940
2021/07/29 18:15:00,781.267,12.947
2021/07/29 18:30:00,781.150,12.947
2021/07/29 18:45:00,781.267,12.940
2021/07/29 19:00:00,781.442,12.927
2021/07/29 19:15:00,781.267,12.893
2021/07/29 19:30:00,781.617,12.833
2021/07/29 19:45:00,781.617,12.753
2021/07/29 20:00:00,781.792,12.663
2021/07/29 20:15:00,782.083,12.570
2021/07/29 20:30:00,782.083,12.483
2021/07/29 20:45:00,782.258,12.397
2021/07/29 21:00:00,782.433,12.310
2021/07/29 21:15:00,782.608,12.233
2021/07/29 21:30:00,782.900,12.160
2021/07/29 21:45:00,783.133,12.093
2021/07/29 22:00:00,783.250,12.020
2021/07/29 22:15:00,783.250,11.953
2021/07/29 22:30:00,783.425,11.897
2021/07/29 22:45:00,783.600,11.837
2021/07/29 23:00:00,783.600,11.777
2021/07/29 23:15:00,783.425,11.717
2021/07/29 23:30:00,783.600,11.657
2021/07/29 23:45:00,783.425,11.603
2021/07/30 00:00:00,783.600,11.550
2021/07/30 00:15:00,783.425,11.500
2021/07/30 00:30:00,783.600,11.440
2021/07/30 00:45:00,783.600,11.393
2021/07/30 01:00:00,783.425,11.333
2021/07/30 01:15:00,783.250,11.287
2021/07/30 01:30:00,783.250,11.233
2021/07/30 01:45:00,783.075,11.187
2021/07/30 02:00:00,783.133,11.150
2021/07/30 02:15:00,783.075,11.110
2021/07/30 02:30:00,783.075,11.077
2021/07/30 02:45:00,782.725,11.043
2021/07/30 03:00:00,782.958,11.017
2021/07/30 03:15:00,782.783,10.990
2021/07/30 03:30:00,782.783,10.970
2021/07/30 03:45:00,782.608,10.943
2021/07/30 04:00:00,782.608,10.910
2021/07/30 04:15:00,782.433,10.883
2021/07/30 04:30:00,782.258,10.843
2021/07/30 04:45:00,782.258,10.810
2021/07/30 05:00:00,782.258,10.777
2021/07/30 05:15:00,782.258,10.740
2021/07/30 05:30:00,782.258,10.700
2021/07/30 05:45:00,782.258,10.660
2021/07/30 06:00:00,782.258,10.620
2021/07/30 06:15:00,782.258,10.580
2021/07/30 06:30:00,782.433,10.540
2021/07/30 06:45:00,782.433,10.500
2021/07/30 07:00:00,782.550,10.467
2021/07/30 07:15:00,782.433,10.433
2021/07/30 07:30:00,782.608,10.400
2021/07/30 07:45:00,782.433,10.383
2021/07/30 08:00:00,782.258,10.363
2021/07/30 08:15:00,782.608,10.357
2021/07/30 08:30:00,782.783,10.350
2021/07/30 08:45:00,782.783,10.350
2021/07/30 09:00:00,782.783,10.350
2021/07/30 09:15:00,782.783,10.370
2021/07/30 09:30:00,782.783,10.370
2021/07/30 09:45:00,782.783,10.370
2021/07/30 10:00:00,782.783,10.377
2021/07/30 10:15:00,782.725,10.387
2021/07/30 10:30:00,782.725,10.407
2021/07/30 10:45:00,782.608,10.433
2021/07/30 11:00:00,782.725,10.467
2021/07/30 11:15:00,782.725,10.513
2021/07/30 11:30:00,782.433,10.573
2021/07/30 11:45:00,782.258,10.653
