Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/12/2023
TIME       : 12:31:36
FILENAME   : C:\Users\nicol\AppData\Roaming\DiverOffice\La Jara Creek\CSV\P4-B_231205123136_T4692.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-T4692  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =P4-B
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-T4692  216.
  Instrument number       =          UTC-6     
  Location                =P4-B
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:12 29/07/21
  End date / time         =00:15:18 06/05/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2021/07/29 12:00:00,780.275,13.767
2021/07/29 12:15:00,780.158,14.200
2021/07/29 12:30:00,779.692,14.587
2021/07/29 12:45:00,779.692,14.893
2021/07/29 13:00:00,779.517,15.183
2021/07/29 13:15:00,779.517,15.490
2021/07/29 13:30:00,779.225,15.730
2021/07/29 13:45:00,779.050,15.923
2021/07/29 14:00:00,778.758,16.090
2021/07/29 14:15:00,778.875,16.217
2021/07/29 14:30:00,778.583,16.287
2021/07/29 14:45:00,778.292,16.293
2021/07/29 15:00:00,778.408,16.157
2021/07/29 15:15:00,777.942,15.943
2021/07/29 15:30:00,777.767,15.770
2021/07/29 15:45:00,777.767,15.523
2021/07/29 16:00:00,777.475,15.297
2021/07/29 16:15:00,777.475,15.130
2021/07/29 16:30:00,777.300,14.953
2021/07/29 16:45:00,777.183,14.740
2021/07/29 17:00:00,777.183,14.500
2021/07/29 17:15:00,777.183,14.227
2021/07/29 17:30:00,776.717,13.967
2021/07/29 17:45:00,776.717,13.737
2021/07/29 18:00:00,776.717,13.483
2021/07/29 18:15:00,776.367,13.217
2021/07/29 18:30:00,776.717,12.977
2021/07/29 18:45:00,776.542,12.790
2021/07/29 19:00:00,776.542,12.597
2021/07/29 19:15:00,776.367,12.367
2021/07/29 19:30:00,776.833,12.127
2021/07/29 19:45:00,776.833,11.940
