Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/12/2023
TIME       : 12:43:13
FILENAME   : C:\Users\nicol\AppData\Roaming\DiverOffice\La Jara Creek\CSV\P6-B_231205124312_P3976.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-P3976  216.
  Instrument number       =          UTC-6     
                          =0
  Location                =P6-B
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-P3976  216.
  Instrument number       =          UTC-6     
  Location                =P6-B
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:19 13/07/22
  End date / time         =00:00:11 27/09/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2022/07/13 19:00:00,755.542,14.180
2022/07/13 19:15:00,754.783,14.227
2022/07/13 19:30:00,754.492,14.440
2022/07/13 19:45:00,755.425,12.347
2022/07/13 20:00:00,755.425,11.443
2022/07/13 20:15:00,755.425,11.203
2022/07/13 20:30:00,755.542,11.090
2022/07/13 20:45:00,755.892,10.987
2022/07/13 21:00:00,755.892,10.893
2022/07/13 21:15:00,756.008,10.807
2022/07/13 21:30:00,756.183,10.727
2022/07/13 21:45:00,756.358,10.653
2022/07/13 22:00:00,756.358,10.580
2022/07/13 22:15:00,756.767,10.513
2022/07/13 22:30:00,756.650,10.460
2022/07/13 22:45:00,756.767,10.400
2022/07/13 23:00:00,756.650,10.353
2022/07/13 23:15:00,756.650,10.307
2022/07/13 23:30:00,756.650,10.260
2022/07/13 23:45:00,756.650,10.220
2022/07/14 00:00:00,756.767,10.180
2022/07/14 00:15:00,756.767,10.140
2022/07/14 00:30:00,756.825,10.100
2022/07/14 00:45:00,756.650,10.073
2022/07/14 01:00:00,756.767,10.053
2022/07/14 01:15:00,756.942,10.040
2022/07/14 01:30:00,756.650,10.033
2022/07/14 01:45:00,756.650,10.020
2022/07/14 02:00:00,756.767,10.013
2022/07/14 02:15:00,756.650,10.013
2022/07/14 02:30:00,756.767,9.990
2022/07/14 02:45:00,756.650,9.963
