Date_Time,Pressure,Temperature
2022-03-02 00:00:00,757.292,1.32
2022-03-02 00:15:00,757.467,1.257
2022-03-02 00:30:00,757.467,1.187
2022-03-02 00:45:00,757.292,1.12
2022-03-02 01:00:00,757.467,1.063
2022-03-02 01:15:00,757.467,1.007
2022-03-02 01:30:00,757.583,0.953
2022-03-02 01:45:00,757.583,0.897
2022-03-02 02:00:00,757.583,0.84
2022-03-02 02:15:00,757.583,0.783
2022-03-02 02:30:00,757.758,0.73
2022-03-02 02:45:00,757.467,0.687
2022-03-02 03:00:00,757.467,0.64
2022-03-02 03:15:00,757.292,0.59
2022-03-02 03:30:00,757.467,0.547
2022-03-02 03:45:00,757.292,0.507
2022-03-02 04:00:00,757.0,0.463
2022-03-02 04:15:00,757.0,0.43
2022-03-02 04:30:00,757.0,0.393
2022-03-02 04:45:00,757.0,0.373
2022-03-02 05:00:00,757.117,0.353
2022-03-02 05:15:00,757.292,0.34
2022-03-02 05:30:00,757.0,0.327
2022-03-02 05:45:00,757.292,0.32
2022-03-02 06:00:00,757.292,0.303
2022-03-02 06:15:00,757.292,0.297
2022-03-02 06:30:00,757.117,0.29
2022-03-02 06:45:00,757.467,0.277
2022-03-02 07:00:00,757.467,0.277
2022-03-02 07:15:00,757.467,0.27
2022-03-02 07:30:00,757.583,0.263
2022-03-02 07:45:00,757.758,0.257
2022-03-02 08:00:00,757.933,0.257
2022-03-02 08:15:00,758.05,0.25
2022-03-02 08:30:00,758.05,0.25
2022-03-02 08:45:00,758.4,0.243
2022-03-02 09:00:00,758.517,0.243
2022-03-02 09:15:00,758.517,0.233
2022-03-02 09:30:00,758.692,0.233
2022-03-02 09:45:00,758.983,0.243
2022-03-02 10:00:00,758.692,0.257
2022-03-02 10:15:00,758.517,0.31
2022-03-02 10:30:00,758.517,0.41
2022-03-02 10:45:00,758.692,0.63
2022-03-02 11:00:00,758.225,0.98
2022-03-02 11:15:00,758.4,1.39
2022-03-02 11:30:00,758.05,1.787
2022-03-02 11:45:00,758.225,2.177
2022-03-02 12:00:00,758.225,2.58
2022-03-02 12:15:00,758.05,2.937
2022-03-02 12:30:00,757.933,3.2
2022-03-02 12:45:00,757.933,3.493
2022-03-02 13:00:00,757.467,3.797
2022-03-02 13:15:00,757.467,4.123
2022-03-02 13:30:00,757.117,4.467
2022-03-02 13:45:00,756.825,4.743
2022-03-02 14:00:00,756.825,5.03
2022-03-02 14:15:00,756.825,5.293
2022-03-02 14:30:00,756.825,5.56
2022-03-02 14:45:00,756.533,5.857
2022-03-02 15:00:00,756.533,5.983
2022-03-02 15:15:00,756.533,6.1
2022-03-02 15:30:00,756.533,6.183
2022-03-02 15:45:00,756.358,6.2
2022-03-02 16:00:00,756.533,6.17
2022-03-02 16:15:00,756.533,6.093
2022-03-02 16:30:00,756.183,5.983
2022-03-02 16:45:00,756.067,5.863
2022-03-02 17:00:00,756.067,5.74
2022-03-02 17:15:00,756.067,5.593
2022-03-02 17:30:00,756.067,5.44
2022-03-02 17:45:00,756.183,5.273
2022-03-02 18:00:00,756.183,5.1
2022-03-02 18:15:00,756.067,4.927
2022-03-02 18:30:00,755.892,4.743
2022-03-02 18:45:00,756.067,4.557
2022-03-02 19:00:00,756.067,4.377
2022-03-02 19:15:00,756.067,4.2
2022-03-02 19:30:00,755.892,4.02
2022-03-02 19:45:00,755.892,3.84
2022-03-02 20:00:00,755.717,3.673
2022-03-02 20:15:00,755.892,3.513
2022-03-02 20:30:00,755.717,3.353
2022-03-02 20:45:00,755.892,3.207
2022-03-02 21:00:00,755.892,3.06
2022-03-02 21:15:00,755.892,2.927
2022-03-02 21:30:00,755.892,2.803
2022-03-02 21:45:00,755.892,2.683
2022-03-02 22:00:00,755.892,2.567
2022-03-02 22:15:00,755.717,2.453
2022-03-02 22:30:00,755.892,2.343
2022-03-02 22:45:00,755.717,2.247
2022-03-02 23:00:00,755.892,2.157
2022-03-02 23:15:00,755.717,2.067
2022-03-02 23:30:00,755.717,1.967
