Date_Time,Pressure,Temperature
2023-03-02 00:00:00,495.842,2.143
2023-03-02 00:15:00,495.842,2.133
2023-03-02 00:30:00,495.667,2.113
2023-03-02 00:45:00,495.842,2.093
2023-03-02 01:00:00,495.55,2.047
2023-03-02 01:15:00,495.55,2.007
2023-03-02 01:30:00,495.492,1.963
2023-03-02 01:45:00,495.258,1.917
2023-03-02 02:00:00,495.2,1.863
2023-03-02 02:15:00,495.025,1.833
2023-03-02 02:30:00,494.85,1.827
2023-03-02 02:45:00,494.908,1.833
2023-03-02 03:00:00,494.558,1.84
2023-03-02 03:15:00,494.383,1.84
2023-03-02 03:30:00,494.383,1.847
2023-03-02 03:45:00,494.383,1.84
2023-03-02 04:00:00,494.208,1.833
2023-03-02 04:15:00,494.208,1.827
2023-03-02 04:30:00,493.858,1.82
2023-03-02 04:45:00,493.858,1.82
2023-03-02 05:00:00,493.683,1.813
2023-03-02 05:15:00,493.683,1.793
2023-03-02 05:30:00,493.858,1.773
2023-03-02 05:45:00,493.742,1.767
2023-03-02 06:00:00,493.742,1.767
2023-03-02 06:15:00,493.742,1.76
2023-03-02 06:30:00,493.567,1.747
2023-03-02 06:45:00,493.742,1.727
2023-03-02 07:00:00,493.8,1.703
2023-03-02 07:15:00,493.917,1.67
2023-03-02 07:30:00,493.742,1.637
2023-03-02 07:45:00,493.858,1.603
2023-03-02 08:00:00,494.033,1.547
2023-03-02 08:15:00,494.208,1.487
2023-03-02 08:30:00,494.558,1.447
2023-03-02 08:45:00,494.675,1.44
2023-03-02 09:00:00,494.675,1.453
2023-03-02 09:15:00,494.558,1.473
2023-03-02 09:30:00,494.558,1.5
2023-03-02 09:45:00,494.85,1.52
2023-03-02 10:00:00,494.675,1.547
2023-03-02 10:15:00,494.208,1.597
2023-03-02 10:30:00,494.383,1.67
2023-03-02 10:45:00,494.033,1.8
2023-03-02 11:00:00,494.208,1.963
2023-03-02 11:15:00,493.917,2.133
2023-03-02 11:30:00,493.917,2.287
2023-03-02 11:45:00,493.8,2.393
2023-03-02 12:00:00,493.742,2.47
2023-03-02 12:15:00,493.567,2.543
2023-03-02 12:30:00,493.567,2.613
2023-03-02 12:45:00,493.45,2.7
2023-03-02 13:00:00,493.45,2.81
2023-03-02 13:15:00,493.45,2.9
2023-03-02 13:30:00,493.1,2.993
2023-03-02 13:45:00,492.983,3.083
2023-03-02 14:00:00,492.75,3.18
2023-03-02 14:15:00,492.633,3.267
2023-03-02 14:30:00,492.633,3.337
2023-03-02 14:45:00,492.983,3.39
2023-03-02 15:00:00,493.1,3.423
2023-03-02 15:15:00,493.1,3.433
2023-03-02 15:30:00,493.275,3.423
2023-03-02 15:45:00,493.275,3.41
2023-03-02 16:00:00,493.392,3.383
2023-03-02 16:15:00,493.625,3.35
2023-03-02 16:30:00,493.8,3.337
2023-03-02 16:45:00,493.8,3.31
2023-03-02 17:00:00,493.975,3.273
2023-03-02 17:15:00,494.442,3.24
2023-03-02 17:30:00,494.383,3.2
2023-03-02 17:45:00,494.908,3.147
2023-03-02 18:00:00,495.2,3.09
2023-03-02 18:15:00,495.375,3.03
2023-03-02 18:30:00,495.55,2.967
2023-03-02 18:45:00,495.842,2.893
2023-03-02 19:00:00,496.017,2.823
2023-03-02 19:15:00,496.192,2.763
2023-03-02 19:30:00,496.192,2.693
2023-03-02 19:45:00,496.367,2.633
2023-03-02 20:00:00,496.775,2.573
2023-03-02 20:15:00,496.95,2.517
2023-03-02 20:30:00,496.892,2.463
2023-03-02 20:45:00,497.125,2.407
2023-03-02 21:00:00,497.125,2.353
2023-03-02 21:15:00,497.592,2.307
2023-03-02 21:30:00,497.475,2.257
2023-03-02 21:45:00,497.3,2.217
2023-03-02 22:00:00,497.475,2.183
2023-03-02 22:15:00,497.475,2.133
2023-03-02 22:30:00,497.65,2.093
2023-03-02 22:45:00,497.65,2.053
2023-03-02 23:00:00,497.942,2.007
2023-03-02 23:15:00,497.942,1.957
2023-03-02 23:30:00,498.117,1.91
2023-03-02 23:45:00,498.233,1.87
2023-03-03 00:00:00,498.408,1.82
2023-03-03 00:15:00,498.408,1.773
2023-03-03 00:30:00,498.7,1.72
2023-03-03 00:45:00,498.933,1.67
2023-03-03 01:00:00,499.05,1.617
2023-03-03 01:15:00,499.05,1.56
2023-03-03 01:30:00,498.992,1.513
2023-03-03 01:45:00,498.758,1.46
2023-03-03 02:00:00,498.875,1.417
2023-03-03 02:15:00,498.583,1.377
2023-03-03 02:30:00,498.875,1.33
2023-03-03 02:45:00,498.933,1.297
