Date_Time,Pressure,Temperature
2023-03-01 00:00:00,739.908,1.16
2023-03-01 00:15:00,739.908,1.1
2023-03-01 00:30:00,739.792,1.06
2023-03-01 00:45:00,739.792,1.033
2023-03-01 01:00:00,739.617,1.013
2023-03-01 01:15:00,739.908,1.0
2023-03-01 01:30:00,739.908,0.97
2023-03-01 01:45:00,739.908,0.93
2023-03-01 02:00:00,740.083,0.89
2023-03-01 02:15:00,739.792,0.843
2023-03-01 02:30:00,739.733,0.803
2023-03-01 02:45:00,739.442,0.77
2023-03-01 03:00:00,739.442,0.727
2023-03-01 03:15:00,739.617,0.707
2023-03-01 03:30:00,739.442,0.68
2023-03-01 03:45:00,739.15,0.647
2023-03-01 04:00:00,738.975,0.633
2023-03-01 04:15:00,739.267,0.607
2023-03-01 04:30:00,738.625,0.587
2023-03-01 04:45:00,738.625,0.553
2023-03-01 05:00:00,738.625,0.54
2023-03-01 05:15:00,738.625,0.507
2023-03-01 05:30:00,738.508,0.477
2023-03-01 05:45:00,738.508,0.45
2023-03-01 06:00:00,738.683,0.437
2023-03-01 06:15:00,738.625,0.417
2023-03-01 06:30:00,738.333,0.403
2023-03-01 06:45:00,738.333,0.383
2023-03-01 07:00:00,738.158,0.37
2023-03-01 07:15:00,738.158,0.363
2023-03-01 07:30:00,738.333,0.357
2023-03-01 07:45:00,738.158,0.35
2023-03-01 08:00:00,738.333,0.357
2023-03-01 08:15:00,738.158,0.363
2023-03-01 08:30:00,737.983,0.397
2023-03-01 08:45:00,738.333,0.41
2023-03-01 09:00:00,738.158,0.45
2023-03-01 09:15:00,738.333,0.423
2023-03-01 09:30:00,738.158,0.437
2023-03-01 09:45:00,738.508,0.483
2023-03-01 10:00:00,738.8,0.58
2023-03-01 10:15:00,738.625,0.587
2023-03-01 10:30:00,738.625,0.6
2023-03-01 10:45:00,738.625,0.64
2023-03-01 11:00:00,738.508,0.7
2023-03-01 11:15:00,738.508,0.727
2023-03-01 11:30:00,738.508,0.77
2023-03-01 11:45:00,738.158,0.823
2023-03-01 12:00:00,738.508,0.897
2023-03-01 12:15:00,738.333,0.97
2023-03-01 12:30:00,738.333,1.047
2023-03-01 12:45:00,738.158,1.127
2023-03-01 13:00:00,738.333,1.187
2023-03-01 13:15:00,738.508,1.277
2023-03-01 13:30:00,737.983,1.337
2023-03-01 13:45:00,737.983,1.403
2023-03-01 14:00:00,737.692,1.507
2023-03-01 14:15:00,737.517,1.613
2023-03-01 14:30:00,737.225,1.727
2023-03-01 14:45:00,737.225,1.843
2023-03-01 15:00:00,737.05,1.937
2023-03-01 15:15:00,736.875,2.033
2023-03-01 15:30:00,736.875,2.127
2023-03-01 15:45:00,737.05,2.2
2023-03-01 16:00:00,737.342,2.24
2023-03-01 16:15:00,737.517,2.263
2023-03-01 16:30:00,737.4,2.27
2023-03-01 16:45:00,737.692,2.303
