sample,sediment (mg),SSC (mg/L)_x,D50,datetime,depth,volconc (uL/L),0.37,0.44,0.52,0.61,0.72,0.85,1.01,1.19,1.4,1.65,1.95,2.3,2.72,3.2,3.78,4.46,5.27,6.21,7.33,8.65,10.21,12.05,14.22,16.78,19.81,23.37,27.58,32.55,38.41,45.32,53.48,63.11,74.48,87.89,103.72,122.39,144.43,170.44,201.13,237.35,280.09,330.52,390.04,460.27,SSC (mg/L)_y,Q,P3,Turbidity (NTU),Clay,Silt,Fine_Sand,Coarse_Sand,Fine/Sand
UP7,0.0043,21.5,56.03,4/18/2023 16:30,,93.48,0.000310227,0.000342319,0.000374412,0.000406504,0.000470689,0.000524176,0.000631151,0.000877193,0.001315789,0.001690201,0.002043218,0.002567394,0.002920411,0.003508772,0.004172015,0.005241763,0.00665383,0.008386821,0.010355156,0.01292255,0.016089003,0.019587077,0.024186992,0.029107831,0.034477963,0.040703894,0.048609328,0.056514763,0.064548567,0.07084938,0.073577236,0.075834403,0.072443303,0.066923406,0.058664955,0.048716303,0.039773214,0.030412923,0.021854942,0.015404365,0.010205392,0.006750107,0.004781772,0.00436457,26.23676667,0.114273967,0.290618256,28.75514333,0.193196399,3.873817927,16.54267227,0.798545174,0.234528766
UP8,0.0021,11.053,66.14,4/18/2023 21:30,,53.79,0.000390407,0.000408998,0.000427589,0.00046477,0.000520543,0.000594906,0.000743633,0.001078267,0.001673173,0.002230898,0.002807213,0.0036438,0.00410857,0.004926566,0.005595836,0.006767057,0.008105596,0.009555679,0.011098717,0.012920617,0.01479829,0.016322737,0.018144637,0.020059491,0.022922476,0.028165086,0.037107269,0.046886038,0.05603272,0.065885852,0.072597137,0.080423871,0.08131623,0.076389664,0.070310467,0.060085518,0.050808701,0.037962447,0.025878416,0.01753114,0.010522402,0.006190742,0.003457892,0.002137944,15.60599333,0.114919321,0.295465436,17.720414,0.125345408,1.757096173,8.730205595,0.416722151,0.205800421
UP9,0.0036,18,57.16,4/19/2023 2:30,,47.58,0.00023119,0.000252207,0.000273224,0.000294241,0.000336276,0.000399327,0.000483396,0.000672551,0.001071879,0.001429172,0.001807482,0.002437999,0.00273224,0.003446826,0.00395124,0.004875998,0.00592686,0.007124842,0.00851198,0.010445565,0.012904582,0.015825977,0.019714166,0.024043716,0.029319042,0.036738125,0.048045397,0.060907945,0.074211854,0.084510298,0.088272383,0.091761244,0.08442623,0.073076923,0.06063472,0.046090794,0.035119798,0.023833544,0.01481715,0.008995376,0.004791929,0.002543085,0.001450189,0.001219,8.867346667,0.103697477,0.300312615,10.72581933,0.13051701,2.722698594,14.80403529,0.320050422,0.188653758
UP10,0.0013,6.5,47.14,4/19/2023 7:30,,40.96,0.000244141,0.000244141,0.000268555,0.000292969,0.000341797,0.000390625,0.000488281,0.000708008,0.001098633,0.001464844,0.001855469,0.002636719,0.00300293,0.003930664,0.004638672,0.005859375,0.007202148,0.00847168,0.009741211,0.011621094,0.01394043,0.016381836,0.019799805,0.02331543,0.027441406,0.032958984,0.04140625,0.051171875,0.062060547,0.071459961,0.077270508,0.084667969,0.083276367,0.078588867,0.070263672,0.057055664,0.045654297,0.03215332,0.02043457,0.012524414,0.006713867,0.003491211,0.001904297,0.001464844,9.14486,0.098450499,0.305159795,11.01385533,0.048083509,1.0268921,5.254748532,0.160119629,0.198522952
UP13,0.0006,6,38.82,4/19/2023 22:30,30.49,22.36,0.000581395,0.000626118,0.000670841,0.000760286,0.000894454,0.001028623,0.001252236,0.001788909,0.002862254,0.004025045,0.005545617,0.00773703,0.009794275,0.012388193,0.015161002,0.018783542,0.022406082,0.024821109,0.025849732,0.027057245,0.027996422,0.028398927,0.030232558,0.032871199,0.037298748,0.044543828,0.053443649,0.057423971,0.055366726,0.053398927,0.048479428,0.042128801,0.037075134,0.030769231,0.027191413,0.025805009,0.024150268,0.023211091,0.022584973,0.023881932,0.025715564,0.026162791,0.022182469,0.016144902,7.730533333,0.129038566,0.3049,9.5457912,0.120214668,1.924776384,3.273434694,0.587656536,0.529640697
UP14,0.0008,8.889,52.1,4/20/2023 3:30,30.34,30.84,0.00042153,0.000453956,0.000486381,0.000583658,0.000648508,0.000745785,0.000875486,0.001232166,0.001977951,0.002756161,0.003761349,0.005058366,0.006420233,0.007846952,0.009565499,0.011608301,0.013683528,0.015402075,0.016828794,0.018871595,0.021044099,0.022762646,0.024902724,0.026459144,0.0288262,0.034176394,0.044422827,0.055479896,0.063391699,0.070363165,0.07266537,0.073800259,0.06770428,0.057619974,0.05042153,0.042185473,0.036964981,0.027885863,0.020363165,0.015402075,0.010343709,0.006841764,0.004085603,0.002529183,8.945666667,0.125150502,0.3034,10.8071176,0.123938714,2.038071307,6.377367503,0.325987639,0.322526552
UP17,0.0007,4.667,58.21,4/20/2023 23:30,29.73,24.91,0.000521879,0.000562023,0.000642312,0.000762746,0.000883179,0.001043758,0.001204336,0.001645925,0.002609394,0.003532718,0.004456042,0.005740666,0.006784424,0.008269771,0.01003613,0.012605379,0.015535929,0.017944601,0.01926937,0.020313127,0.020915295,0.020915295,0.021678041,0.023123244,0.026134083,0.031834605,0.039943798,0.046166198,0.049618627,0.055359293,0.058410277,0.057125652,0.055158571,0.047812124,0.041188278,0.036973103,0.031995183,0.029586511,0.027980731,0.028904055,0.030951425,0.03259735,0.028984344,0.022240064,11.88290667,0.110491674,0.2973,13.85593053,0.083372744,1.069981412,2.842916822,0.566747291,0.338260344
UP20,0.0025,17.857,75.8,4/21/2023 19:30,28.72,67.12,0.000238379,0.000253278,0.000283075,0.000327771,0.000387366,0.000461859,0.000581049,0.000789631,0.001191895,0.001504768,0.00181764,0.002324195,0.002577473,0.003158522,0.003575685,0.004290822,0.00511025,0.005974374,0.006912992,0.008224076,0.00999702,0.012202026,0.015464839,0.019561979,0.024508343,0.03022944,0.036889154,0.043682956,0.051400477,0.059296782,0.066060787,0.072452324,0.075879023,0.078009535,0.074061383,0.068057211,0.058492253,0.048227056,0.036114422,0.026102503,0.017669845,0.011844458,0.007881406,0.006108462,9.843233333,0.089148943,0.2872,11.7388058,0.139940148,2.212171517,14.2651145,1.133887572,0.152744422
UP22,0.001,6.67,80.92,4/22/2023 5:30,28.47,51.68,0.000135449,0.000154799,0.000174149,0.000212848,0.000270898,0.000348297,0.000445046,0.000638545,0.000986842,0.001315789,0.001644737,0.002321981,0.00249613,0.003270124,0.003599071,0.004334365,0.005166409,0.005998452,0.006849845,0.007914087,0.009055728,0.010139319,0.011861455,0.014531734,0.018672601,0.025290248,0.034210526,0.041602167,0.047368421,0.057043344,0.066660217,0.073568111,0.083339783,0.08630031,0.084171827,0.079798762,0.066002322,0.051799536,0.035642415,0.023393963,0.014241486,0.008494582,0.005069659,0.003560372,6.127293333,0.084370068,0.2847,7.8816796,0.042203751,0.708429378,5.554762587,0.341501932,0.127306556
UP24,0.0008,5.333,65.03,4/22/2023 15:30,28.36,57.56,0.000243224,0.000243224,0.000260598,0.000277971,0.000312717,0.000364837,0.000469076,0.000660181,0.000955525,0.001198749,0.0014246,0.001893676,0.002032662,0.002588603,0.002918694,0.003596247,0.004447533,0.005385685,0.006514941,0.007991661,0.009815844,0.011865879,0.014993051,0.019423211,0.025747047,0.034885337,0.046473245,0.05628909,0.064471855,0.074843641,0.082123002,0.084068798,0.084781098,0.079603892,0.069318972,0.0595205,0.046177901,0.034642113,0.023245309,0.014923558,0.008773454,0.005055594,0.00295344,0.002171647,8.084026667,0.08250779,0.2836,9.912716267,0.034188274,0.635772176,4.482091868,0.169088343,0.144040957
UP25,0.0012,8,59.21,4/22/2023 20:30,28.47,63.53,0.000236109,0.000236109,0.00026759,0.000299071,0.000346293,0.000393515,0.000503699,0.000739808,0.001164804,0.0015898,0.002062018,0.002880529,0.003368487,0.004328664,0.004974028,0.006044388,0.00714623,0.008185109,0.009239729,0.010687864,0.012466551,0.014371163,0.017314654,0.02142295,0.027498819,0.03650244,0.04841807,0.058775382,0.067432709,0.078120573,0.085534393,0.087344562,0.085471431,0.075885408,0.062505903,0.050543051,0.037179285,0.026759011,0.017235952,0.010861011,0.006311979,0.003620337,0.002172202,0.001699984,8.107553333,0.084370068,0.2847,9.937147333,0.062710528,1.19943332,6.54166536,0.183724232,0.187668511
UP30,0.0013,8.667,69.81,4/24/2023 2:00,29.28,66.59,6.01E-05,7.51E-05,0.000105121,0.000135155,0.000195225,0.000270311,0.00033038,0.000435501,0.000675777,0.000840967,0.001006157,0.00132152,0.001501727,0.001847124,0.002027331,0.002387746,0.002823247,0.003318817,0.003829404,0.004445112,0.005256044,0.006412374,0.008890224,0.013981078,0.022480853,0.033263253,0.04257396,0.051329028,0.062066376,0.074891125,0.092731641,0.096636132,0.097732392,0.093527557,0.072413275,0.057996696,0.039570506,0.029448866,0.020979126,0.015152425,0.011458177,0.009025379,0.007328428,0.007223307,6.0986,0.100451295,0.2928,7.851839467,0.035792925,0.697889383,7.498341139,0.372372533,0.093216745
UP33,0.0024,15,48.05,4/24/2023 17:00,30.24,27.12,0.000589971,0.000663717,0.000737463,0.000884956,0.001106195,0.001327434,0.001622419,0.002249263,0.00350295,0.004646018,0.005899705,0.007522124,0.00899705,0.010840708,0.012868732,0.015671091,0.018731563,0.021349558,0.023193215,0.025184366,0.02699115,0.028244838,0.030530973,0.033148968,0.036135693,0.039159292,0.041666667,0.041887906,0.040707965,0.039417404,0.036910029,0.033923304,0.030825959,0.027654867,0.024963127,0.024225664,0.02359882,0.025036873,0.027617994,0.033259587,0.042441003,0.050811209,0.050516224,0.042809735,11.09580667,0.122601805,0.3024,13.03891667,0.348451365,4.491150435,6.863938065,2.655420345,0.508395796
