Size,Avg,D25,D50,D75,Class
0.37,0.012824833,0.010870772,0.012070932,0.016216992,C
0.44,0.013552192,0.011327824,0.013120579,0.016995362,C
0.52,0.014666812,0.012038022,0.014695048,0.018627968,C
0.61,0.016019153,0.012748219,0.016213423,0.020332212,C
0.72,0.017967536,0.013734879,0.017950575,0.02275337,C
0.85,0.020695796,0.015650478,0.02084583,0.026137505,C
1.01,0.025512585,0.019301073,0.026057287,0.032248865,C
1.19,0.035124766,0.026529719,0.036480202,0.044118232,C
1.4,0.050943796,0.038095854,0.053851726,0.063889217,C
1.65,0.062830673,0.046553206,0.067177363,0.078502037,C
1.95,0.072468204,0.05368595,0.077673826,0.089761083,C
2.3,0.081703344,0.059782295,0.088170289,0.101635973,S
2.72,0.088834876,0.064050431,0.094698099,0.11137472,S
3.2,0.094993594,0.067948978,0.099645015,0.120217012,S
3.78,0.102768955,0.072936339,0.106712037,0.131197496,S
4.46,0.113670498,0.080092443,0.115899166,0.1452336,S
5.27,0.126104092,0.087609755,0.126499699,0.15956408,S
6.21,0.141057835,0.096862062,0.139220339,0.17645179,S
7.33,0.158193881,0.106981867,0.155474491,0.195607204,S
8.65,0.178280874,0.119305936,0.175262153,0.217898899,S
10.21,0.202665627,0.134413101,0.199957619,0.245835899,S
12.05,0.231806101,0.154038358,0.228298069,0.280383191,S
14.22,0.273106401,0.184434795,0.272383213,0.331914603,S
16.78,0.320145144,0.223867416,0.32853929,0.39502615,S
19.81,0.369664495,0.272300701,0.394667006,0.460955242,S
23.37,0.410246153,0.323008374,0.455546491,0.492841656,S
27.58,0.445553065,0.382980096,0.459600796,0.523348485,S
32.55,0.462494186,0.400264472,0.442885329,0.554056087,S
38.41,0.461327053,0.380443915,0.498347948,0.570707696,S
45.32,0.439788673,0.346706108,0.492808935,0.550905339,S
53.48,0.390814395,0.29073309,0.428780511,0.504249436,S
63.11,0.332904818,0.232552622,0.355830093,0.441300668,FS
74.48,0.263047628,0.173427719,0.281380216,0.354144951,FS
87.89,0.201021607,0.126983417,0.208042115,0.278035754,FS
103.72,0.146190099,0.088964122,0.139820512,0.202986757,FS
122.39,0.110674977,0.057232403,0.104802185,0.148884695,FS
144.43,0.082273588,0.034563334,0.076449903,0.105862512,FS
170.44,0.062481881,0.018911494,0.057070698,0.074411764,FS
201.13,0.047452273,0.009191935,0.037565523,0.050877931,FS
237.35,0.040524492,0.007096772,0.026729314,0.039016116,FS
280.09,0.040090425,0.009763547,0.022033624,0.043492108,FS
330.52,0.039555394,0.012356901,0.016346902,0.049752921,FS
390.04,0.031770184,0.008245412,0.012595154,0.041494743,FS
460.27,0.021696134,0.003323685,0.005211457,0.024397968,FS
