Size,Avg,D25,D50,D75,Class
0.37,0.00503061,0.001993027,0.00347721,0.005953854,C
0.44,0.005521579,0.002039057,0.003785511,0.006915681,C
0.52,0.0062836,0.002299581,0.004333596,0.007547718,C
0.61,0.00743469,0.002712816,0.005241495,0.009333419,C
0.72,0.009039089,0.003151655,0.006537371,0.010956495,C
0.85,0.010852519,0.003772686,0.008129277,0.012424404,C
1.01,0.013174542,0.004664833,0.00988786,0.014899638,C
1.19,0.017988975,0.006464183,0.013495765,0.020339468,C
1.4,0.027224125,0.00989355,0.020409718,0.031348908,C
1.65,0.035232704,0.012794864,0.026724274,0.043573213,C
1.95,0.043703388,0.016035452,0.033882146,0.050934827,C
2.3,0.056500438,0.021425581,0.044302592,0.064031732,S
2.72,0.0664918,0.025769826,0.050153155,0.070682266,S
3.2,0.082723301,0.037606533,0.063327644,0.093960832,S
3.78,0.098439318,0.043399235,0.072600843,0.111266958,S
4.46,0.11723995,0.053006064,0.087107458,0.136679748,S
5.27,0.13803953,0.063086586,0.101018806,0.156373135,S
6.21,0.158797286,0.072688126,0.117884704,0.192044627,S
7.33,0.17817959,0.082429607,0.136768246,0.218526773,S
8.65,0.201780238,0.095867195,0.158555765,0.255550229,S
10.21,0.230174475,0.110667721,0.18355949,0.291044096,S
12.05,0.260888805,0.12027587,0.202809376,0.329006777,S
14.22,0.306403476,0.146363672,0.232862646,0.385110922,S
16.78,0.363346082,0.179696029,0.267886829,0.463805333,S
19.81,0.435998669,0.220620054,0.319279133,0.574732916,S
23.37,0.525729198,0.267500538,0.368204802,0.689098337,S
27.58,0.631553236,0.33427226,0.490586102,0.815881132,S
32.55,0.730509401,0.397795116,0.569391958,0.913876374,S
38.41,0.827341006,0.411222391,0.646639947,1.057317464,S
45.32,0.910368915,0.45725638,0.752838806,1.215264199,S
53.48,0.962861394,0.490760323,0.785114756,1.329941424,S
63.11,0.983743588,0.493588294,0.792847163,1.418375923,FS
74.48,0.951562015,0.495884053,0.767332518,1.416741703,FS
87.89,0.882870883,0.445399834,0.720017514,1.327256127,FS
103.72,0.758226941,0.375680277,0.562740006,1.106213362,FS
122.39,0.623959735,0.281749555,0.457335811,0.864999688,FS
144.43,0.479288973,0.201833654,0.327727803,0.648009965,FS
170.44,0.34339858,0.134578272,0.248335346,0.44654495,FS
201.13,0.222731252,0.080139273,0.151099458,0.281366208,FS
237.35,0.141367873,0.048341547,0.078532429,0.169714263,FS
280.09,0.089777954,0.020173536,0.04926588,0.101656856,FS
330.52,0.055901077,0.009539741,0.026072575,0.064456708,FS
390.04,0.03036475,0.00347455,0.013346961,0.028896674,FS
460.27,0.014359212,0.001358961,0.006588144,0.012873643,FS
