Size,Avg,D25,D50,D75,Class
0.37,0.004745551,0.003077903,0.004258515,0.006329884,C
0.44,0.005030659,0.003243558,0.004524672,0.006697678,C
0.52,0.005487079,0.003496706,0.004953481,0.007298508,C
0.61,0.006150243,0.003862365,0.005589301,0.008132373,C
0.72,0.007084376,0.004368067,0.006446918,0.009394334,C
0.85,0.008359044,0.00506828,0.007644625,0.011108959,C
1.01,0.010407754,0.006262616,0.009522512,0.013899404,C
1.19,0.014439675,0.008683122,0.013278286,0.019298641,C
1.4,0.0209463,0.012565207,0.01948862,0.027858361,C
1.65,0.02602904,0.015529334,0.02448646,0.034515818,C
1.95,0.03005548,0.017869491,0.028582323,0.03975049,C
2.3,0.033947141,0.020061658,0.032648613,0.044824338,S
2.72,0.036666351,0.02162271,0.035531982,0.048189546,S
3.2,0.038885715,0.022894479,0.037897824,0.050987412,S
3.78,0.041213641,0.024341442,0.040322812,0.053600633,S
4.46,0.044326039,0.026339185,0.043383619,0.057175743,S
5.27,0.047524044,0.028495305,0.04642964,0.060774675,S
6.21,0.051055207,0.031076057,0.049741818,0.064862003,S
7.33,0.054786342,0.034186278,0.053113142,0.069364767,S
8.65,0.058856079,0.037637405,0.056691478,0.074278479,S
10.21,0.06419859,0.042012651,0.061630172,0.081052675,S
12.05,0.070585921,0.047379082,0.067529989,0.089257078,S
14.22,0.080253718,0.055687412,0.076431468,0.101461005,S
16.78,0.092963202,0.06634533,0.088231103,0.117634773,S
19.81,0.108876631,0.07972995,0.102707095,0.137575961,S
23.37,0.127529311,0.094591993,0.119593289,0.16078582,S
27.58,0.149756359,0.112237469,0.139865594,0.187318604,S
32.55,0.170615794,0.127729491,0.159916101,0.212686026,S
38.41,0.188180858,0.138480035,0.178709755,0.235450094,S
45.32,0.199036712,0.143734387,0.190051007,0.248920106,S
53.48,0.194909992,0.136901172,0.186576178,0.245921839,S
63.11,0.185190703,0.127683384,0.174911867,0.231611473,FS
74.48,0.161619951,0.110201101,0.152267451,0.200032148,FS
87.89,0.137452828,0.092067135,0.130291421,0.16746209,FS
103.72,0.111455435,0.073441456,0.106380636,0.134532416,FS
122.39,0.090866891,0.060638718,0.085717396,0.109330276,FS
144.43,0.073685901,0.047105332,0.068180596,0.086693667,FS
170.44,0.059995043,0.034745558,0.054872737,0.069261881,FS
201.13,0.046717522,0.024170817,0.042008474,0.053478193,FS
237.35,0.037697512,0.01941205,0.03322554,0.042008256,FS
280.09,0.03103287,0.019169471,0.026295518,0.03528914,FS
330.52,0.026307536,0.017754336,0.021517908,0.032632077,FS
390.04,0.02198757,0.014204386,0.0186674,0.027507777,FS
460.27,0.02029648,0.011193181,0.015762419,0.026090777,FS
