Size (um),Vol Conc
0.37,0.19
0.44,0.19
0.52,0.19
0.61,0.18
0.72,0.18
0.85,0.19
1.01,0.24
1.19,0.37
1.4,0.57
1.65,0.72
1.95,0.88
2.3,1
2.72,1.07
3.2,1.11
3.78,1.17
4.46,1.29
5.27,1.4
6.21,1.53
7.33,1.67
8.65,1.81
10.21,2
12.05,2.24
14.22,2.59
16.78,3.04
19.81,3.57
23.37,4.09
27.58,4.7
32.55,5.38
38.41,6.36
45.32,7.68
53.48,9.06
63.11,10.95
74.48,12.65
87.89,15.15
103.72,16.86
122.39,19.03
144.43,20.76
170.44,22.58
201.13,22.38
237.35,23.07
280.09,22.32
330.52,19.82
390.04,17.57
460.27,21.39
TOTAL,311.19
