Size (um),Vol Conc
0.37,0.3
0.44,0.28
0.52,0.27
0.61,0.25
0.72,0.23
0.85,0.24
1.01,0.3
1.19,0.43
1.4,0.59
1.65,0.69
1.95,0.79
2.3,0.85
2.72,0.91
3.2,0.96
3.78,1.04
4.46,1.16
5.27,1.33
6.21,1.55
7.33,1.85
8.65,2.19
10.21,2.61
12.05,3.16
14.22,3.96
16.78,5.01
19.81,6.34
23.37,7.84
27.58,9.83
32.55,12.33
38.41,15.57
45.32,19.39
53.48,23.16
63.11,27.07
74.48,28.48
87.89,28.24
103.72,25.41
122.39,22.16
144.43,18.25
170.44,14.33
201.13,10.79
237.35,8.47
280.09,7.16
330.52,6.32
390.04,5.36
460.27,4.9
TOTAL,332.35
