Size (um),Vol Conc
0.37,0.26
0.44,0.26
0.52,0.25
0.61,0.24
0.72,0.23
0.85,0.24
1.01,0.3
1.19,0.42
1.4,0.58
1.65,0.69
1.95,0.78
2.3,0.84
2.72,0.89
3.2,0.95
3.78,1.04
4.46,1.17
5.27,1.34
6.21,1.55
7.33,1.82
8.65,2.13
10.21,2.52
12.05,3.001
14.22,3.74
16.78,4.73
19.81,6.01
23.37,7.43
27.58,9.27
32.55,11.61
38.41,14.65
45.32,18.17
53.48,21.64
63.11,24.89
74.48,25.63
87.89,24.82
103.72,21.84
122.39,19.05
144.43,15.77
170.44,12.5
201.13,9.45
237.35,7.44
280.09,6.45
330.52,5.84
390.04,4.97
460.27,4.42
TOTAL,301.821
