Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,13.7339,47.06501215,47.06501215,52.93498785
0.85,2.477,8.488487254,55.5534994,44.4465006
0.3,9.6765,33.16061643,88.71411584,11.28588416
0.25,0.6625,2.270336215,90.98445205,9.015547948
0.125,1.509,5.171226187,96.15567824,3.844321761
0.063,0.6161,2.111327007,98.26700525,1.732994753
0.053,0.0965,0.33069803,98.59770328,1.402296724
0.038,0.2185,0.748782586,99.34648586,0.653514138
0.025,0.1442,0.494162237,99.8406481,0.1593519
pan,0.0465,0.1593519,100,0
TOTAL,29.1807,,,
,,,,
