Sieve Size (mm),T0C,T0D,T25A,T25B,T25C,T25D,T4A,T4B,T4C,T4D,T5A,T5B,T5C,T5D,T6A,T6B,T6C,T6D,T7A,T7C,T7D,T8A,T8B
5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,54.1604491,38.13410958,44.49114418,59.97864016,46.97074153,56.48097394,48.69982793,44.23682672,47.61697741,57.61489719,37.92243894,36.88497068,52.93498785,39.69341806,31.89521636,42.45044888,51.5807089,48.40996236,52.60861593,52.86659863,49.63616336,45.1572486,43.63811856
0.85,45.26464633,30.35475329,35.828248,50.42083965,39.19973527,47.06945206,40.88893192,36.08074038,40.35177065,49.68353627,31.26596398,30.26487695,44.4465006,32.95614654,25.3920679,35.40930775,43.2342702,39.87758117,43.90600648,43.01929408,39.95725276,36.65877002,34.79235419
0.3,9.977553358,6.502306322,7.586202496,10.26144005,7.438711634,9.382084441,11.1778631,8.980968608,11.07232911,14.04192192,8.891076581,7.529539071,11.28588416,7.152428022,4.823512158,8.198855383,13.32110166,9.231833585,13.44520656,6.1234936,7.076123185,6.146540741,6.732622723
0.25,7.942982994,5.288683424,6.351259085,7.786532405,5.970962138,7.327892482,8.848768691,7.196972078,8.705661205,11.2058991,7.111157389,5.990404277,9.015547948,5.741272456,4.110411454,6.187044078,11.7551783,7.855794374,11.15579188,4.877424556,5.708382796,4.658180402,5.077956097
0.125,3.733286552,2.782024871,3.776085149,3.706004366,3.295369936,3.354853117,3.892296508,3.508578901,5.472857433,5.497219834,3.137340281,2.767323621,3.844321761,2.645955911,2.510976068,2.607932942,8.046023361,4.994664697,5.831048364,2.640258747,2.998869966,2.011013193,2.042703594
0.063,1.8542786,1.724391319,2.462867681,2.098567656,2.078564928,2.077538895,1.842488849,1.727725978,4.026564978,3.02825867,1.455078418,1.328920044,1.732994753,1.517219738,1.478904868,1.24106016,5.181660551,2.993632814,3.274521406,1.559265859,1.724442973,1.060467271,0.971905677
0.053,1.625584944,1.512452075,2.136158573,1.68399429,1.728345697,1.729365031,1.492330117,1.3244013,2.013903553,2.495076223,1.18340488,1.070265195,1.402296724,1.322350357,1.194764484,0.899341964,4.426253747,2.363949766,2.873644645,1.35771939,1.479887681,0.917695863,0.80550449
0.038,0.946478921,1.037006861,1.607808688,0.950930497,1.070650525,0.767741979,0.789272758,0.726487397,1.041317318,1.393891253,0.546029102,0.502860416,0.653514138,0.924139013,0.664980156,0.431811146,2.838152076,1.244122372,1.639760974,0.857052367,0.960528719,0.537393264,0.428626026
0.025,0.433503409,0.626277888,1.313430169,0.428195711,0.60461076,0.25681629,0.268692485,0.378175828,0.186319202,0.730496222,0.068786099,0.075588196,0.1593519,0.513689496,0.223645979,0.067867377,1.344140221,0.286699265,0.404627168,0.26520956,0.295635102,0.202154206,0.105029417
