Size (um),Vol Conc
0.37,0.17
0.44,0.17
0.52,0.17
0.61,0.17
0.72,0.17
0.85,0.18
1.01,0.23
1.19,0.33
1.4,0.46
1.65,0.56
1.95,0.66
2.3,0.74
2.72,0.8
3.2,0.86
3.78,0.93
4.46,1.01
5.27,1.11
6.21,1.22
7.33,1.34
8.65,1.48
10.21,1.67
12.05,1.93
14.22,2.33
16.78,2.89
19.81,3.61
23.37,4.45
27.58,5.49
32.55,6.79
38.41,8.54
45.32,10.7
53.48,12.92
63.11,15.42
74.48,17.07
87.89,18.65
103.72,18.49
122.39,18.23
144.43,17.38
170.44,16.98
201.13,15.89
237.35,15.46
280.09,14.69
330.52,13.95
390.04,12.36
460.27,10.96
TOTAL,279.61
