Size (um),Vol Conc
0.37,0.14
0.44,0.13
0.52,0.13
0.61,0.13
0.72,0.13
0.85,0.15
1.01,0.19
1.19,0.26
1.4,0.37
1.65,0.45
1.95,0.51
2.3,0.57
2.72,0.61
3.2,0.65
3.78,0.68
4.46,0.74
5.27,0.8
6.21,0.88
7.33,0.97
8.65,1.08
10.21,1.23
12.05,1.42
14.22,1.72
16.78,2.15
19.81,2.73
23.37,3.52
27.58,4.55
32.55,5.79
38.41,7.34
45.32,9.15
53.48,10.84
63.11,12.26
74.48,12.69
87.89,12.58
103.72,11.54
122.39,10.43
144.43,9.1
170.44,7.94
201.13,6.6
237.35,5.68
280.09,4.83
330.52,4.19
390.04,3.69
460.27,3.74
TOTAL,165.28
