Size (um),Vol Conc
0.37,0.12
0.44,0.12
0.52,0.12
0.61,0.12
0.72,0.12
0.85,0.14
1.01,0.17
1.19,0.25
1.4,0.35
1.65,0.43
1.95,0.5
2.3,0.57
2.72,0.62
3.2,0.66
3.78,0.71
4.46,0.79
5.27,0.89
6.21,1
7.33,1.13
8.65,1.27
10.21,1.43
12.05,1.62
14.22,1.89
16.78,2.22
19.81,2.64
23.37,3.15
27.58,3.79
32.55,4.55
38.41,5.53
45.32,6.81
53.48,8.19
63.11,9.78
74.48,10.83
87.89,11.47
103.72,11.29
122.39,11.08
144.43,10.62
170.44,10.31
201.13,9.67
237.35,9.47
280.09,9.26
330.52,8.85
390.04,7.75
460.27,7.04
TOTAL,179.32
