Size (um),Vol Conc
0.37,0.21
0.44,0.21
0.52,0.21
0.61,0.21
0.72,0.22
0.85,0.24
1.01,0.3
1.19,0.43
1.4,0.62
1.65,0.75
1.95,0.87
2.3,0.97
2.72,1.04
3.2,1.11
3.78,1.2
4.46,1.33
5.27,1.49
6.21,1.66
7.33,1.86
8.65,2.09
10.21,2.38
12.05,2.72
14.22,3.22
16.78,3.83
19.81,4.6
23.37,5.46
27.58,6.61
32.55,7.99
38.41,9.69
45.32,11.75
53.48,13.88
63.11,16.42
74.48,18.2
87.89,19.74
103.72,19.98
122.39,19.45
144.43,18.24
170.44,16.32
201.13,13.43
237.35,11.59
280.09,10.69
330.52,10.1
390.04,8.78
460.27,7.51
TOTAL,279.6
