Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,28.0851,51.30017207,51.30017207,48.69982793
0.85,4.2762,7.810896019,59.11106808,40.88893192
0.3,16.2658,29.71106882,88.8221369,11.1778631
0.25,1.2751,2.32909441,91.15123131,8.848768691
0.125,2.7135,4.956472183,96.10770349,3.892296508
0.063,1.1222,2.049807659,98.15751115,1.842488849
0.053,0.1917,0.350158731,98.50766988,1.492330117
0.038,0.3849,0.703057359,99.21072724,0.789272758
0.025,0.285,0.520580273,99.73130751,0.268692485
pan,0.1471,0.268692485,100,0
TOTAL,54.7466,,,
,,,,
