lab_ID,,,,,,,,,,,,,,,
sample,ST1D01,ST1D02,ST1D05,ST1D06,ST1D10,ST1D18,ST1U01,ST1U03,ST1U08,ST1U11,ST1U15,ST1U24,,,
sediment (mg),,,,,,,,,,,,,,,
SSC (mg/L),,,,,,,,,,,,,,,
D50,20.286,24.423,22.67,35.16,46.527,32.353,55.816,33.373,26.528,37.351,43.453,68.922,,,
datetime,,,,,,,,,,,,,,,
volconc (uL/L),95.219,114.278,50.929,101.071,43.152,17.697,92.061,95.686,89.666,124.049,65.296,42.867,,,
0.37,0.143,0.214,0.101,0.144,0.068,0.025,0.064,0.091,0.134,0.237,0.088,0.051,,,
0.44,0.16,0.231,0.109,0.15,0.065,0.026,0.063,0.095,0.145,0.249,0.089,0.045,,,
0.52,0.186,0.256,0.121,0.159,0.061,0.027,0.062,0.101,0.163,0.268,0.09,0.038,,,
0.61,0.225,0.294,0.138,0.171,0.055,0.028,0.06,0.11,0.189,0.295,0.092,0.03,,,
0.72,0.275,0.344,0.16,0.185,0.05,0.03,0.061,0.121,0.224,0.329,0.095,0.024,,,
0.85,0.327,0.404,0.185,0.205,0.051,0.033,0.067,0.139,0.265,0.373,0.102,0.024,,,
1.01,0.388,0.494,0.218,0.245,0.064,0.041,0.086,0.175,0.323,0.449,0.123,0.031,,,
1.19,0.53,0.68,0.291,0.336,0.096,0.059,0.127,0.254,0.448,0.615,0.173,0.048,,,
1.4,0.816,1,0.418,0.487,0.144,0.089,0.185,0.387,0.671,0.892,0.253,0.067,,,
1.65,1.06,1.252,0.509,0.607,0.191,0.113,0.24,0.508,0.852,1.105,0.323,0.085,,,
1.95,1.27,1.451,0.575,0.718,0.252,0.142,0.305,0.63,1.004,1.278,0.394,0.112,,,
2.3,1.527,1.649,0.654,0.842,0.325,0.179,0.386,0.776,1.172,1.452,0.477,0.148,,,
2.72,1.752,1.793,0.702,0.939,0.383,0.2,0.455,0.904,1.304,1.58,0.541,0.177,,,
3.2,1.952,1.918,0.761,1.047,0.458,0.236,0.54,1.065,1.438,1.704,0.62,0.22,,,
3.78,2.2,2.079,0.823,1.165,0.527,0.263,0.629,1.264,1.607,1.855,0.699,0.254,,,
4.46,2.531,2.312,0.921,1.332,0.625,0.309,0.76,1.562,1.85,2.073,0.814,0.306,,,
5.27,2.899,2.577,1.043,1.523,0.719,0.356,0.912,1.921,2.125,2.311,0.944,0.364,,,
6.21,3.252,2.874,1.2,1.738,0.795,0.4,1.072,2.275,2.396,2.555,1.08,0.42,,,
7.33,3.527,3.204,1.391,1.974,0.86,0.44,1.232,2.588,2.643,2.8,1.215,0.472,,,
8.65,3.788,3.606,1.637,2.266,0.941,0.489,1.423,2.937,2.924,3.069,1.372,0.528,,,
10.21,4.041,4.068,1.961,2.641,1.043,0.547,1.648,3.251,3.209,3.332,1.555,0.596,,,
12.05,4.263,4.56,2.33,3.065,1.15,0.604,1.865,3.499,3.456,3.6,1.737,0.674,,,
14.22,4.639,5.243,2.811,3.654,1.309,0.682,2.171,3.868,3.805,4,1.992,0.788,,,
16.78,5.056,5.99,3.325,4.354,1.476,0.764,2.535,4.179,4.186,4.429,2.286,0.928,,,
19.81,5.523,6.724,3.776,5.119,1.645,0.844,2.969,4.512,4.579,4.907,2.61,1.099,,,
23.37,5.887,7.239,4.044,5.857,1.793,0.93,3.491,4.763,4.863,5.317,2.952,1.309,,,
27.58,6.238,7.591,4.066,6.484,1.926,1.03,4.132,5.065,5.16,5.794,3.331,1.577,,,
32.55,6.33,7.502,3.72,6.71,2.009,1.108,4.799,5.284,5.307,6.2,3.647,1.87,,,
38.41,6.249,7.14,3.209,6.682,2.129,1.179,5.574,5.496,5.326,6.572,3.962,2.217,,,
45.32,5.903,6.545,2.614,6.377,2.311,1.231,6.351,5.653,5.205,6.883,4.211,2.562,,,
53.48,4.925,5.597,1.983,5.784,2.541,1.214,6.841,5.493,4.77,6.934,4.254,2.799,,,
63.11,3.684,4.655,1.469,5.158,2.849,1.145,7.122,5.23,4.219,6.856,4.181,2.95,,,
74.48,2.193,3.611,1.033,4.394,3.031,0.95,6.796,4.572,3.449,6.389,3.816,2.969,,,
87.89,1.04,2.752,0.744,3.732,3.031,0.716,6.281,3.902,2.741,5.863,3.37,3.054,,,
103.72,0.343,1.96,0.522,3.038,2.575,0.488,5.339,3.094,2.037,5.005,2.761,3.06,,,
122.39,0.081,1.391,0.384,2.539,1.955,0.326,4.354,2.453,1.511,4.141,2.262,3.034,,,
144.43,0.012,0.947,0.283,2.115,1.312,0.216,3.259,1.848,1.082,3.213,1.803,2.653,,,
170.44,0.001,0.622,0.218,1.815,0.859,0.133,2.368,1.328,0.719,2.343,1.442,2.024,,,
201.13,0,0.377,0.161,1.486,0.549,0.065,1.624,0.868,0.429,1.539,1.107,1.325,,,
237.35,0,0.268,0.119,1.209,0.379,0.027,1.149,0.667,0.317,1.159,0.849,0.837,,,
280.09,0,0.252,0.081,0.916,0.261,0.009,0.82,0.718,0.354,1.137,0.589,0.487,,,
330.52,0,0.253,0.052,0.667,0.156,0.003,0.64,0.859,0.438,1.194,0.397,0.276,,,
390.04,0,0.209,0.036,0.514,0.086,0.001,0.569,0.743,0.394,1.026,0.293,0.17,,,
460.27,0,0.151,0.033,0.529,0.047,0,0.631,0.436,0.231,0.726,0.306,0.163,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
