sample,ST5-D1,ST5-D2,ST5-D3,ST5-D4,ST5-D5,ST5-U1,ST5-U2,ST5-U3,ST5-U4,ST5-U5,ST5-U6,ST5-U7,ST5-U8,ST5-U9,ST5-U10,ST5-U11,ST5-U12,ST4-U1,ST4-U2,ST4-U3,ST4-U4,ST4-U5,ST4-U6,ST4-U7,ST4-U8,ST4-U9,ST4-U10,ST4-U11,ST4-U12,ST4-U13,ST4-U14,ST4-U15,ST4-U16,ST4-U17,ST4-U18,ST4-U19,ST4-U20,ST4-U21,ST4-U22,ST4-U24,ST4-D1,ST4-D2,ST4-D3,ST4-D4,ST4-D5,ST6-U1,ST6-U2,ST6-U3,ST6-U4,ST6-U5,ST6-U6,ST6-U7,ST6-U8,ST6-U9,ST6-U10,ST6-U11,ST6-U12,ST7-U1,ST7-U2,ST7-U3,ST7-U4,ST7-U5,ST7-U6,ST7-U7,ST7-U8,ST7-U9,ST7-D1,ST7-D2,ST7-D3,ST7-D4,ST7-D5,ST7-D6
lab_ID,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,446,447,448,449,450,451,452,-,453,-,454,-,-,455,-,-,-,-,-,-,-,-,-,440,441,442,443,444,476,477,478,479,480,-,-,481,-,482,-,-,490,491,492,-,493,-,494,-,-,484,485,486,-,487,488
concentration,210.4575,116.066,114.03,81.15,56.15,183.808,83.528,72.105,67.607,70.3,67.88,84.66,67.57,54.936,75.338,59.166,50.774,327.45,241.81,158.53,132.47,98.91,90.36,84.56,69.05,59.01,50.82,42.72,48.35,74.88,98.15,91.21,74.51,81.95,52.01,52.25,48.76,48.02,44.09,22.64,271.06,249.51,244.86,233.25,124.56,232.052,143.896,104.006,88.144,92.256,87.688,95.622,82.494,76.988,69.395,65.814,79.970,95.963,80.180,70.510,48.220,64.437,48.583,52.800,41.417,39.300,63.867,75.403,70.747,61.610,82.603,54.117
D50,52.925,45.988,52.728,49.8075,44.7425,89.534,46.058,50.4025,51.933,59.06,56.53,78.86,82.1,51.824,50.37,50.552,55.232,58.62,43.33,31.2,47.94,37.69,40.83,63.4,53.68,50.76,49.31,35.21,51.82,53,74.87,67.73,72.89,105.13,48.82,65.5,58.58,58.91,68.61,76.41,45.57,40.90,43.77,50.48,44.35,63.430,66.166,52.120,57.696,56.002,56.870,71.586,55.464,52.927,47.873,65.116,71.525,42.82066667,33.83033333,29.13533333,29.067,36.50933333,36.59066667,35.379,40.94733333,34.813,30.86133333,34.30666667,36.65433333,37.04666667,43.381,37.49466667
datetime,8/13/2023 18:45,8/13/2023 18:58,8/13/2023 19:02,8/13/2023 19:10,8/13/2023 21:02,8/13/23 18:45,8/13/23 19:00,8/13/23 19:15,8/13/23 19:30,8/13/23 19:45,8/13/23 20:00,8/13/23 20:15,8/13/23 20:30,8/13/23 20:45,8/13/23 21:00,8/13/23 21:15,8/13/23 21:30,7/29/2023 15:16,7/29/2023 15:31,7/29/2023 15:46,7/29/2023 16:01,7/29/2023 16:16,7/29/2023 16:31,7/29/2023 16:46,7/29/2023 17:01,7/29/2023 17:16,7/29/2023 17:31,7/29/2023 17:46,7/29/2023 18:01,7/29/2023 18:16,7/29/2023 18:31,7/29/2023 18:46,7/29/2023 19:01,7/29/2023 19:16,7/29/2023 19:31,7/29/2023 19:46,7/29/2023 20:01,7/29/2023 20:16,7/29/2023 20:31,7/29/2023 21:01,7/29/23 3:07 PM,7/29/23 3:22 PM,7/29/23 3:37 PM,7/29/23 3:52 PM,7/29/23 4:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,
volconc,210.70725,116.0678,114.0324,81.1505,56.154,183.8056,83.53,72.103,68.38725,70.304,67.884,84.66,67.568,54.9378,75.3398,59.1662,50.8524,327.4533333,241.8093333,158.527,132.471,98.912,90.356,84.562,69.045,59.010,50.820,42.719,48.343,74.884,98.147,91.213,74.508,81.946,52.010,52.246,48.754,48.022,44.086,37.736,271.06,249.509,244.856,233.250,124.5634,232.0534,143.8942,104.005,88.1434,92.2554,87.6868,95.6224,82.4976,76.9905,69.3955,65.8132,79.9675,95.963,80.181,70.50933333,48.22233333,64.43533333,49.17166667,52.79766667,41.41833333,39.304,63.868,75.40233333,70.74666667,61.60833333,82.60466667,54.116
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37,0.1475,0.0802,0.0684,0.04825,0.0373,0.078,0.052,0.0438,0.04,0.038,0.035,0.036,0.026,0.034,0.043,0.038,0.03,0.189,0.197,0.159,0.0968,0.084,0.063,0.046,0.041,0.038,0.0332,0.0302,0.02825,0.035,0.0456,0.046,0.0338,0.0298,0.0292,0.022,0.022,0.020,0.019,0.015,0.203,0.212,0.192,0.148,0.0878,0.1306,0.0738,0.0614,0.053,0.053,0.050,0.037,0.051,0.048,0.039,0.043,0.040,0.057,0.06,0.05,0.042,0.042,0.031,0.030,0.026,0.024,0.052,0.051,0.033,0.040,0.044,0.037
0.44,0.15725,0.0862,0.0734,0.05225,0.041,0.084,0.057,0.0478,0.043,0.041,0.038,0.039,0.027,0.037,0.046,0.042,0.033,0.203,0.211,0.172,0.1052,0.092,0.068,0.049,0.045,0.042,0.0368,0.034,0.03125,0.0374,0.048,0.049,0.0358,0.0306,0.0308,0.024,0.024,0.021,0.0202,0.017,0.214,0.224,0.203,0.153,0.0942,0.1374,0.0778,0.0656,0.056,0.056,0.053,0.039,0.054,0.051,0.042,0.046,0.042,0.062,0.06,0.06,0.047,0.045,0.034,0.033,0.028,0.026,0.057,0.055,0.035,0.043,0.047,0.040
0.52,0.1715,0.0962,0.0816,0.05825,0.046,0.093,0.064,0.054,0.048,0.047,0.042,0.043,0.03,0.041,0.052,0.047,0.037,0.223,0.232,0.194,0.1176,0.105,0.077,0.055,0.051,0.047,0.0424,0.0398,0.03625,0.0416,0.0514,0.053,0.0386,0.0318,0.0338,0.027,0.026,0.023,0.0226,0.019,0.231,0.243,0.220,0.162,0.104,0.1478,0.0838,0.072,0.062,0.061,0.058,0.042,0.060,0.056,0.047,0.050,0.046,0.069,0.07,0.06,0.054,0.050,0.038,0.037,0.030,0.03,0.065,0.062,0.040,0.048,0.051,0.045
0.61,0.19125,0.1102,0.093,0.0675,0.0538,0.107,0.074,0.0635,0.055,0.054,0.048,0.049,0.034,0.047,0.06,0.054,0.043,0.251,0.263,0.225,0.136,0.124,0.090,0.062,0.059,0.056,0.051,0.0488,0.0435,0.047,0.0558,0.058,0.0424,0.0334,0.0384,0.031,0.030,0.026,0.0264,0.022,0.254,0.268,0.244,0.173,0.118,0.1614,0.0922,0.0814,0.069,0.068,0.065,0.045,0.068,0.064,0.054,0.057,0.052,0.080,0.08,0.07,0.064,0.057,0.044,0.043,0.035,0.037,0.077,0.071,0.046,0.054,0.058,0.052
0.72,0.2155,0.1276,0.107,0.07875,0.064,0.123,0.087,0.0758,0.065,0.065,0.055,0.056,0.038,0.055,0.07,0.064,0.051,0.285,0.299,0.264,0.1588,0.148,0.106,0.072,0.071,0.068,0.0624,0.0608,0.05325,0.0532,0.0612,0.065,0.0472,0.0356,0.0438,0.037,0.034,0.031,0.0308,0.026,0.281,0.299,0.273,0.187,0.1352,0.1774,0.102,0.0926,0.078,0.077,0.073,0.050,0.079,0.073,0.063,0.065,0.059,0.093,0.09,0.09,0.079,0.066,0.052,0.051,0.040,0.046,0.092,0.082,0.054,0.063,0.066,0.062
