grain_size,T1-A_interpolated,T1-B_interpolated,T1-C_interpolated,T1-D_interpolated,T2-A_interpolated,T2-B_interpolated,T3-C_interpolated,T3-D_interpolated,T5-A_interpolated,T5-B_interpolated,T5-C_interpolated,T5-D_interpolated,T6-B_interpolated,T6-C_interpolated,T6-D_interpolated,T7-A_interpolated,T7-B_interpolated,T7-C_interpolated,T7-D_interpolated,T8-A_interpolated,T8-C_interpolated,T8-D_interpolated,T1-A_interpolated_kde,T1-B_interpolated_kde,T1-C_interpolated_kde,T1-D_interpolated_kde,T2-A_interpolated_kde,T2-B_interpolated_kde,T3-C_interpolated_kde,T3-D_interpolated_kde,T5-A_interpolated_kde,T5-B_interpolated_kde,T5-C_interpolated_kde,T5-D_interpolated_kde,T6-B_interpolated_kde,T6-C_interpolated_kde,T6-D_interpolated_kde,T7-A_interpolated_kde,T7-B_interpolated_kde,T7-C_interpolated_kde,T7-D_interpolated_kde,T8-A_interpolated_kde,T8-C_interpolated_kde,T8-D_interpolated_kde
0.37,0.000207183,0.000216507,0.000205638,0.000384173,0.000187009,0.000103754,0.000374514,0.000186881,0.000190078,0.000214655,0.000415224,0.000233516,0.000208537,0.000376268,0.000116722,0.000187227,0.000254136,0.000563882,0.000282521,0.000591126,0.0003549,0.000204414,8.62E-12,4.74E-11,6.53E-09,1.73E-06,6.88E-14,2.71E-27,4.62E-06,1.18E-12,6.57E-09,4.47E-08,8.21E-06,6.77E-08,1.09E-10,1.32E-06,1.79E-33,3.00E-09,2.69E-08,3.60E-05,2.95E-07,8.40E-05,4.09E-06,5.70E-11
0.407311485,0.00020628,0.000221265,0.000208603,0.000393413,0.000186154,0.000105708,0.000381308,0.00018969,0.000199322,0.000222582,0.000433141,0.000247073,0.000211603,0.000381798,0.000118192,0.000197877,0.000263759,0.000566652,0.000284839,0.000619186,0.000373401,0.000212106,4.85E-11,2.44E-10,2.28E-08,3.62E-06,5.69E-13,1.07E-25,8.86E-06,8.12E-12,2.30E-08,1.33E-07,1.46E-05,2.06E-07,5.63E-10,2.86E-06,1.65E-31,1.15E-08,8.55E-08,5.66E-05,7.36E-07,0.000123437,7.98E-06,3.17E-10
0.448385529,0.000207699,0.000225707,0.000216376,0.000399564,0.000187498,0.000108568,0.000392776,0.000194422,0.000205278,0.000236325,0.000449104,0.0002533,0.000219945,0.000396853,0.000122881,0.000206791,0.000274415,0.000591788,0.000295199,0.00065525,0.000385593,0.000216604,2.49E-10,1.15E-09,7.40E-08,7.20E-06,4.23E-12,3.72E-24,1.62E-05,5.06E-11,7.44E-08,3.69E-07,2.51E-05,5.81E-07,2.64E-09,5.89E-06,1.30E-29,4.07E-08,2.52E-07,8.63E-05,1.73E-06,0.000176564,1.49E-05,1.59E-09
0.493601556,0.000212568,0.000230362,0.000226654,0.000406788,0.000192111,0.00011296,0.000409653,0.00020139,0.000212362,0.000252599,0.00046607,0.000261851,0.000230894,0.000416608,0.000128855,0.000216455,0.000285053,0.000629022,0.000311846,0.00070161,0.000399967,0.000222161,1.17E-09,4.96E-09,2.22E-07,1.36E-05,2.83E-11,1.13E-22,2.84E-05,2.85E-10,2.24E-07,9.57E-07,4.15E-05,1.52E-06,1.13E-08,1.15E-05,8.71E-28,1.33E-07,6.90E-07,0.00012772,3.82E-06,0.000246076,2.64E-05,7.25E-09
0.543377251,0.000221922,0.000235704,0.000237211,0.000419123,0.000200981,0.000119459,0.000432645,0.000210893,0.00022483,0.000268292,0.000487023,0.000281976,0.00024188,0.000436427,0.000134287,0.00022929,0.000294734,0.000668351,0.000333052,0.000760414,0.000424746,0.000232838,5.03E-09,1.95E-08,6.20E-07,2.46E-05,1.70E-10,3.01E-21,4.76E-05,1.45E-09,6.24E-07,2.32E-06,6.61E-05,3.69E-06,4.37E-08,2.13E-05,4.99E-26,3.99E-07,1.76E-06,0.000183697,7.96E-06,0.000334619,4.49E-05,2.99E-08
0.598172419,0.000234277,0.000240736,0.000247936,0.000437054,0.000212691,0.000127164,0.000461606,0.000222852,0.000242575,0.000285119,0.000515681,0.000311656,0.000253249,0.000456941,0.00014037,0.000245909,0.000305691,0.00070729,0.00035779,0.000829661,0.000460526,0.000247155,1.97E-08,7.04E-08,1.60E-06,4.23E-05,9.24E-10,6.99E-20,7.65E-05,6.69E-09,1.61E-06,5.24E-06,0.000101585,8.32E-06,1.54E-07,3.77E-05,2.44E-24,1.11E-06,4.17E-06,0.000257032,1.56E-05,0.000444603,7.29E-05,1.12E-07
0.658493234,0.000245921,0.000243809,0.000261045,0.000458018,0.000223707,0.000134035,0.000495468,0.000236798,0.000261451,0.00030907,0.000555619,0.000338542,0.000268076,0.000483706,0.000150831,0.000265092,0.000322999,0.00075164,0.000385726,0.000904407,0.000500222,0.000259032,7.10E-08,2.32E-07,3.86E-06,6.95E-05,4.51E-09,1.43E-18,0.000117871,2.79E-08,3.88E-06,1.11E-05,0.000150794,1.74E-05,4.97E-07,6.33E-05,1.02E-22,2.83E-06,9.19E-06,0.000350302,2.90E-05,0.000578046,0.000113482,3.78E-07
0.724896911,0.000257367,0.000250608,0.000278588,0.000486144,0.000234576,0.000141749,0.00053335,0.000252484,0.000283339,0.000338072,0.000603235,0.000366539,0.000285646,0.000515395,0.000163222,0.000286944,0.000346738,0.000806799,0.000415863,0.000992096,0.000542553,0.000273929,2.33E-07,7.01E-07,8.63E-06,0.000109226,1.98E-08,2.54E-17,0.000174575,1.05E-07,8.68E-06,2.20E-05,0.00021648,3.40E-05,1.46E-06,0.000101433,3.63E-21,6.70E-06,1.89E-05,0.000465622,5.08E-05,0.00073644,0.000169517,1.16E-06
0.797996857,0.000271945,0.000267509,0.000302318,0.000525576,0.000248457,0.000152837,0.00057583,0.000270157,0.000311052,0.000368755,0.000654377,0.000403227,0.000305406,0.000551006,0.000174356,0.000311938,0.000375878,0.000877098,0.000448576,0.001101376,0.000589535,0.000298788,7.04E-07,1.94E-06,1.80E-05,0.00016455,7.87E-08,3.97E-16,0.000248943,3.60E-07,1.81E-05,4.07E-05,0.000300974,6.19E-05,3.89E-06,0.000155337,1.10E-19,1.47E-05,3.62E-05,0.00060443,8.41E-05,0.000920629,0.000243433,3.24E-06
0.878468338,0.000295665,0.000292343,0.000333498,0.000570675,0.000270768,0.000167066,0.000627987,0.000291354,0.000341349,0.000405793,0.000713834,0.00044352,0.000333098,0.00060108,0.000187961,0.000339768,0.000413404,0.000964799,0.000489773,0.001226612,0.000644835,0.000328125,1.94E-06,4.93E-06,3.48E-05,0.000237978,2.82E-07,5.44E-15,0.00034248,1.11E-06,3.50E-05,7.09E-05,0.000405858,0.000105236,9.50E-06,0.000227766,2.87E-18,2.98E-05,6.49E-05,0.000767346,0.000132171,0.001130711,0.000336753,8.21E-06
