sum_sq,df,F,PR(>F)
0.052519350861321965,1.0,1.2026993204300045,0.292682617915146
0.5676826698073458,13.0,,
0.06369061210230992,1.0,1.4521424989242815,0.24966321245591533
0.5701767959710419,13.0,,
0.07536197728531356,1.0,1.530207983877498,0.2379617080949774
0.6402434930619911,13.0,,
0.06422701934042349,1.0,1.1828481366076622,0.2965304402392629
0.7058820364041792,13.0,,
0.05940752225066843,1.0,0.9501629357924273,0.3474680185863102
0.8128056359245377,13.0,,
0.06690677735827312,1.0,1.0365816086764037,0.32719239245101234
0.8390927432796831,13.0,,
0.07365862677688317,1.0,1.1613403021098962,0.30077915458137244
0.8245319191625439,13.0,,
0.0685283142948622,1.0,1.0799118915416175,0.31766008184362543
0.8249451578512194,13.0,,
0.07978771330177695,1.0,1.2187312146761258,0.2896253906718115
0.8510820601232766,13.0,,
0.08161183903887988,1.0,1.2185351410798915,0.28966251405596327
0.8706797791364463,13.0,,
0.08950459054471982,1.0,1.3029617975032937,0.2742637574106309
0.8930113525284814,13.0,,
0.0993364600550552,1.0,1.4057261998649588,0.25698694556048635
0.9186525660827646,13.0,,
0.10593996290290503,1.0,1.4242387554724691,0.25403187380931236
0.9669864076131632,13.0,,
0.10980160211413875,1.0,1.4332385322702974,0.25261174381737117
0.9959408677233383,13.0,,
0.11440746686172105,1.0,1.4203995251993784,0.25464094783547064
1.0470976952724658,13.0,,
0.11877910435444597,1.0,1.3871312897417825,0.2600018771287827
1.1131811156067575,13.0,,
0.12494746526417598,1.0,1.3656257857939953,0.26354848045864093
1.1894305638714089,13.0,,
0.13131345758507162,1.0,1.3467098121669248,0.26672227586016517
1.2675893003698848,13.0,,
0.13593260548331226,1.0,1.3208739357774697,0.2711413796922301
1.337844455415744,13.0,,
0.13955891283749675,1.0,1.286582302116766,0.2771620248156414
1.4101436526077762,13.0,,
0.14003208400993755,1.0,1.2633154514174372,0.2813514087277947
1.4409837939421102,13.0,,
0.1347863323971289,1.0,1.245601334929455,0.2845993839601689
1.4067280373153368,13.0,,
0.12181291150543186,1.0,1.1946695961311977,0.29423065994927167
1.3255278737307952,13.0,,
0.10602482561368509,1.0,1.2156556557121605,0.2902084560414498
1.1338101595640184,13.0,,
0.08183122823218793,1.0,1.237161514388521,0.28616500680917656
0.8598763820617548,13.0,,
0.05372689697907084,1.0,1.2790538192470662,0.2785081908864976
0.5460674525322738,13.0,,
0.05372686403083888,1.0,1.2790529656510754,0.27850834402415536
0.546067482080677,13.0,,
0.02802122919013452,1.0,1.2768601132117303,0.2789021288414056
0.28529043683217015,13.0,,
0.009470109384732623,1.0,0.7998652373562339,0.3873923112461662
0.15391520502683664,13.0,,
0.0009068343805206596,1.0,0.0607935165819706,0.8090967263529206
0.1939161872775224,13.0,,
0.0010806514183881644,1.0,0.034212824572259555,0.8561093347521906
0.4106199536192904,13.0,,
0.008057763772687921,1.0,0.134686982411821,0.7195257574938685
0.7777361046270598,13.0,,
0.01977065085726113,1.0,0.2134414687182562,0.6517197045243752
1.2041636645766354,13.0,,
0.03539722732129938,1.0,0.27287552082439376,0.6101961266397626
1.6863511750217628,13.0,,
0.05363448532137383,1.0,0.3325805921814522,0.5739941370863236
2.096479246141486,13.0,,
0.07929547305006263,1.0,0.4076500448912319,0.5342515979487019
2.5287404296149663,13.0,,
0.11189288818957223,1.0,0.48367974436783506,0.49900445945260596
3.007377429802436,13.0,,
0.11189282490024424,1.0,0.48368006400628627,0.4990043201719352
3.0073737413421076,13.0,,
0.17159379242247905,1.0,0.60830310485973,0.44939504858695367
3.6671180595183945,13.0,,
0.30774755755590666,1.0,0.764616384838498,0.39775457391732033
5.232320844225456,13.0,,
0.5503022855041632,1.0,0.8515294621391574,0.3729300243048938
8.401270924416966,13.0,,
0.8720651190276484,1.0,0.8769992174425156,0.36609695817081706
12.926860505554009,13.0,,
0.8724080889161571,1.0,0.8771413225450266,0.36605935903529174
12.929849346286904,13.0,,
1.2811782001735923,1.0,0.9202007432292897,0.35492450644644163
18.09965567274774,13.0,,
0.03448807590802124,1.0,0.3824806851518899,0.5469622425360436
1.1722029483037304,13.0,,
0.03823670515139356,1.0,0.42183281888981394,0.5273334824572489
1.1783748080017378,13.0,,
0.041562252436450106,1.0,0.45937295441220566,0.5098008364308647
1.1761887078554907,13.0,,
0.03591537434699592,1.0,0.40883396189106785,0.5336675754436943
1.142028084827626,13.0,,
0.1922679461679973,1.0,0.5427144025163767,0.4743956303241008
4.605522331072726,13.0,,
0.7184842184848694,1.0,1.0188713121743518,0.3312061796030051
9.167295936883704,13.0,,
0.006552629226214052,1.0,0.18160668030359178,0.6769674858136603
0.4690586260284056,13.0,,
