sum_sq,df,F,PR(>F)
2.478679245651986,1.0,0.7339072517265842,0.48188197544852623
6.754747932577762,2.0,,
2.4685820960677716,1.0,0.7298311144338779,0.48293719546843245
6.764803657302618,2.0,,
2.4032355801051484,1.0,0.7125509892663607,0.48747032184275224
6.745441705384506,2.0,,
2.5388338471590592,1.0,0.7386175189622749,0.4806691628894122
6.874556267568657,2.0,,
2.5134038587382435,1.0,0.7307760909580282,0.4826920900411424
6.878724933223355,2.0,,
2.559743602920735,1.0,0.7436246355907794,0.47938756442812
6.884504575045779,2.0,,
2.5204874023926123,1.0,0.7317343509079695,0.4824438307763776
6.889077707681965,2.0,,
2.557002165329162,1.0,0.7394705632934775,0.4804502668252468
6.915764581461376,2.0,,
2.563990879358128,1.0,0.743554240389425,0.47940552820971
6.896580612640385,2.0,,
2.5797208088028754,1.0,0.747149995235719,0.47848991331032353
6.905496420404839,2.0,,
2.578625928935481,1.0,0.7462114197876173,0.4787285237822687
6.9112475648507115,2.0,,
2.5695308141826105,1.0,0.743561089564229,0.479403780337072
6.911418174634471,2.0,,
2.5514441145518956,1.0,0.7336648783394576,0.48194457243365685
6.955339392357757,2.0,,
2.5459267060494692,1.0,0.7291034632208258,0.48312612660252
6.983718592702328,2.0,,
2.545245199266381,1.0,0.7228844571899689,0.48474782101281044
7.041914303041956,2.0,,
2.547171789947362,1.0,0.7126643588563337,0.48744026171305904
7.148306936620208,2.0,,
2.5524934339019403,1.0,0.7040931846888006,0.48972505626924623
7.250442098882429,2.0,,
2.5492230392942066,1.0,0.6919665847180017,0.49300026886826637
7.368052433725816,2.0,,
2.5277051832258186,1.0,0.6781606245487731,0.49679149265493866
7.454591410132886,2.0,,
2.494543616188308,1.0,0.6628235607650352,0.5010836077054575
7.527021560033532,2.0,,
2.448332639462479,1.0,0.6529931572842139,0.5038805537928479
7.498800292624958,2.0,,
2.3682413006906193,1.0,0.6485742108431835,0.5051497831190926
7.302915413832969,2.0,,
2.2596083906954334,1.0,0.6557924403058887,0.5030803875697315
6.891230370516192,2.0,,
2.130141119817578,1.0,0.6833373043693702,0.4953620227187153
6.234523144564502,2.0,,
1.993747221180469,1.0,0.7360638596330342,0.4813258158239515
5.417321323653779,2.0,,
1.8735284940572443,1.0,0.823992663965544,0.45983070914628826
4.547439743069333,2.0,,
1.8735284679183073,1.0,0.8239926022406703,0.4598307234748699
4.547440020271178,2.0,,
1.7698021264693835,1.0,0.9462716917027396,0.433276100833244
3.7405792479848303,2.0,,
1.6967611164958467,1.0,1.1012451428473307,0.4040992192796473
3.081532077605857,2.0,,
1.6458263383805092,1.0,1.2668281436960462,0.37727585169857
2.5983419243887544,2.0,,
1.6082515651816793,1.0,1.447928155194233,0.3519710578949336
2.221452161714391,2.0,,
1.570751982385134,1.0,1.6130766565077626,0.33182701093195743
1.9475230467791165,2.0,,
1.5044431228479072,1.0,1.7045314631643633,0.32167805552055906
1.7652277536197498,2.0,,
1.3720542210298436,1.0,1.8213329031547156,0.3096215447859042
1.5066484755788685,2.0,,
1.1706439932391248,1.0,1.868345697952526,0.3050301257757278
1.253134250820932,2.0,,
0.9082881771989071,1.0,1.7373098258241475,0.3181967193203639
1.0456260175332077,2.0,,
0.6415484124130741,1.0,1.290043452293727,0.37381688529905027
0.9946151988483587,2.0,,
0.6408304994752694,1.0,1.2895357023039575,0.3738918122942867
0.9938933808972102,2.0,,
0.2982682419219241,1.0,0.5446914144211163,0.5373445284662438
1.0951824612066474,2.0,,
0.008678104643495943,1.0,0.00876104895954744,0.9339589583947582
1.9810652088729381,2.0,,
312.3735800707858,1.0,0.9563402285437287,0.43124005198846344
653.2687233003971,2.0,,
280.98681089915885,1.0,0.9406779036110432,0.4344164855902834
597.413439436636,2.0,,
295.7039690443817,1.0,0.9423053063998466,0.43408402857823875
627.6181764785823,2.0,,
292.01292025884715,1.0,0.9715920730963046,0.4281957409448744
601.1018993356952,2.0,,
3.4420988299184394,1.0,1.1310026507601703,0.3989783814023505
6.086809482904277,2.0,,
3.4291585233430424,1.0,1.120563101527833,0.4007587871212622
6.120420204212601,2.0,,
3.4815914252399054,1.0,1.1333329703773887,0.3985832944446481
6.143986835714433,2.0,,
3.6448188062115645,1.0,1.1816924637921666,0.3905709764682061
6.168811121152427,2.0,,
4.8823849480826285,1.0,1.3069250825562695,0.3713438501423574
7.471560555763407,2.0,,
4.505107300179183,1.0,1.537028310598217,0.34079322001757795
5.862100612090584,2.0,,
3.0796782959758797,1.0,1.1120884381042286,0.402216810714562
5.538549256434662,2.0,,
