Date/time,Pressure[cmH2O],Barometric[cmH2O],CompPressure[cmH2O]
7/19/2022 16:00,755.483,754.492,0.991
7/19/2022 16:15,755.658,754.317,1.341
7/19/2022 16:30,755.483,754.317,1.166
7/19/2022 16:45,755.308,754.2,1.108
7/19/2022 17:00,755.308,754.2,1.108
7/19/2022 17:15,755.308,754.142,1.166
7/19/2022 17:30,755.133,753.85,1.283
7/19/2022 17:45,755.133,753.85,1.283
7/19/2022 18:00,754.958,753.675,1.283
7/19/2022 18:15,755.133,753.558,1.575
7/19/2022 18:30,755.133,753.675,1.458
7/19/2022 18:45,755.133,753.675,1.458
7/19/2022 19:00,755.308,753.85,1.458
7/19/2022 19:15,755.308,754.025,1.283
7/19/2022 19:30,755.308,754.142,1.166
7/19/2022 19:45,755.658,754.142,1.516
7/19/2022 20:00,755.775,754.317,1.458
7/19/2022 20:15,755.95,754.492,1.458
7/19/2022 20:30,755.95,754.317,1.633
7/19/2022 20:45,755.95,754.317,1.633
7/19/2022 21:00,755.95,754.317,1.633
7/19/2022 21:15,756.125,754.783,1.342
7/19/2022 21:30,756.3,754.958,1.342
7/19/2022 21:45,756.417,755.075,1.342
7/19/2022 22:00,756.592,755.075,1.517
7/19/2022 22:15,756.592,755.25,1.342
7/19/2022 22:30,756.592,755.075,1.517
7/19/2022 22:45,756.417,755.075,1.342
7/19/2022 23:00,756.417,755.075,1.342
7/19/2022 23:15,756.417,754.958,1.459
7/19/2022 23:30,756.3,754.783,1.517
7/19/2022 23:45,756.417,754.958,1.459
7/20/2022 0:00,756.592,754.958,1.634
7/20/2022 0:15,756.417,755.075,1.342
7/20/2022 0:30,756.417,754.958,1.459
7/20/2022 0:45,756.3,754.958,1.342
7/20/2022 1:00,756.3,754.783,1.517
7/20/2022 1:15,756.125,754.608,1.517
7/20/2022 1:30,756.125,754.783,1.342
7/20/2022 1:45,756.125,754.783,1.342
7/20/2022 2:00,756.125,754.608,1.517
7/20/2022 2:15,756.125,754.608,1.517
7/20/2022 2:30,756.3,754.783,1.517
7/20/2022 2:45,756.3,754.608,1.692
7/20/2022 3:00,756.592,754.958,1.634
7/20/2022 3:15,756.417,755.075,1.342
7/20/2022 3:30,756.592,755.25,1.342
7/20/2022 3:45,756.592,755.25,1.342
7/20/2022 4:00,756.417,755.25,1.167
7/20/2022 4:15,756.592,755.25,1.342
7/20/2022 4:30,756.417,755.25,1.167
7/20/2022 4:45,756.942,755.425,1.517
7/20/2022 5:00,756.942,755.25,1.692
7/20/2022 5:15,756.942,755.25,1.692
7/20/2022 5:30,756.942,755.542,1.4
7/20/2022 5:45,757.058,755.542,1.516
7/20/2022 6:00,757.408,755.717,1.691
7/20/2022 6:15,757.408,755.892,1.516
7/20/2022 6:30,757.233,755.892,1.341
7/20/2022 6:45,757.408,756.008,1.4
