Date/time,Pressure[cmH2O],Barometric[cmH2O],CompPressure[cmH2O]
3/1/2022 12:15,784.183,752.158,32.025
3/1/2022 12:30,784.008,751.983,32.025
3/1/2022 12:45,783.892,751.692,32.2
3/1/2022 13:00,783.717,751.517,32.2
3/1/2022 13:15,783.717,751.342,32.375
3/1/2022 13:30,783.542,751.342,32.2
3/1/2022 13:45,783.25,751.225,32.025
3/1/2022 14:00,783.25,751.225,32.025
3/1/2022 14:15,783.25,750.875,32.375
3/1/2022 14:30,783.075,750.875,32.2
3/1/2022 14:45,783.075,750.758,32.317
3/1/2022 15:00,783.075,750.583,32.492
3/1/2022 15:15,782.9,750.583,32.317
3/1/2022 15:30,782.725,750.408,32.317
3/1/2022 15:45,782.9,750.583,32.317
3/1/2022 16:00,782.9,750.583,32.317
3/1/2022 16:15,782.9,750.758,32.142
3/1/2022 16:30,782.9,750.758,32.142
3/1/2022 16:45,782.9,750.583,32.317
3/1/2022 17:00,782.725,750.583,32.142
3/1/2022 17:15,782.725,750.758,31.967
3/1/2022 17:30,782.9,750.758,32.142
3/1/2022 17:45,782.9,750.583,32.317
3/1/2022 18:00,783.075,750.583,32.492
3/1/2022 18:15,783.075,750.758,32.317
3/1/2022 18:30,783.075,750.583,32.492
3/1/2022 18:45,783.075,750.583,32.492
3/1/2022 19:00,783.367,750.583,32.784
3/1/2022 19:15,783.367,750.758,32.609
3/1/2022 19:30,783.542,750.758,32.784
3/1/2022 19:45,783.717,750.875,32.842
3/1/2022 20:00,783.717,751.05,32.667
3/1/2022 20:15,783.892,751.05,32.842
3/1/2022 20:30,783.892,751.05,32.842
3/1/2022 20:45,783.892,751.225,32.667
3/1/2022 21:00,784.008,751.342,32.666
3/1/2022 21:15,784.183,751.342,32.841
3/1/2022 21:30,784.183,751.342,32.841
3/1/2022 21:45,784.183,751.517,32.666
3/1/2022 22:00,784.183,751.517,32.666
3/1/2022 22:15,784.533,751.692,32.841
3/1/2022 22:30,784.533,751.517,33.016
3/1/2022 22:45,784.358,751.692,32.666
3/1/2022 23:00,784.358,751.692,32.666
3/1/2022 23:15,784.533,751.692,32.841
3/1/2022 23:30,784.358,751.692,32.666
3/1/2022 23:45,784.533,751.692,32.841
3/2/2022 0:00,784.533,751.517,33.016
3/2/2022 0:15,784.533,751.517,33.016
3/2/2022 0:30,784.533,751.692,32.841
3/2/2022 0:45,784.533,751.692,32.841
3/2/2022 1:00,784.358,751.517,32.841
3/2/2022 1:15,784.358,751.692,32.666
3/2/2022 1:30,784.708,751.692,33.016
3/2/2022 1:45,784.708,751.517,33.191
3/2/2022 2:00,784.533,751.692,32.841
3/2/2022 2:15,784.708,751.342,33.366
3/2/2022 2:30,784.533,751.692,32.841
3/2/2022 2:45,784.533,751.692,32.841
3/2/2022 3:00,784.358,751.517,32.841
3/2/2022 3:15,784.358,751.517,32.841
3/2/2022 3:30,784.183,751.517,32.666
3/2/2022 3:45,784.067,751.342,32.725
3/2/2022 4:00,783.892,751.225,32.667
3/2/2022 4:15,783.717,751.05,32.667
3/2/2022 4:30,783.892,751.05,32.842
3/2/2022 4:45,784.067,751.05,33.017
3/2/2022 5:00,783.892,751.05,32.842
3/2/2022 5:15,784.183,751.225,32.958
3/2/2022 5:30,784.067,751.05,33.017
3/2/2022 5:45,784.067,751.05,33.017
3/2/2022 6:00,784.183,751.225,32.958
3/2/2022 6:15,784.067,750.875,33.192
3/2/2022 6:30,784.067,751.05,33.017
3/2/2022 6:45,784.183,751.225,32.958
3/2/2022 7:00,784.183,751.225,32.958
3/2/2022 7:15,784.183,751.225,32.958
3/2/2022 7:30,784.183,751.225,32.958
3/2/2022 7:45,784.358,751.517,32.841
3/2/2022 8:00,784.358,751.517,32.841
3/2/2022 8:15,784.533,751.517,33.016
3/2/2022 8:30,784.533,751.517,33.016
3/2/2022 8:45,784.533,751.692,32.841
3/2/2022 9:00,784.533,751.808,32.725
3/2/2022 9:15,784.708,751.983,32.725
3/2/2022 9:30,784.533,752.158,32.375
3/2/2022 9:45,784.708,752.45,32.258
3/2/2022 10:00,784.708,752.625,32.083
3/2/2022 10:15,784.883,752.625,32.258
3/2/2022 10:30,784.883,752.625,32.258
3/2/2022 10:45,784.883,752.625,32.258
3/2/2022 11:00,785,752.625,32.375
3/2/2022 11:15,785,752.625,32.375
3/2/2022 11:30,785,752.625,32.375
3/2/2022 11:45,785.175,752.917,32.258
3/2/2022 12:00,785,752.917,32.083
3/2/2022 12:15,785,752.742,32.258
3/2/2022 12:30,784.883,752.742,32.141
3/2/2022 12:45,784.883,752.625,32.258
3/2/2022 13:00,784.708,752.625,32.083
3/2/2022 13:15,784.708,752.45,32.258
3/2/2022 13:30,784.533,752.275,32.258
3/2/2022 13:45,784.358,752.158,32.2
3/2/2022 14:00,784.067,751.808,32.259
3/2/2022 14:15,784.067,751.808,32.259
3/2/2022 14:30,784.008,751.692,32.316
3/2/2022 14:45,783.892,751.517,32.375
3/2/2022 15:00,783.717,751.517,32.2
3/2/2022 15:15,783.717,751.342,32.375
3/2/2022 15:30,783.542,751.225,32.317
3/2/2022 15:45,783.542,751.225,32.317
3/2/2022 16:00,783.425,751.225,32.2
3/2/2022 16:15,783.425,751.225,32.2
3/2/2022 16:30,783.425,751.05,32.375
3/2/2022 16:45,783.425,751.225,32.2
3/2/2022 17:00,783.425,751.225,32.2
3/2/2022 17:15,783.425,751.225,32.2
3/2/2022 17:30,783.425,751.05,32.375
3/2/2022 17:45,783.425,751.225,32.2
3/2/2022 18:00,783.425,750.875,32.55
3/2/2022 18:15,783.425,751.05,32.375
3/2/2022 18:30,783.425,750.758,32.667
3/2/2022 18:45,783.425,750.758,32.667
3/2/2022 19:00,783.425,750.758,32.667
3/2/2022 19:15,783.542,750.758,32.784
3/2/2022 19:30,783.542,750.875,32.667
