Distance (m) ,Elevation (m)
0,2721.752
0.3,2721.742
1,2721.762
1.5,2721.732
2,2721.732
2.5,2721.762
3.1,2721.782
3.5,2721.807
4.1,2721.882
4.5,2721.962
5,2721.962
5.5,2722.012
6,2722.047
6.5,2722.062
7,2722.097
7.5,2722.152
8,2722.132
8.5,2722.142
9,2722.217
9.5,2722.182
10,2722.217
10.7,2722.292
11.5,2722.342
11.8,2722.432
12.5,2722.492
13,2722.472
13.5,2722.487
14,2722.572
14.5,2722.617
15,2722.587
15.5,2722.587
16,2722.552
16.5,2722.579
17,2722.562
17.5,2722.652
18.3,2722.654
18.6,2722.779
19.1,2722.699
19.3,2723.004
19.5,2723.024
20,2723.079
20.5,2723.074
20.7,2723.004
20.7,2723.099
21.4,2723.049
21.6,2723.179
22.715,2723.189
23,2723.169
23.5,2723.159
24,2723.149
24.5,2723.159
25,2723.239
25.5,2723.259
25.9,2723.519
26.5,2723.429
26.9,2723.449
27.5,2723.519
27.8,2723.659
28,2723.579
28.5,2723.709
29,2723.669
29.5,2723.709
30,2723.819
30.5,2723.839
31,2723.839
31.5,2723.879
32,2723.924
32.5,2723.884
33.2,2724.079
33.5,2724.164
34,2724.184
34.5,2724.214
35,2724.194
35.3,2724.229
35.4,2724.554
35.7,2724.624
36.2,2724.554
36.5,2724.584
36.9,2724.554
37.2,2724.574
37.5,2724.604
38,2724.639
38.5,2724.659
39,2724.644
39.5,2724.659
39.7,2724.744
40,2724.749
40.5,2724.744
41,2724.714
41.5,2724.744
