Time,T1,Pressure Temp 1,T2,T3,T4,Pressure Temp 2
2023-03-21 12:00:00,,,,,,
2023-03-21 12:15:00,,,,,,
2023-03-21 12:30:00,,,,,,
2023-03-21 12:45:00,,,,,,
2023-03-21 13:00:00,,-1.7870807227120224e-06,-2.8002823131381407e-06,-1.758795490343872e-06,3.8772399967415695e-06,-3.291372574057363e-06
2023-03-21 13:15:00,,-1.73728296423347e-06,-2.7305813797851725e-06,-1.707676767355012e-06,3.7718351107114777e-06,-3.242925285770191e-06
2023-03-21 13:30:00,,-1.6864686991029113e-06,-2.6601352231355423e-06,-1.6551013042825593e-06,3.6722277336908247e-06,-3.19083307952687e-06
2023-03-21 13:45:00,,-1.6336261369892403e-06,-2.5894929404768653e-06,-1.5981720757272217e-06,3.572646925395947e-06,-3.135975768184385e-06
2023-03-21 14:00:00,,-1.578049015612758e-06,-2.5172829312329155e-06,-1.539425364627985e-06,3.4791597669734526e-06,-3.0776450414450627e-06
2023-03-21 14:15:00,,-1.5187794055039347e-06,-2.4440374664160117e-06,-1.4740103743261417e-06,3.3893079945122918e-06,-3.0165764369861277e-06
2023-03-21 14:30:00,,-1.4549954052985795e-06,-2.369011958694987e-06,-1.411230880887302e-06,3.305306484725749e-06,-2.9532475253271096e-06
2023-03-21 14:45:00,,-1.38741267336533e-06,-2.292273624920727e-06,-1.3442837079874567e-06,3.2247298077266793e-06,-2.886907145775589e-06
2023-03-21 15:00:00,,-1.3154757182020834e-06,-2.21345796240171e-06,-1.2754591066130003e-06,3.146562126730593e-06,-2.817646243026671e-06
2023-03-21 15:15:00,,-1.2390417477980717e-06,-2.1328253215735412e-06,-1.2070538572287174e-06,3.072760374639233e-06,-2.745929179025885e-06
2023-03-21 15:30:00,,-1.1581629677834576e-06,-2.050449014547246e-06,-1.1369258300844515e-06,3.0034415192462476e-06,-2.671578278287556e-06
2023-03-21 15:45:00,,-1.073237659278163e-06,-1.9664130968336524e-06,-1.0632457716986071e-06,2.9387107192255686e-06,-2.5949524483993993e-06
2023-03-21 16:00:00,,-9.847264209325036e-07,-1.8810426051814249e-06,-9.903054390881956e-07,2.878375566317664e-06,-2.5165177257163224e-06
2023-03-21 16:15:00,,-8.934460760331407e-07,-1.79413167166778e-06,-9.146510363802827e-07,2.8222659830959837e-06,-2.4364702493006733e-06
2023-03-21 16:30:00,,-8.001407866910851e-07,-1.706260225064727e-06,-8.384876478851001e-07,2.7702416709613476e-06,-2.3546836381694687e-06
2023-03-21 16:45:00,,-7.058109080692583e-07,-1.6176763395253136e-06,-7.620806337603612e-07,2.722155897436689e-06,-2.2716086155948916e-06
2023-03-21 17:00:00,,-6.106557174969468e-07,-1.5286209641536078e-06,-6.856851923623136e-07,2.6778625948024467e-06,-2.1880169626674535e-06
2023-03-21 17:15:00,,-5.15742910147736e-07,-1.4384509071759664e-06,-6.095753142257637e-07,2.6371393735253922e-06,-2.1031745998569724e-06
2023-03-21 17:30:00,,-4.2167097035203517e-07,-1.347223794854007e-06,-5.33996565035385e-07,2.5987570460192597e-06,-2.0177747514821248e-06
2023-03-21 17:45:00,,-3.291091379358537e-07,-1.2560701547784939e-06,-4.592067003697051e-07,2.5644761029011966e-06,-1.932073112577562e-06
2023-03-21 18:00:00,,-2.3902631706524835e-07,-1.1643323913857806e-06,-3.8600535047844166e-07,2.5331804155790452e-06,-1.846309881448138e-06
