Time,T1,Pressure Temp 1,T2,T3,T4,Pressure Temp 2
1679227200.0,,,,,,
1679228100.0,,,,,,
1679229000.0,,,,,,
1679229900.0,3.81,4.29,2.0,2.12,2.0,4.61
1679230800.0,4.12,4.64,2.37,2.37,2.0,4.64
1679231700.0,4.25,4.87,2.62,2.56,2.0,4.65
1679232600.0,4.31,5.07,2.81,2.68,2.0,4.65
1679233500.0,4.5,5.22,2.93,2.87,2.0,4.66
1679234400.0,4.62,5.34,3.06,2.93,2.0,4.66
1679235300.0,4.75,5.47,3.18,3.06,2.06,4.66
1679236200.0,4.81,5.56,3.25,3.12,2.06,4.66
1679237100.0,4.81,5.64,3.31,3.18,2.12,4.66
1679238000.0,4.81,5.7,3.37,3.25,2.12,4.66
1679238900.0,4.81,5.76,3.43,3.31,2.12,4.66
1679239800.0,4.75,5.8,3.43,3.31,2.18,4.66
1679240700.0,4.68,5.81,3.5,3.37,2.18,4.66
1679241600.0,4.5,5.82,3.5,3.37,2.25,4.66
1679242500.0,4.37,5.92,3.62,3.43,2.31,4.65
1679243400.0,4.18,6.11,3.75,3.62,2.5,4.67
1679244300.0,4.0,5.98,3.68,3.68,2.5,4.68
1679245200.0,3.81,5.81,3.62,3.68,2.5,4.68
1679246100.0,3.56,5.6,3.5,3.68,2.5,4.69
1679247000.0,3.37,5.43,3.37,3.56,2.5,4.7
1679247900.0,3.25,5.28,3.25,3.5,2.5,4.7
1679248800.0,3.06,5.12,3.18,3.43,2.5,4.7
1679249700.0,2.93,4.99,3.06,3.37,2.5,4.71
1679250600.0,2.75,4.86,2.93,3.31,2.5,4.72
1679251500.0,2.68,4.74,2.87,3.25,2.5,4.72
1679252400.0,2.56,4.63,2.75,3.12,2.5,4.72
1679253300.0,2.43,4.52,2.62,3.06,2.5,4.74
1679254200.0,2.31,4.41,2.62,3.0,2.5,4.75
1679255100.0,2.25,4.33,2.5,2.93,2.5,4.75
1679256000.0,2.18,4.27,2.37,2.87,2.5,4.75
1679256900.0,2.12,4.21,2.37,2.81,2.5,4.76
1679257800.0,2.06,4.16,2.31,2.75,2.5,4.77
1679258700.0,2.0,4.11,2.25,2.68,2.5,4.77
1679259600.0,2.0,4.08,2.18,2.68,2.5,4.77
1679260500.0,1.93,4.03,2.18,2.62,2.43,4.77
1679261400.0,1.87,3.99,2.12,2.56,2.43,4.78
1679262300.0,1.87,3.95,2.06,2.56,2.43,4.78
1679263200.0,1.87,3.91,2.0,2.5,2.43,4.78
1679264100.0,1.81,3.88,2.0,2.43,2.43,4.78
1679265000.0,1.81,3.86,1.93,2.43,2.37,4.78
1679265900.0,1.75,3.82,1.93,2.43,2.37,4.79
1679266800.0,1.75,3.81,1.87,2.37,2.37,4.78
1679267700.0,1.75,3.81,1.87,2.37,2.37,4.78
1679268600.0,1.75,3.81,1.87,2.37,2.31,4.78
1679269500.0,1.75,3.8,1.87,2.31,2.31,4.79
1679270400.0,1.75,3.8,1.87,2.31,2.31,4.78
1679271300.0,1.75,3.78,1.81,2.31,2.31,4.78
1679272200.0,1.68,3.76,1.81,2.31,2.31,4.78
1679273100.0,1.68,3.73,1.81,2.25,2.31,4.78
1679274000.0,1.68,3.72,1.75,2.25,2.25,4.78
1679274900.0,1.62,3.69,1.75,2.25,2.25,4.78
1679275800.0,1.62,3.67,1.75,2.18,2.25,4.77
1679276700.0,1.56,3.63,1.68,2.18,2.25,4.77
1679277600.0,1.5,3.58,1.68,2.18,2.25,4.77
1679278500.0,1.43,3.52,1.62,2.12,2.25,4.77
1679279400.0,1.43,3.49,1.56,2.12,2.25,4.76
1679280300.0,1.37,3.45,1.56,2.06,2.18,4.76
1679281200.0,1.37,3.42,1.5,2.06,2.18,4.76
1679282100.0,1.31,3.4,1.5,2.0,2.18,4.76
1679283000.0,1.37,3.39,1.43,2.0,2.18,4.75
1679283900.0,1.31,3.38,1.5,2.0,2.12,4.75
1679284800.0,1.25,3.32,1.43,1.93,2.12,4.75
1679285700.0,1.18,3.29,1.43,1.93,2.12,4.74
1679286600.0,1.18,3.23,1.37,1.93,2.12,4.74
1679287500.0,1.06,3.16,1.31,1.87,2.12,4.74
1679288400.0,0.93,3.06,1.25,1.87,2.12,4.73
1679289300.0,0.81,2.97,1.18,1.81,2.12,4.73
1679290200.0,0.68,2.88,1.12,1.75,2.06,4.72
1679291100.0,0.62,2.78,1.0,1.68,2.06,4.72
1679292000.0,0.5,2.69,0.93,1.62,2.06,4.72
1679292900.0,0.5,2.65,0.87,1.56,2.06,4.71
1679293800.0,0.5,2.63,0.81,1.5,2.06,4.71
1679294700.0,0.5,2.59,0.81,1.5,2.0,4.71
1679295600.0,0.5,2.6,0.75,1.43,2.0,4.7
1679296500.0,0.62,2.68,0.81,1.37,2.0,4.7
1679297400.0,0.75,2.77,0.81,1.43,2.0,4.69
1679298300.0,0.75,2.78,0.81,1.43,1.93,4.69
1679299200.0,0.68,2.76,0.81,1.43,1.93,4.69
1679300100.0,0.68,2.73,0.81,1.43,1.93,4.68
1679301000.0,0.68,2.73,0.81,1.43,1.87,4.68
1679301900.0,0.75,2.78,0.81,1.37,1.87,4.67
1679302800.0,0.75,2.78,0.87,1.43,1.87,4.66
1679303700.0,0.75,2.77,0.81,1.43,1.87,4.66
1679304600.0,0.68,2.74,0.81,1.43,1.87,4.66
1679305500.0,0.81,2.8,0.81,1.37,1.87,4.65
1679306400.0,1.0,2.98,0.87,1.43,1.81,4.65
1679307300.0,1.37,3.25,1.0,1.43,1.81,4.64
1679308200.0,1.68,3.53,1.18,1.56,1.81,4.64
1679309100.0,2.0,3.82,1.43,1.68,1.81,4.63
1679310000.0,2.12,3.96,1.56,1.81,1.81,4.62
1679310900.0,2.31,4.14,1.68,1.93,1.81,4.61
1679311800.0,2.56,4.33,1.87,2.12,1.81,4.61
1679312700.0,2.75,4.54,2.06,2.25,1.81,4.6
1679313600.0,2.81,4.65,2.18,2.37,1.81,4.6
1679314500.0,3.0,4.75,2.31,2.5,1.81,4.6
1679315400.0,3.06,4.87,2.43,2.56,1.87,4.59
1679316300.0,2.81,4.72,2.43,2.62,1.93,4.59
1679317200.0,2.87,4.76,2.43,2.68,1.93,4.59
1679318100.0,3.0,4.86,2.5,2.68,1.93,4.59
1679319000.0,3.0,4.89,2.56,2.75,2.0,4.59
1679319900.0,3.0,4.89,2.56,2.81,2.0,4.59
1679320800.0,3.0,4.91,2.62,2.81,2.0,4.59
1679321700.0,3.12,4.97,2.62,2.81,2.06,4.59
1679322600.0,3.06,4.99,2.68,2.87,2.06,4.59
