Time,T1,TopTemperature,T2,T3,T4,T5,T6,BottomTemperature
1646870400.0,7.68,7.09,7.43,6.75,6.37,6.18,6.0,4.94
1646871300.0,7.62,7.03,7.43,6.75,6.37,6.18,6.06,4.94
1646872200.0,7.56,6.96,7.37,6.75,6.37,6.12,6.06,4.94
1646873100.0,7.5,6.89,7.37,6.81,6.43,6.12,6.06,4.94
1646874000.0,7.37,6.82,7.37,6.81,6.43,6.18,6.0,4.95
1646874900.0,7.31,6.76,7.31,6.81,6.43,6.18,6.06,4.95
1646875800.0,7.25,6.7,7.31,6.81,6.43,6.18,6.06,4.95
1646876700.0,7.18,6.63,7.25,6.81,6.43,6.18,6.06,4.95
1646877600.0,7.12,6.56,7.25,6.81,6.43,6.18,6.0,4.95
1646878500.0,7.06,6.5,7.18,6.81,6.43,6.18,6.0,4.95
1646879400.0,7.0,6.42,7.12,6.81,6.43,6.18,6.06,4.95
1646880300.0,6.87,6.36,7.12,6.81,6.43,6.18,6.06,4.95
1646881200.0,6.87,6.28,7.12,6.81,6.43,6.18,6.06,4.96
1646882100.0,6.81,6.21,7.06,6.75,6.43,6.18,6.06,4.96
1646883000.0,6.68,6.15,7.0,6.75,6.43,6.18,6.0,4.96
1646883900.0,6.62,6.08,6.93,6.81,6.43,6.18,6.06,4.96
1646884800.0,6.56,6.03,6.93,6.81,6.43,6.18,6.06,4.96
1646885700.0,6.5,5.98,6.87,6.81,6.5,6.18,6.06,4.96
1646886600.0,6.43,5.91,6.87,6.75,6.5,6.18,6.06,4.96
1646887500.0,6.37,5.85,6.81,6.75,6.5,6.18,6.06,4.98
1646888400.0,6.31,5.78,6.81,6.75,6.5,6.18,6.06,4.98
1646889300.0,6.25,5.73,6.75,6.75,6.5,6.18,6.0,4.98
1646890200.0,6.18,5.67,6.75,6.75,6.5,6.18,6.06,4.98
1646891100.0,6.12,5.61,6.68,6.75,6.5,6.18,6.06,4.98
1646892000.0,6.06,5.55,6.68,6.75,6.5,6.18,6.06,4.98
1646892900.0,6.0,5.51,6.62,6.68,6.5,6.25,6.06,4.98
1646893800.0,5.93,5.43,6.62,6.68,6.5,6.18,6.06,4.98
1646894700.0,5.87,5.38,6.56,6.68,6.5,6.18,6.06,4.99
1646895600.0,5.81,5.33,6.5,6.68,6.5,6.18,6.06,4.99
1646896500.0,5.81,5.29,6.5,6.62,6.5,6.25,6.06,4.99
1646897400.0,5.75,5.26,6.43,6.62,6.5,6.25,6.06,5.0
1646898300.0,5.75,5.22,6.43,6.62,6.5,6.25,6.06,4.99
1646899200.0,5.68,5.19,6.37,6.62,6.5,6.25,6.06,5.0
1646900100.0,5.68,5.17,6.37,6.62,6.5,6.25,6.06,5.0
1646901000.0,5.68,5.14,6.37,6.62,6.5,6.25,6.06,5.0
1646901900.0,5.62,5.16,6.31,6.56,6.5,6.25,6.06,5.0
1646902800.0,5.75,5.17,6.31,6.56,6.5,6.25,6.06,5.0
