,Time,T1,TopTemperature,T2,T3,T4,BottomTemperature
0,1625832000.0,16.0,12.08,10.93,10.87,10.12,10.09
1,1625832900.0,16.56,12.29,10.93,10.87,10.12,10.1
2,1625833800.0,17.18,12.5,10.93,10.87,10.12,10.1
3,1625834700.0,17.75,12.73,10.93,10.81,10.12,10.11
4,1625835600.0,17.75,12.95,10.93,10.87,10.12,10.11
5,1625836500.0,17.25,13.13,10.93,10.87,10.12,10.12
6,1625837400.0,16.75,13.26,10.93,10.87,10.12,10.12
7,1625838300.0,17.0,13.36,10.93,10.81,10.12,10.12
8,1625839200.0,17.12,13.45,10.93,10.81,10.12,10.13
9,1625840100.0,17.5,13.55,10.93,10.81,10.12,10.13
10,1625841000.0,17.68,13.64,11.0,10.81,10.12,10.14
11,1625841900.0,17.62,13.74,11.0,10.81,10.12,10.14
12,1625842800.0,17.37,13.83,11.0,10.81,10.12,10.14
13,1625843700.0,17.06,13.89,11.06,10.81,10.12,10.15
14,1625844600.0,16.81,13.94,11.06,10.81,10.12,10.15
15,1625845500.0,16.75,13.98,11.06,10.81,10.12,10.15
16,1625846400.0,16.62,14.01,11.12,10.81,10.12,10.15
17,1625847300.0,16.25,14.03,11.12,10.81,10.12,10.15
18,1625848200.0,14.68,14.02,11.18,10.81,10.12,10.15
19,1625849100.0,13.87,13.96,11.18,10.81,10.12,10.15
20,1625850000.0,13.37,13.89,11.18,10.81,10.12,10.17
21,1625850900.0,13.06,13.8,11.25,10.81,10.12,10.15
22,1625851800.0,13.0,13.69,11.25,10.81,10.12,10.17
23,1625852700.0,12.93,13.6,11.31,10.81,10.12,10.17
24,1625853600.0,12.87,13.53,11.31,10.81,10.12,10.17
25,1625854500.0,12.87,13.45,11.37,10.81,10.12,10.17
26,1625855400.0,12.81,13.39,11.37,10.81,10.12,10.17
27,1625856300.0,12.68,13.34,11.37,10.81,10.12,10.18
28,1625857200.0,12.56,13.29,11.43,10.87,10.12,10.18
29,1625858100.0,12.43,13.24,11.43,10.81,10.12,10.18
30,1625859000.0,12.31,13.19,11.43,10.81,10.12,10.18
31,1625859900.0,12.25,13.14,11.5,10.87,10.12,10.19
32,1625860800.0,12.12,13.09,11.5,10.87,10.12,10.18
33,1625861700.0,11.93,13.05,11.5,10.87,10.12,10.19
34,1625862600.0,11.81,12.99,11.5,10.87,10.12,10.19
35,1625863500.0,11.68,12.93,11.5,10.87,10.12,10.19
36,1625864400.0,11.5,12.88,11.5,10.87,10.12,10.19
37,1625865300.0,11.37,12.83,11.5,10.93,10.12,10.19
