Time,DifL,Dif,DifI
2023-03-21 13:00:00,1.2912020653713532e-06,1.3821740525452059e-06,4.027899802017495e-08
2023-03-21 13:15:00,,1.3753063707148962e-06,4.0200735043310696e-08
2023-03-21 13:30:00,,1.3655482988260024e-06,4.014120493227847e-08
2023-03-21 13:45:00,,1.3535074219284904e-06,4.0120913834091946e-08
2023-03-21 14:00:00,,1.3400032033726553e-06,4.015810215621257e-08
2023-03-21 14:15:00,,1.3258345656010611e-06,4.026660588452743e-08
2023-03-21 14:30:00,,1.3118564214458192e-06,4.046117805785875e-08
2023-03-21 14:45:00,,1.298778952887036e-06,4.0753188735747596e-08
2023-03-21 15:00:00,,1.2871526876505786e-06,4.114970175693304e-08
2023-03-21 15:15:00,,1.2774274520594904e-06,4.1657665848740894e-08
2023-03-21 15:30:00,,1.2699579181612788e-06,4.2288325702702585e-08
2023-03-21 15:45:00,,1.2650213923768537e-06,4.3063996584435144e-08
2023-03-21 16:00:00,,1.2627994350905798e-06,4.4018916383239784e-08
2023-03-21 16:15:00,,1.2633447572519308e-06,4.5190803722538385e-08
2023-03-21 16:30:00,,1.266630749125755e-06,4.6617048205459616e-08
2023-03-21 16:45:00,,1.2725733830143623e-06,4.832995606730966e-08
2023-03-21 17:00:00,,1.2809111878852243e-06,5.0353647681134827e-08
2023-03-21 17:15:00,,1.2911268185964811e-06,5.269325293656936e-08
2023-03-21 17:30:00,,1.3024323829859156e-06,5.533016221962093e-08
2023-03-21 17:45:00,,1.3137177612579647e-06,5.821816634339056e-08
2023-03-21 18:00:00,,1.3236479796476352e-06,6.128231105838093e-08
2023-03-21 18:15:00,,1.3309056332030516e-06,6.442496241280952e-08
2023-03-21 18:30:00,,1.334511667638593e-06,6.754138804547392e-08
2023-03-21 18:45:00,,1.3340750056512435e-06,7.05433452635659e-08
2023-03-21 19:00:00,,1.3301078835642737e-06,7.338610572501924e-08
2023-03-21 19:15:00,,1.323840435846115e-06,7.607508899882186e-08
2023-03-21 19:30:00,,1.3167747539005684e-06,7.864945835517009e-08
2023-03-21 19:45:00,,1.3101918270527922e-06,8.115127926961428e-08
2023-03-21 20:00:00,,1.304891011302786e-06,8.36050206155393e-08
2023-03-21 20:15:00,,1.301207985370988e-06,8.601364746775116e-08
2023-03-21 20:30:00,,1.2991855972121559e-06,8.836827866325952e-08
2023-03-21 20:45:00,,1.2986499657711545e-06,9.064968547455594e-08
2023-03-21 21:00:00,,1.2992358140972456e-06,9.282675137784195e-08
2023-03-21 21:15:00,,1.300581167689307e-06,9.487331693083145e-08
2023-03-21 21:30:00,,1.3023611557578537e-06,9.677000126153179e-08
2023-03-21 21:45:00,,1.3042464525025744e-06,9.84989780033323e-08
2023-03-21 22:00:00,,1.305989569208775e-06,1.0005112742996689e-07
2023-03-21 22:15:00,,1.3073659859617133e-06,1.0141993983050005e-07
2023-03-21 22:30:00,,1.3082333236279488e-06,1.0260606465274334e-07
2023-03-21 22:45:00,,1.3084735204721221e-06,1.0361265571111101e-07
2023-03-21 23:00:00,,1.3080634753054066e-06,1.0444970236975706e-07
2023-03-21 23:15:00,,1.30701269603763e-06,1.0513092010051114e-07
2023-03-21 23:30:00,,1.305392930189209e-06,1.0567647498639886e-07
2023-03-21 23:45:00,,1.3032994529510456e-06,1.0610746359053805e-07
2023-03-22 00:00:00,,1.3008896239383955e-06,1.0645297575399427e-07
2023-03-22 00:15:00,,1.298351494271768e-06,1.0674617955112898e-07
2023-03-22 00:30:00,,1.2958932207326396e-06,1.070235658390215e-07
2023-03-22 00:45:00,,1.2937285747712208e-06,1.073234015998165e-07
2023-03-22 01:00:00,,1.2920015691273262e-06,1.0767751432995731e-07
2023-03-22 01:15:00,,1.2908953875802145e-06,1.081212508114213e-07
2023-03-22 01:30:00,,1.2904757756115318e-06,1.086763107326877e-07
2023-03-22 01:45:00,,1.2908242609213602e-06,1.0936207002578875e-07
2023-03-22 02:00:00,,1.2918904280104817e-06,1.101800172511608e-07
2023-03-22 02:15:00,,1.2935329086328682e-06,1.111171669610379e-07
2023-03-22 02:30:00,,1.2956292913060256e-06,1.121569728075151e-07
2023-03-22 02:45:00,,1.2980537272756663e-06,1.1327869111758098e-07
2023-03-22 03:00:00,,1.3006990482532656e-06,1.1446125396760867e-07
2023-03-22 03:15:00,,1.3035277255132376e-06,1.1568916942968249e-07
2023-03-22 03:30:00,,1.3065379335447974e-06,1.169508023050022e-07
2023-03-22 03:45:00,,1.3098244004474612e-06,1.182425658241193e-07
2023-03-22 04:00:00,,1.3133725924419999e-06,1.1955653179168274e-07
2023-03-22 04:15:00,,1.3172286070098213e-06,1.2089110847656794e-07
2023-03-22 04:30:00,,1.3214443462637704e-06,1.222465165650557e-07
2023-03-22 04:45:00,,1.3260645587852464e-06,1.2362297324606959e-07
2023-03-22 05:00:00,,1.3310984582771458e-06,1.2502020003184153e-07
2023-03-22 05:15:00,,1.3365336037741397e-06,1.2643883504350623e-07
2023-03-22 05:30:00,,1.3423643536572963e-06,1.2787743116379558e-07
2023-03-22 05:45:00,,1.3485735460576826e-06,1.293299886402069e-07
2023-03-22 06:00:00,,1.3551220995335532e-06,1.3078766111310704e-07
2023-03-22 06:15:00,,1.3619403889380403e-06,1.32233461573613e-07
2023-03-22 06:30:00,,1.3689007229210492e-06,1.336359670642258e-07
2023-03-22 06:45:00,,1.3758849925020972e-06,1.3497281430451445e-07
2023-03-22 07:00:00,,1.3827373269600182e-06,1.3621269015037671e-07
2023-03-22 07:15:00,,1.3892437224896536e-06,1.373117519581017e-07
2023-03-22 07:30:00,,1.3951380358374746e-06,1.3821716771662018e-07
2023-03-22 07:45:00,,1.4002019307046638e-06,1.3888805023376703e-07
2023-03-22 08:00:00,,1.4042681244027678e-06,1.392927838471015e-07
2023-03-22 08:15:00,,1.4071833451668506e-06,1.3940129857119038e-07
2023-03-22 08:30:00,,1.4087510763379915e-06,1.391817870343771e-07
2023-03-22 08:45:00,,1.4088763046856543e-06,1.3861444938675198e-07
2023-03-22 09:00:00,,1.4074923491630017e-06,1.3768849111322622e-07
2023-03-22 09:15:00,,1.4046174452964894e-06,1.363992929523978e-07
2023-03-22 09:30:00,,1.40031609269701e-06,1.347481481217647e-07
2023-03-22 09:45:00,,1.394681105108113e-06,1.3274571051125492e-07
2023-03-22 10:00:00,,1.387842193469207e-06,1.3042859093803282e-07
2023-03-22 10:15:00,,1.3799786850070765e-06,1.2784970114888385e-07
2023-03-22 10:30:00,,1.371334502189413e-06,1.2508692383642518e-07
2023-03-22 10:45:00,,1.3621527902217197e-06,1.2220796229622738e-07
2023-03-22 11:00:00,,1.3525754255485278e-06,1.1923601668892025e-07
2023-03-22 11:15:00,,1.3426407031850225e-06,1.1616213586544627e-07
2023-03-22 11:30:00,,1.3323105534132665e-06,1.1296073409771121e-07
2023-03-22 11:45:00,,1.3216346635348365e-06,1.0964696671141764e-07
2023-03-22 12:00:00,,1.310719741903076e-06,1.0626066174633589e-07
2023-03-22 12:15:00,,1.2995084234055206e-06,1.0279270664801326e-07
2023-03-22 12:30:00,,1.2879918337488122e-06,9.925200855852419e-08
2023-03-22 12:45:00,,1.2759620349187979e-06,9.559112867942606e-08
2023-03-22 13:00:00,,1.2631685531966455e-06,9.17546217685386e-08
2023-03-22 13:15:00,,1.2495535458973677e-06,8.77455512154997e-08
2023-03-22 13:30:00,,1.235131327191152e-06,8.359099935554395e-08
2023-03-22 13:45:00,,1.2201459136993813e-06,7.937803182235904e-08
2023-03-22 14:00:00,,1.2049942500488279e-06,7.522320981446684e-08
2023-03-22 14:15:00,,1.1905061817314123e-06,7.132258885306355e-08
2023-03-22 14:30:00,,1.177704493820176e-06,6.788396867057067e-08
2023-03-22 14:45:00,,1.1677077756070833e-06,6.511341706723259e-08
2023-03-22 15:00:00,,1.1613491174797016e-06,6.316514024811162e-08
2023-03-22 15:15:00,,1.158385587040093e-06,6.201780663221469e-08
2023-03-22 15:30:00,,1.1576217967300418e-06,6.152949315658474e-08
2023-03-22 15:45:00,,1.1577469198097845e-06,6.154220432568431e-08
2023-03-22 16:00:00,,1.1581084740743773e-06,6.198005320743177e-08
2023-03-22 16:15:00,,1.1587080127847337e-06,6.282808935751132e-08
2023-03-22 16:30:00,,1.1598330031800033e-06,6.40821324122694e-08
2023-03-22 16:45:00,,1.1617751466687184e-06,6.571662244375434e-08
2023-03-22 17:00:00,,1.1647400331920678e-06,6.767366406600295e-08
2023-03-22 17:15:00,,1.168964764545937e-06,6.986747195637122e-08
2023-03-22 17:30:00,,1.1745035950387689e-06,7.219669940713564e-08
2023-03-22 17:45:00,,1.1813022913920233e-06,7.455069392594316e-08
2023-03-22 18:00:00,,1.1892776559636428e-06,7.682755084280114e-08
2023-03-22 18:15:00,,1.1982569910123751e-06,7.893619777582474e-08
2023-03-22 18:30:00,,1.2080310575832938e-06,8.081102666794884e-08
2023-03-22 18:45:00,,1.2182072533654737e-06,8.237854654000242e-08
2023-03-22 19:00:00,,1.2282745263024567e-06,8.356407448393268e-08
2023-03-22 19:15:00,,1.237769747233321e-06,8.433081686578869e-08
2023-03-22 19:30:00,,1.246263865338295e-06,8.466626426949701e-08
2023-03-22 19:45:00,,1.2534093047385638e-06,8.458412294951916e-08
2023-03-22 20:00:00,,1.258971362420006e-06,8.412111222673363e-08
2023-03-22 20:15:00,,1.2628716041118578e-06,8.333941458378781e-08
2023-03-22 20:30:00,,1.2651416151109849e-06,8.230505160476737e-08
2023-03-22 20:45:00,,1.2659462142205923e-06,8.109233622591933e-08
2023-03-22 21:00:00,,1.265473199294633e-06,7.975648891045397e-08
2023-03-22 21:15:00,,1.2639981183935635e-06,7.835841794662115e-08
2023-03-22 21:30:00,,1.26191829929327e-06,7.69762387302417e-08
2023-03-22 21:45:00,,1.2595577379907805e-06,7.566647726863829e-08
2023-03-22 22:00:00,,1.257224217879571e-06,7.448427327710264e-08
2023-03-22 22:15:00,,1.2552078611966348e-06,7.348490937810383e-08
2023-03-22 22:30:00,,1.2536886743307365e-06,7.270646238860684e-08
2023-03-22 22:45:00,,1.2527512954969544e-06,7.217296660206119e-08
2023-03-22 23:00:00,,1.2524701316187362e-06,7.190801005516789e-08
2023-03-22 23:15:00,,1.2528937404793159e-06,7.192922560908201e-08
2023-03-22 23:30:00,,1.254136963441448e-06,7.226266905417241e-08
2023-03-22 23:45:00,,1.2562952979950447e-06,7.292632233783366e-08
2023-03-23 00:00:00,,1.2595484164905312e-06,7.394901259644675e-08
2023-03-23 00:15:00,,1.2640877092892038e-06,7.53574032186504e-08
2023-03-23 00:30:00,,1.2701199006505093e-06,7.717752776613966e-08
2023-03-23 00:45:00,,1.2778874049955211e-06,7.944038063354796e-08
2023-03-23 01:00:00,,1.2876086689562185e-06,8.216945776187591e-08
2023-03-23 01:15:00,,1.2994685185147383e-06,8.537847898880393e-08
2023-03-23 01:30:00,,1.3136277307813458e-06,8.90742871496943e-08
2023-03-23 01:45:00,,1.3301832030098005e-06,9.324737681295032e-08
2023-03-23 02:00:00,,1.3492531042438458e-06,9.789788987851097e-08
2023-03-23 02:15:00,,1.3708664902984591e-06,1.0300577600928169e-07
2023-03-23 02:30:00,,1.3949003728274805e-06,1.085160884724634e-07
2023-03-23 02:45:00,,1.4210981528479127e-06,1.1435006662743769e-07
2023-03-23 03:00:00,,1.4491113900648199e-06,1.2042167855692733e-07
2023-03-23 03:15:00,,1.4784226389250062e-06,1.2661427318053891e-07
2023-03-23 03:30:00,,1.5083861598178915e-06,1.3279364257272987e-07
2023-03-23 03:45:00,,1.5382463505525892e-06,1.388095102983875e-07
2023-03-23 04:00:00,,1.5672698852279412e-06,1.4453107147885041e-07
2023-03-23 04:15:00,,1.5947493333649908e-06,1.4983611892446592e-07
2023-03-23 04:30:00,,1.6201075993646224e-06,1.5463602723556661e-07
2023-03-23 04:45:00,,1.6428899282885448e-06,1.5886255031315752e-07
2023-03-23 05:00:00,,1.6628332616833767e-06,1.6248902159454277e-07
2023-03-23 05:15:00,,1.6798501056592364e-06,1.6552370075695657e-07
2023-03-23 05:30:00,,1.6939726654416466e-06,1.6799228669154686e-07
2023-03-23 05:45:00,,1.7053248697163878e-06,1.6993487467731104e-07
2023-03-23 06:00:00,,1.7140889112587859e-06,1.714014998732761e-07
2023-03-23 06:15:00,,1.7204619803344764e-06,1.7244068770008586e-07
2023-03-23 06:30:00,,1.7246325679070703e-06,1.730928046525596e-07
2023-03-23 06:45:00,,1.7267821756662183e-06,1.7339314943637288e-07
2023-03-23 07:00:00,,1.7270842943639859e-06,1.7337323078837199e-07
2023-03-23 07:15:00,,1.7257207278080882e-06,1.730605692159021e-07
2023-03-23 07:30:00,,1.7228744244077954e-06,1.7248147968599085e-07
2023-03-23 07:45:00,,1.7187435734294793e-06,1.716616898496948e-07
2023-03-23 08:00:00,,1.713555729665651e-06,1.7063022799473028e-07
2023-03-23 08:15:00,,1.7075531021516713e-06,1.694164386859434e-07
2023-03-23 08:30:00,,1.7010050899947507e-06,1.6805543963847462e-07
2023-03-23 08:45:00,,1.694175531121856e-06,1.6657862619487543e-07
2023-03-23 09:00:00,,1.6873305303405523e-06,1.6502202263685525e-07
2023-03-23 09:15:00,,1.6807130313141103e-06,1.6342286463211327e-07
2023-03-23 09:30:00,,1.6745256763301548e-06,1.6181430823898153e-07
2023-03-23 09:45:00,,1.668939814093713e-06,1.6023039443493186e-07
2023-03-23 10:00:00,,1.6641167573249553e-06,1.587187724050023e-07
2023-03-23 10:15:00,,1.6601901045043218e-06,1.5732293762475607e-07
2023-03-23 10:30:00,,1.6572659335054339e-06,1.5607875437792748e-07
2023-03-23 10:45:00,,1.65541189695802e-06,1.5501154121755548e-07
2023-03-23 11:00:00,,1.6546373139060114e-06,1.5412771297337493e-07
2023-03-23 11:15:00,,1.654895946655277e-06,1.5341830560533154e-07
2023-03-23 11:30:00,,1.6561008342857387e-06,1.5286537095383494e-07
2023-03-23 11:45:00,,1.6581253481384904e-06,1.5244352386150154e-07
2023-03-23 12:00:00,,1.6607606454783861e-06,1.5210864448668666e-07
2023-03-23 12:15:00,,1.663762724381154e-06,1.5181385351747872e-07
2023-03-23 12:30:00,,1.6668499051018423e-06,1.51508887919938e-07
2023-03-23 12:45:00,,1.6697047353025839e-06,1.5114000727552549e-07
2023-03-23 13:00:00,,1.6719881800309073e-06,1.5065279050357027e-07
2023-03-23 13:15:00,,1.6733569130428177e-06,1.499964813765954e-07
2023-03-23 13:30:00,,1.6735880014209484e-06,1.4915380532979158e-07
2023-03-23 13:45:00,,1.6725719813019363e-06,1.4813657913546824e-07
2023-03-23 14:00:00,,1.6702278747803685e-06,1.469626246880835e-07
2023-03-23 14:15:00,,1.666507250525858e-06,1.4564963446082735e-07
2023-03-23 14:30:00,,1.6614159210377496e-06,1.4421213031291953e-07
2023-03-23 14:45:00,,1.6550018771471054e-06,1.4265857251498033e-07
2023-03-23 15:00:00,,1.6473566195261934e-06,1.409952904560843e-07
2023-03-23 15:15:00,,1.6386000892679587e-06,1.3922973152732638e-07
2023-03-23 15:30:00,,1.6289141752402853e-06,1.3737574854950745e-07
2023-03-23 15:45:00,,1.6185193735400628e-06,1.3545712749960015e-07
2023-03-23 16:00:00,,1.607696354004126e-06,1.3350888032323375e-07
2023-03-23 16:15:00,,1.5967470443917748e-06,1.3157457931712765e-07
2023-03-23 16:30:00,,1.5860161948733316e-06,1.297018381462847e-07
2023-03-23 16:45:00,,1.5758291658317887e-06,1.2793704299379131e-07
2023-03-23 17:00:00,,1.5664500206764853e-06,1.2631942583983334e-07
2023-03-23 17:15:00,,1.5580781249362181e-06,1.2487850533314255e-07
2023-03-23 17:30:00,,1.5508207462320982e-06,1.2363856713057514e-07
2023-03-23 17:45:00,,1.5447478594174397e-06,1.2262738766281972e-07
2023-03-23 18:00:00,,1.5400134083071962e-06,1.2188208475087742e-07
2023-03-23 18:15:00,,1.5368563197582507e-06,1.214542539008653e-07
2023-03-23 18:30:00,,1.5355417707057564e-06,1.2138116633638313e-07
2023-03-23 18:45:00,,1.5362323313195297e-06,1.216636716716661e-07
2023-03-23 19:00:00,,1.5389521277915744e-06,1.222753709951879e-07
2023-03-23 19:15:00,,1.5436223191555763e-06,1.2317609036199832e-07
2023-03-23 19:30:00,,1.5500882142267073e-06,1.2431647531440684e-07
2023-03-23 19:45:00,,1.5581164865143132e-06,1.2563777413239067e-07
2023-03-23 20:00:00,,1.5673952464537898e-06,1.270730009910425e-07
2023-03-23 20:15:00,,1.5775501371011817e-06,1.2854753197649038e-07
2023-03-23 20:30:00,,1.588152729862861e-06,1.2998210084303246e-07
2023-03-23 20:45:00,,1.5987668392764687e-06,1.3129962411566196e-07
2023-03-23 21:00:00,,1.608985111399289e-06,1.3243731788689487e-07
2023-03-23 21:15:00,,1.6185161727386587e-06,1.3336256853495064e-07
2023-03-23 21:30:00,,1.6272663652334304e-06,1.3408719060761385e-07
2023-03-23 21:45:00,,1.635384626808159e-06,1.3467788680911554e-07
2023-03-23 22:00:00,,1.6432879294256306e-06,1.352583223138281e-07
2023-03-23 22:15:00,,1.6516317804794322e-06,1.3599809736076153e-07
2023-03-23 22:30:00,,1.66121336668265e-06,1.3708497148579678e-07
2023-03-23 22:45:00,,1.6728037507548185e-06,1.3868377902890181e-07
2023-03-23 23:00:00,,1.6869418082713573e-06,1.408878637256868e-07
2023-03-23 23:15:00,,1.7036967938243217e-06,1.4367410717440227e-07
2023-03-23 23:30:00,,1.7225770692914356e-06,1.4689241264487435e-07
2023-03-23 23:45:00,,1.7425615787544512e-06,1.5028361477506384e-07
2023-03-24 00:00:00,,1.762305139067541e-06,1.5353018730487695e-07
2023-03-24 00:15:00,,1.7803836838824666e-06,1.563110652577184e-07
2023-03-24 00:30:00,,1.7956076163755197e-06,1.5836588375048813e-07
2023-03-24 00:45:00,,1.8073346682384777e-06,1.5955518158711035e-07
2023-03-24 01:00:00,,1.8152394439638609e-06,1.5981608828452367e-07
2023-03-24 01:15:00,,1.819413154236649e-06,1.5917725064127163e-07
2023-03-24 01:30:00,,1.820130957877602e-06,1.5771216851922382e-07
2023-03-24 01:45:00,,1.8176412715433446e-06,1.554976762517443e-07
2023-03-24 02:00:00,,1.8122156323189445e-06,1.526180234550113e-07
2023-03-24 02:15:00,,1.8041918835915247e-06,1.491693870347826e-07
2023-03-24 02:30:00,,1.7941200001980766e-06,1.4528118969051602e-07
2023-03-24 02:45:00,,1.7827052352720229e-06,1.411061798668847e-07
2023-03-24 03:00:00,,1.7706744982201732e-06,1.3679998347531818e-07
2023-03-24 03:15:00,,1.7588620395788943e-06,1.3252937964585673e-07
2023-03-24 03:30:00,,1.7478719490853183e-06,1.284282293702452e-07
2023-03-24 03:45:00,,1.738176106963526e-06,1.2461095107131621e-07
2023-03-24 04:00:00,,1.7301191837405802e-06,1.211729024497634e-07
2023-03-24 04:15:00,,1.7240140914601095e-06,1.1819704168939543e-07
2023-03-24 04:30:00,,1.7199707744011564e-06,1.1573542582937153e-07
2023-03-24 04:45:00,,1.7179135793372272e-06,1.1381245465301535e-07
2023-03-24 05:00:00,,1.717861075232689e-06,1.1244524964661533e-07
2023-03-24 05:15:00,,1.7197746966976326e-06,1.1163039872610592e-07
2023-03-24 05:30:00,,1.7236560746917017e-06,1.1135008826412669e-07
2023-03-24 05:45:00,,1.729527656366425e-06,1.1157196900236477e-07
2023-03-24 06:00:00,,1.7372221741165962e-06,1.1224230455688353e-07
2023-03-24 06:15:00,,1.7466565591529343e-06,1.1330698870722327e-07
2023-03-24 06:30:00,,1.7577504462883994e-06,1.1471084459649673e-07
2023-03-24 06:45:00,,1.7703398004322328e-06,1.1639643994316335e-07
2023-03-24 07:00:00,,1.7842383877113182e-06,1.1830959927785605e-07
2023-03-24 07:15:00,,1.7992472682659806e-06,1.2040061708425874e-07
2023-03-24 07:30:00,,1.8151401936311507e-06,1.2262337679814113e-07
2023-03-24 07:45:00,,1.831740071236217e-06,1.2493925793746802e-07
2023-03-24 08:00:00,,1.8488266375524569e-06,1.2731024140391528e-07
2023-03-24 08:15:00,,1.8661340855569744e-06,1.296974804313141e-07
2023-03-24 08:30:00,,1.8833782727724832e-06,1.3206222588296422e-07
2023-03-24 08:45:00,,1.900209639848294e-06,1.3436149606480566e-07
2023-03-24 09:00:00,,1.9161925484996156e-06,1.3654638015453853e-07
2023-03-24 09:15:00,,1.930898430166993e-06,1.3857077847401035e-07
