Time,VelL,Vel,VelI
2023-03-21 13:00:00,9.94761772229208e-06,1.6854621179503001e-06,4.7100332301810046e-07
2023-03-21 13:15:00,,1.6378004476114765e-06,4.6731607343880375e-07
2023-03-21 13:30:00,,1.5935487021181093e-06,4.640142713990299e-07
2023-03-21 13:45:00,,1.5526781754567103e-06,4.6111100016348864e-07
2023-03-21 14:00:00,,1.5150106494544898e-06,4.585646047374877e-07
2023-03-21 14:15:00,,1.4801276962118373e-06,4.562851037066774e-07
2023-03-21 14:30:00,,1.4475583547922742e-06,4.541827931852224e-07
2023-03-21 14:45:00,,1.4168146952891974e-06,4.5218082851754693e-07
2023-03-21 15:00:00,,1.3874722992550535e-06,4.5022606551153166e-07
2023-03-21 15:15:00,,1.3591518421250139e-06,4.4826900235475996e-07
2023-03-21 15:30:00,,1.3316268509747766e-06,4.462767993013301e-07
2023-03-21 15:45:00,,1.3048554432960275e-06,4.442167521319585e-07
2023-03-21 16:00:00,,1.2789592573476908e-06,4.420908851751052e-07
2023-03-21 16:15:00,,1.2540669131331376e-06,4.3992305677822206e-07
2023-03-21 16:30:00,,1.2302521789333541e-06,4.377361250022956e-07
2023-03-21 16:45:00,,1.2074275022580085e-06,4.3555435319138103e-07
2023-03-21 17:00:00,,1.1853951733347263e-06,4.3339461070886127e-07
2023-03-21 17:15:00,,1.1637654986005059e-06,4.3128005819583574e-07
2023-03-21 17:30:00,,1.1423228844171676e-06,4.2922133713034377e-07
2023-03-21 17:45:00,,1.1209743772979092e-06,4.272308675012966e-07
2023-03-21 18:00:00,,1.0997640708103921e-06,4.253253637147164e-07
2023-03-21 18:15:00,,1.0790463247856424e-06,4.235093455882032e-07
2023-03-21 18:30:00,,1.0590550964127133e-06,4.217987240027116e-07
2023-03-21 18:45:00,,1.0401869730589502e-06,4.201928207150421e-07
2023-03-21 19:00:00,,1.0226815644036337e-06,4.1869540060419077e-07
2023-03-21 19:15:00,,1.0068499346071137e-06,4.172922892624741e-07
2023-03-21 19:30:00,,9.929358303207201e-07,4.1596233560958105e-07
