Time,T1-T2,T2-T3,T3-T4
2023-03-21 13:00:00,-6.823143322922737e-06,4.22999504276115e-05,1.0700311349152907e-06
2023-03-21 13:15:00,-6.738608920083506e-06,4.273024085008161e-05,1.1384497249278364e-06
2023-03-21 13:30:00,-6.618991123556727e-06,4.312895132609008e-05,1.2054422670416533e-06
2023-03-21 13:45:00,-6.466096200456479e-06,4.350587116343431e-05,1.2725091658335645e-06
2023-03-21 14:00:00,-6.282749034238364e-06,4.3911571946188415e-05,1.3379341615375528e-06
2023-03-21 14:15:00,-6.066254105609252e-06,4.4276222517487794e-05,1.4049513177652936e-06
2023-03-21 14:30:00,-5.824465391658673e-06,4.466487264196589e-05,1.4733899071416822e-06
2023-03-21 14:45:00,-5.558410679559004e-06,4.50561538164734e-05,1.5441036120943855e-06
2023-03-21 15:00:00,-5.267942360129714e-06,4.544701001601314e-05,1.6179646754217045e-06
2023-03-21 15:15:00,-4.9561734645840686e-06,4.5842089551629796e-05,1.693543464403972e-06
2023-03-21 15:30:00,-4.629619849182765e-06,4.625645758771768e-05,1.772541292541039e-06
2023-03-21 15:45:00,-4.2948919008382755e-06,4.6660689240001685e-05,1.8558769653577872e-06
2023-03-21 16:00:00,-3.958444708388747e-06,4.708003762876485e-05,1.9432585262744927e-06
2023-03-21 16:15:00,-3.6244858393080864e-06,4.749209370510954e-05,2.0348583208846037e-06
2023-03-21 16:30:00,-3.2958749795670657e-06,4.7903210523851036e-05,2.1297965241145303e-06
2023-03-21 16:45:00,-2.97243905885728e-06,4.831423655457434e-05,2.230800435025812e-06
2023-03-21 17:00:00,-2.661282052571569e-06,4.875692255742165e-05,2.334236228241094e-06
2023-03-21 17:15:00,-2.364574636423012e-06,4.918655251233756e-05,2.4384586709658766e-06
2023-03-21 17:30:00,-2.0865592484605175e-06,4.966307070342779e-05,2.542735568095792e-06
2023-03-21 17:45:00,-1.8268716168541296e-06,5.0118255428340294e-05,2.6468519759927976e-06
2023-03-21 18:00:00,-1.5851915063562788e-06,5.056108898715633e-05,2.7501910983644965e-06
2023-03-21 18:15:00,-1.3635901166222483e-06,5.097983494955049e-05,2.8520906740660093e-06
2023-03-21 18:30:00,-1.1628163280396319e-06,5.1383213630842345e-05,2.95208692822919e-06
2023-03-21 18:45:00,-9.826412195189723e-07,5.176563695908588e-05,3.049637660179604e-06
2023-03-21 19:00:00,-8.216264789951368e-07,5.211728384392655e-05,3.1442213243117066e-06
2023-03-21 19:15:00,-6.768615958442059e-07,5.24433084449324e-05,3.2352882621049704e-06
2023-03-21 19:30:00,-5.496136705481997e-07,5.2744259284876334e-05,3.3224221007124435e-06
2023-03-21 19:45:00,-4.4213242937536665e-07,5.301462591945151e-05,3.4053556291521825e-06
2023-03-21 20:00:00,-3.492087981619026e-07,5.325359657331353e-05,3.4836421431447063e-06
2023-03-21 20:15:00,-2.695703082578151e-07,5.345881464801793e-05,3.5568499529939236e-06
2023-03-21 20:30:00,-2.0381947173799918e-07,5.3633800316279746e-05,3.6248474609721277e-06
2023-03-21 20:45:00,-1.4929735199954032e-07,5.378033269810538e-05,3.687389960166276e-06
2023-03-21 21:00:00,-1.0412831120394658e-07,5.3900911322235403e-05,3.7443012967335415e-06
2023-03-21 21:15:00,-6.489687457544668e-08,5.398729998597591e-05,3.7960456277583183e-06
2023-03-21 21:30:00,-3.810750722441707e-08,5.4051940105168105e-05,3.841773320983836e-06
2023-03-21 21:45:00,-1.7533053812425854e-08,5.409324435106307e-05,3.881761839834057e-06
2023-03-21 22:00:00,6.93688269828271e-10,5.410367835664882e-05,3.916664561366261e-06
2023-03-21 22:15:00,1.7380473264263535e-08,5.408190363470287e-05,3.9466061622372494e-06
2023-03-21 22:30:00,2.832027556177237e-08,5.40523094056919e-05,3.971275435631714e-06
2023-03-21 22:45:00,4.0258836301288995e-08,5.398989756750557e-05,3.991661538114075e-06
2023-03-21 23:00:00,4.920095795977046e-08,5.39066214067344e-05,4.007857535902829e-06
2023-03-21 23:15:00,6.056966927142522e-08,5.3811200597994335e-05,4.01957118499347e-06
2023-03-21 23:30:00,7.444697219775962e-08,5.368456031436547e-05,4.027861579199038e-06
2023-03-21 23:45:00,8.619316244411064e-08,5.3559865388209944e-05,4.03365011144977e-06
2023-03-22 00:00:00,9.966556972758338e-08,5.344409722941905e-05,4.035937332329808e-06
2023-03-22 00:15:00,1.1788755100878704e-07,5.3298548216931666e-05,4.035793966500688e-06
2023-03-22 00:30:00,1.397313416765472e-07,5.312803113674506e-05,4.0330463231239546e-06
2023-03-22 00:45:00,1.6457573271346494e-07,5.295476989866371e-05,4.0286952644732905e-06
2023-03-22 01:00:00,1.9019704086570532e-07,5.2817021853625056e-05,4.02196102030728e-06
2023-03-22 01:15:00,2.2257155488366986e-07,5.263750439657453e-05,4.0149179084697616e-06
2023-03-22 01:30:00,2.581655118438728e-07,5.245394281489173e-05,4.006557168657149e-06
2023-03-22 01:45:00,2.9747626544098276e-07,5.229334305186343e-05,3.998093089125549e-06
2023-03-22 02:00:00,3.442632828241299e-07,5.21127587229789e-05,3.987860574663462e-06
2023-03-22 02:15:00,3.943906133047125e-07,5.191357504254201e-05,3.978596075031953e-06
2023-03-22 02:30:00,4.4902869108840473e-07,5.1743999021773255e-05,3.968688195409185e-06
2023-03-22 02:45:00,5.112938933101154e-07,5.1540434936916646e-05,3.959222861006883e-06
2023-03-22 03:00:00,5.756561931025874e-07,5.138229788639082e-05,3.9524498517110835e-06
2023-03-22 03:15:00,6.447344721088406e-07,5.1210293210747e-05,3.946648028620243e-06
2023-03-22 03:30:00,7.174813340813872e-07,5.104336062763844e-05,3.941666325004923e-06
2023-03-22 03:45:00,7.95248525831322e-07,5.088237735624841e-05,3.938883411649996e-06
2023-03-22 04:00:00,8.713942672496031e-07,5.074506641519933e-05,3.9387638390122906e-06
2023-03-22 04:15:00,9.498558891020302e-07,5.0616069689712474e-05,3.939911540809172e-06
2023-03-22 04:30:00,1.0298694433672636e-06,5.047791701761868e-05,3.943907431732054e-06
2023-03-22 04:45:00,1.1108639660543147e-06,5.034908569464806e-05,3.94938584125979e-06
2023-03-22 05:00:00,1.1922991244722003e-06,5.022905697184565e-05,3.956442970231142e-06
2023-03-22 05:15:00,1.274612027052083e-06,5.009151570416774e-05,3.965323120767861e-06
2023-03-22 05:30:00,1.3566007521367626e-06,4.9978867869954885e-05,3.975691927727495e-06
2023-03-22 05:45:00,1.437783827094768e-06,4.98746450382998e-05,3.9899270814281235e-06
2023-03-22 06:00:00,1.5178123453139944e-06,4.977073929946226e-05,4.0057890930171905e-06
2023-03-22 06:15:00,1.5964295107316628e-06,4.966483980388529e-05,4.0232833044754376e-06
2023-03-22 06:30:00,1.6717698356305256e-06,4.957694849840109e-05,4.0423022643180075e-06
2023-03-22 06:45:00,1.7430788363409839e-06,4.949447125604025e-05,4.0629028685613765e-06
2023-03-22 07:00:00,1.8096835628275744e-06,4.940782207445134e-05,4.0858858701848886e-06
2023-03-22 07:15:00,1.8712104574682897e-06,4.9339467475971856e-05,4.1111062406581955e-06
2023-03-22 07:30:00,1.926058717819947e-06,4.927375732776008e-05,4.137458785280904e-06
2023-03-22 07:45:00,1.9735749434648986e-06,4.920016390722343e-05,4.164751106067254e-06
2023-03-22 08:00:00,2.015029493875516e-06,4.912411328692161e-05,4.194192094553157e-06
2023-03-22 08:15:00,2.051343639220381e-06,4.904499303876311e-05,4.223983856557887e-06
2023-03-22 08:30:00,2.081595039063777e-06,4.8962211575181e-05,4.2539379527405114e-06
2023-03-22 08:45:00,2.1049063757221107e-06,4.8875144922289334e-05,4.284333454191629e-06
2023-03-22 09:00:00,2.12085301602881e-06,4.87835082572105e-05,4.314652880720447e-06
2023-03-22 09:15:00,2.1305178635178504e-06,4.868335451494677e-05,4.344422346141557e-06
2023-03-22 09:30:00,2.131062431032989e-06,4.8578973547962855e-05,4.373443799832498e-06
2023-03-22 09:45:00,2.1256565763392857e-06,4.846865277493318e-05,4.401915238491115e-06
2023-03-22 10:00:00,2.1101393650873785e-06,4.83445928954944e-05,4.42948851722512e-06
2023-03-22 10:15:00,2.0846846120790703e-06,4.820782097013635e-05,4.455794482542426e-06
2023-03-22 10:30:00,2.0479540976646222e-06,4.805589054663537e-05,4.4804576082130695e-06
2023-03-22 10:45:00,2.0050547208808352e-06,4.7886004067273043e-05,4.502909416410635e-06
2023-03-22 11:00:00,1.9563701373438666e-06,4.7690075191923155e-05,4.522976844565404e-06
2023-03-22 11:15:00,1.9030639844536254e-06,4.748458642978642e-05,4.540516096883015e-06
2023-03-22 11:30:00,1.8439313292203853e-06,4.726427024951604e-05,4.555450335198518e-06
2023-03-22 11:45:00,1.7816348265404489e-06,4.703397889703126e-05,4.567185646517363e-06
2023-03-22 12:00:00,1.7184119722865133e-06,4.678496891576271e-05,4.57565741075469e-06
2023-03-22 12:15:00,1.6562287997578197e-06,4.6532628010579074e-05,4.581281723180858e-06
2023-03-22 12:30:00,1.595984065131635e-06,4.62798678338955e-05,4.58362441180028e-06
2023-03-22 12:45:00,1.5367391893403563e-06,4.6017571889380656e-05,4.58379870987893e-06
2023-03-22 13:00:00,1.4832696145860351e-06,4.575522695877895e-05,4.581779596118319e-06
2023-03-22 13:15:00,1.4291600683955724e-06,4.549157069265366e-05,4.577492850362926e-06
2023-03-22 13:30:00,1.3736593576672652e-06,4.523008779258487e-05,4.570740808974956e-06
2023-03-22 13:45:00,1.3241540155294588e-06,4.496580813643467e-05,4.562718904321487e-06
2023-03-22 14:00:00,1.280443496845374e-06,4.471182772242903e-05,4.553136832611262e-06
2023-03-22 14:15:00,1.2436428860166355e-06,4.4452229469171956e-05,4.542052249187003e-06
2023-03-22 14:30:00,1.2108541760465014e-06,4.420404756068535e-05,4.530138867839014e-06
2023-03-22 14:45:00,1.182729259449998e-06,4.3958732913025166e-05,4.516969654131458e-06
2023-03-22 15:00:00,1.1575944692196544e-06,4.3722404010454966e-05,4.5035866663149684e-06
2023-03-22 15:15:00,1.1343705212548038e-06,4.349493895980199e-05,4.490023407822912e-06
2023-03-22 15:30:00,1.1109438198159333e-06,4.328259662135966e-05,4.476570495578952e-06
2023-03-22 15:45:00,1.0878071352049387e-06,4.307661442437231e-05,4.463305026413112e-06
2023-03-22 16:00:00,1.0640650797675583e-06,4.2859617867020674e-05,4.449326398226e-06
2023-03-22 16:15:00,1.040056673163078e-06,4.265000284648424e-05,4.436248827393644e-06
2023-03-22 16:30:00,1.0158267115689068e-06,4.244037287310757e-05,4.42275047953141e-06
2023-03-22 16:45:00,9.906259517148601e-07,4.223634182981006e-05,4.408851721499338e-06
2023-03-22 17:00:00,9.651147423072106e-07,4.2024557494159055e-05,4.394719149172124e-06
2023-03-22 17:15:00,9.384585995802179e-07,4.182527511036033e-05,4.380067866214701e-06
