Time,30L,30I,45L,45I,60L,60I
2023-03-21 13:00:00,3.6200271318046283e-06,3.9273180189398654e-07,1.088383320160474e-05,1.5233641954392564e-06,-6.806971852009216e-06,2.371217684283045e-06
2023-03-21 13:15:00,,3.9490937001564885e-07,,1.5197926649174854e-06,,2.3869330993663365e-06
2023-03-21 13:30:00,,3.973094333784424e-07,,1.5161193955529676e-06,,2.4024974587017102e-06
2023-03-21 13:45:00,,3.99915800713789e-07,,1.5128943094376672e-06,,2.418111758868448e-06
2023-03-21 14:00:00,,4.0269346292022075e-07,,1.5107395773643844e-06,,2.4340231030200115e-06
2023-03-21 14:15:00,,4.055939790141041e-07,,1.5100310903104391e-06,,2.4502167874793295e-06
2023-03-21 14:30:00,,4.0856455646198877e-07,,1.5107011545912037e-06,,2.466396925512698e-06
2023-03-21 14:45:00,,4.1154751235533734e-07,,1.5122993640723755e-06,,2.482111623415338e-06
2023-03-21 15:00:00,,4.144825954503032e-07,,1.5142302446293665e-06,,2.4968710924713445e-06
2023-03-21 15:15:00,,4.173033383997269e-07,,1.5159364273184874e-06,,2.510147074603096e-06
2023-03-21 15:30:00,,4.1993538421610073e-07,,1.5169806172438406e-06,,2.521297471858662e-06
2023-03-21 15:45:00,,4.2232018083464933e-07,,1.5170859634615172e-06,,2.529884713074533e-06
2023-03-21 16:00:00,,4.2441401690971427e-07,,1.5160961815550094e-06,,2.53564572669081e-06
2023-03-21 16:15:00,,4.261912399528172e-07,,1.513942923723278e-06,,2.538564671246421e-06
2023-03-21 16:30:00,,4.276358449248932e-07,,1.5106291490076993e-06,,2.53867179430975e-06
2023-03-21 16:45:00,,4.287483251542962e-07,,1.5062128058808106e-06,,2.536168927286029e-06
2023-03-21 17:00:00,,4.2954128809003387e-07,,1.5008130885796576e-06,,2.5312378382230994e-06
2023-03-21 17:15:00,,4.300474350180339e-07,,1.4945887045243047e-06,,2.524178137552834e-06
2023-03-21 17:30:00,,4.3031554998678386e-07,,1.4877391967436806e-06,,2.515276840207985e-06
2023-03-21 17:45:00,,4.30399840450555e-07,,1.4805070125579036e-06,,2.504685411152967e-06
2023-03-21 18:00:00,,4.3035963526191487e-07,,1.4731472842105134e-06,,2.4925227654759683e-06
2023-03-21 18:15:00,,4.302558389721044e-07,,1.4659164047618424e-06,,2.4788893448547846e-06
2023-03-21 18:30:00,,4.3014859374391876e-07,,1.4590694807956218e-06,,2.4639012618892135e-06
2023-03-21 18:45:00,,4.300951150328008e-07,,1.4528483302710049e-06,,2.4476920371545976e-06
2023-03-21 19:00:00,,4.3014855256849507e-07,,1.4474907533084178e-06,,2.4304571933889566e-06
2023-03-21 19:15:00,,4.30356069701546e-07,,1.4432164510997765e-06,,2.4123913313254364e-06
2023-03-21 19:30:00,,4.3075892574738174e-07,,1.4402389586958173e-06,,2.3937390633475063e-06
2023-03-21 19:45:00,,4.3138773258154067e-07,,1.4387522615400613e-06,,2.374774962731894e-06
2023-03-21 20:00:00,,4.322655138697273e-07,,1.4389266887856958e-06,,2.3557876648508866e-06
2023-03-21 20:15:00,,4.334020470885926e-07,,1.4408973487177037e-06,,2.3370930943448917e-06
2023-03-21 20:30:00,,4.348046678529538e-07,,1.4447759999034652e-06,,2.3190349308159807e-06
2023-03-21 20:45:00,,4.3646054801593397e-07,,1.4506234543258621e-06,,2.3019719170433844e-06
2023-03-21 21:00:00,,4.3835607062067483e-07,,1.4584839883899088e-06,,2.286255117741062e-06
2023-03-21 21:15:00,,4.404826582546284e-07,,1.468404871030846e-06,,2.272186302807463e-06
