Time,T1,T2,T3,T4,Pressure Temp 1,Pressure Temp 2
2023-03-19 12:50:00,4.75,1.93,2.43,2.81,4.3,4.73
2023-03-19 13:00:00,4.81,2,2.5,2.81,4.44,4.77
2023-03-19 13:15:00,4.93,2,2.5,2.81,4.58,4.78
2023-03-19 13:30:00,5.18,2.06,2.5,2.81,4.72,4.79
2023-03-19 13:45:00,5.25,2.06,2.5,2.81,4.87,4.79
2023-03-19 14:00:00,5.37,2.12,2.5,2.81,5,4.79
2023-03-19 14:15:00,5.31,2.18,2.5,2.81,5.12,4.79
2023-03-19 14:30:00,5.25,2.18,2.5,2.81,5.23,4.79
2023-03-19 14:45:00,5.25,2.31,2.5,2.81,5.33,4.79
2023-03-19 15:00:00,5.25,2.31,2.5,2.81,5.42,4.79
2023-03-19 15:15:00,5.12,2.37,2.5,2.81,5.48,4.79
2023-03-19 15:30:00,5,2.43,2.5,2.81,5.55,4.79
2023-03-19 15:45:00,4.81,2.43,2.56,2.81,5.59,4.78
2023-03-19 16:00:00,4.62,2.5,2.56,2.81,5.63,4.78
2023-03-19 16:15:00,4.43,2.56,2.56,2.81,5.65,4.78
2023-03-19 16:30:00,4.31,2.62,2.56,2.81,5.65,4.78
2023-03-19 16:45:00,4,2.62,2.56,2.81,5.64,4.78
2023-03-19 17:00:00,3.75,2.68,2.56,2.81,5.62,4.78
2023-03-19 17:15:00,3.56,2.68,2.62,2.81,5.57,4.77
2023-03-19 17:30:00,3.37,2.75,2.62,2.81,5.53,4.78
2023-03-19 17:45:00,3.18,2.75,2.62,2.81,5.46,4.77
2023-03-19 18:00:00,3.06,2.81,2.62,2.81,5.41,4.77
2023-03-19 18:15:00,2.93,2.81,2.68,2.81,5.34,4.77
2023-03-19 18:30:00,2.81,2.87,2.68,2.81,5.27,4.77
2023-03-19 18:45:00,2.68,2.87,2.68,2.81,5.21,4.76
2023-03-19 19:00:00,2.56,2.87,2.68,2.81,5.13,4.77
2023-03-19 19:15:00,2.43,2.87,2.68,2.81,5.07,4.77
2023-03-19 19:30:00,2.37,2.93,2.68,2.81,5,4.76
2023-03-19 19:45:00,2.31,2.87,2.75,2.81,4.94,4.76
2023-03-19 20:00:00,2.25,2.87,2.75,2.81,4.88,4.77
2023-03-19 20:15:00,2.18,2.87,2.75,2.81,4.81,4.77
