SampleID,t0,t1,max_amp,mean_amp,median_amp,impulses_ch6,impulses_ch5,impulses_ch4,impulses_ch3,impulses_ch2,impulses_ch1
167,41,48,0.10481910018061359,0.0331544037524579,0.022914216154744243,6,16,96,264,604,978
6,80,90,0.051422303101187984,0.014334598257596478,0.007296646653016961,2,8,65,195,628,1690
8,115,125,0.16194471848523997,0.03252611647926913,0.007798932974645779,10,31,89,230,509,1493
168,150,160,0.08941663684715193,0.02106090557887961,0.009669416998756866,4,16,110,255,489,1351
150,194,199,0.04684993783650697,0.019737041545963112,0.011301251811562173,2,16,41,139,414,882
11,226,234,0.051754391722477096,0.023629413923689106,0.030143536797057145,6,29,102,246,493,1329
22,265,275,0.06268833214802909,0.01835747977771242,0.005339274358691392,3,21,91,212,660,1581
152,310,320,0.10293183462706817,0.02386984913282555,0.008462468004528021,9,32,75,233,700,1639
12,357,360,0.04454354678817834,0.023352349155409576,0.021759151907210356,3,14,41,103,323,559
96,392,400,0.09563916240115371,0.01927746869470105,0.005162767856569708,3,22,58,165,559,1384
101,432,438,0.030079424737449983,0.015035855988707726,0.009219602276905664,2,9,49,132,544,1041
24,468,478,0.1053828870471095,0.01643097490824705,0.00601055687632277,5,18,43,139,586,1730
107,515,520,0.02772488520564482,0.014478880481023007,0.014642800293065463,1,13,39,78,345,943
162,550,560,0.02248111500379231,0.009186090847693474,0.005263971915600338,0,8,40,121,631,1881
159,595,610,0.010957353208861959,0.0049905746416529125,0.0045767283517164645,0,0,11,72,777,2820
35,642,648,0.022279504588702356,0.009445350158273776,0.0063512880877902985,0,6,24,103,418,1139
69,685,689,0.010897008883362277,0.007270479781572396,0.006858584327327465,0,1,12,57,275,830
85,730,736,0.011316231639656968,0.006771051296919327,0.005049470042874679,0,1,17,76,328,1228
61,782,788,0.024554138346802135,0.008274510620503368,0.004282995642871054,0,6,27,64,364,1201
52,820,825,0.016195175632876653,0.008783717260848232,0.007511678815330394,0,3,21,74,395,990
165,865,875,0.010625487537605937,0.005397944295596333,0.005060646229101027,0,1,11,62,607,1911
166,920,930,0.005410425701619348,0.004223791396984293,0.004041272256931301,0,0,2,32,536,2020
53,970,985,0.005407418558635123,0.0037739188928974186,0.0035257352179030644,0,0,2,30,601,3003
45,1020,1030,0.006963480111752232,0.004730689189724334,0.0045595536316889165,0,1,4,51,494,1931
