Date_Time,rms,maa,peak,mean_envelope,std_envelope,p90_envelope,date_str,tau
2022-03-27 07:00:00,1.8818630784168353e-06,1.4595269959438026e-06,1.2545657221126994e-05,2.344867188166549e-06,1.2586704422078543e-06,4.018333909115567e-06,032722-070000,0.257304003
2022-03-31 10:45:00,1.9695638285261695e-06,1.529572305573196e-06,1.1580606665655687e-05,2.45164853544e-06,1.3219688009578737e-06,4.197374970958169e-06,033122-104500,0.274622151
2022-04-02 10:00:00,2.4759693374322927e-06,1.9384947895078507e-06,1.4475758332069607e-05,3.0832159998615135e-06,1.6596736120448933e-06,5.305424105378303e-06,040222-100000,0.317836579
2022-04-02 10:45:00,2.4465693736805907e-06,1.9180478264538705e-06,1.4475758332069607e-05,3.0533569931307057e-06,1.6273675361302225e-06,5.229920741434256e-06,040222-104500,0.325163966
2022-04-02 11:15:00,2.530331323822483e-06,1.9809767088578843e-06,1.5440808887540914e-05,3.1501312442678805e-06,1.6975670319522592e-06,5.42372906265249e-06,040222-111500,0.327050471
2022-04-28 16:30:00,4.6262742727145036e-06,3.6431847458010418e-06,4.825252777356536e-05,5.742457685719971e-06,3.1351149974855345e-06,9.86166537751166e-06,042822-163000,0.567251327
2022-04-30 02:30:00,5.113169633365035e-06,4.020137650582319e-06,5.0182628884507975e-05,6.331179082788993e-06,3.4935828751030324e-06,1.0912234052707884e-05,043022-023000,0.549385551
2022-04-30 04:00:00,5.136591851743956e-06,4.019834203090954e-06,7.816909499317589e-05,6.337137766538983e-06,3.5510328855740835e-06,1.093729519217312e-05,043022-040000,0.560141738
2022-04-30 04:30:00,5.077319597289957e-06,3.992342662758466e-06,5.790303332827843e-05,6.2983912033013685e-06,3.447986526215303e-06,1.0839963051010069e-05,043022-043000,0.565398052
2022-04-30 12:00:00,5.051358822979438e-06,3.94372468500131e-06,7.816909499317589e-05,6.216768080062015e-06,3.51912506706069e-06,1.068141250609663e-05,043022-120000,0.567774069
2022-05-01 15:15:00,5.057417821841924e-06,3.942287686063836e-06,5.114767943997928e-05,6.214463136448828e-06,3.5405350838290853e-06,1.0783092092270438e-05,050122-151500,0.550979296
2022-05-01 16:15:00,5.16663532527787e-06,4.025394003040918e-06,6.658848832752019e-05,6.347899994204943e-06,3.618329373821985e-06,1.088126234904365e-05,050122-161500,0.517100374
2022-05-02 07:00:00,5.200999671001953e-06,4.07289082985041e-06,6.465838721657759e-05,6.412942039737291e-06,3.602074502990608e-06,1.1058613249489077e-05,050222-070000,0.463311499
2022-05-02 15:15:00,5.034900302222254e-06,3.900957554187038e-06,7.816909499317589e-05,6.14988102905058e-06,3.5887733878127382e-06,1.0644324744852559e-05,050222-151500,0.552372199
2022-05-03 10:00:00,5.2327296099450965e-06,4.082579995782629e-06,8.10642466595898e-05,6.433655223751495e-06,3.656629448054342e-06,1.1076215092390248e-05,050322-100000,0.413108681
2022-05-03 11:15:00,5.140836251782305e-06,4.01039888265632e-06,6.75535388829915e-05,6.319040401773491e-06,3.595283945957365e-06,1.084291844139349e-05,050322-111500,0.462436814
2022-05-03 14:00:00,5.180056310976761e-06,3.984022293022273e-06,7.430889277129066e-05,6.277615970420307e-06,3.7759084397563097e-06,1.0805952625302144e-05,050322-140000,0.478785855
2022-05-03 14:15:00,4.997723772373886e-06,3.897098810847323e-06,5.0182628884507975e-05,6.141775295440146e-06,3.4975773729651054e-06,1.0657383795817104e-05,050322-141500,0.470368581
2022-05-03 19:15:00,5.134957939309354e-06,3.965098402953799e-06,6.948363999393412e-05,6.246362621079575e-06,3.7038383748299844e-06,1.0826908874762226e-05,050322-191500,0.384912586
2022-05-04 04:00:00,5.297148274064399e-06,4.136707077334341e-06,5.6937982772807125e-05,6.5211245242406655e-06,3.687070758668424e-06,1.1286811890617199e-05,050422-040000,0.515588757
2022-05-04 05:15:00,5.346983524085257e-06,4.179546058095488e-06,6.369333666110628e-05,6.585701799086638e-06,3.7160446722786966e-06,1.1412750651033237e-05,050422-051500,0.528867894
2022-05-04 05:30:00,5.383905726471553e-06,4.209108481668324e-06,6.658848832752019e-05,6.625679093558291e-06,3.7514328613751944e-06,1.1483982803776941e-05,050422-053000,0.524863387
2022-05-04 06:00:00,5.395715090136614e-06,4.204613665702479e-06,8.10642466595898e-05,6.620619533163637e-06,3.7940582338624466e-06,1.1486303412464503e-05,050422-060000,0.51048112
2022-05-04 11:30:00,5.513262054326327e-06,4.269371986347704e-06,0.00011580606665655686,6.722110939136073e-06,3.950344715327758e-06,1.1634284682154802e-05,050422-113000,0.462185691
2022-05-04 12:45:00,5.4843765662585825e-06,4.2109448495998435e-06,8.588949943694634e-05,6.631135027458455e-06,4.0230316733552866e-06,1.1608644957148352e-05,050422-124500,0.499156802
2022-05-04 13:15:00,5.392508306238154e-06,4.1829390533024224e-06,7.141374110487673e-05,6.58544666445343e-06,3.845793523805902e-06,1.1335086291860777e-05,050422-131500,0.507315492
2022-05-04 13:30:00,5.446661506352066e-06,4.212460628174499e-06,7.237879166034804e-05,6.639423591947381e-06,3.9051622802782485e-06,1.1539324212805904e-05,050422-133000,0.511989866
2022-05-04 14:15:00,5.383221106831181e-06,4.163516590252341e-06,5.500788166186451e-05,6.558855123660747e-06,3.865169333902424e-06,1.1435123910680805e-05,050422-141500,0.501112174
2022-05-04 15:45:00,5.103460531639241e-06,3.966839943544266e-06,6.75535388829915e-05,6.248977075524125e-06,3.6112139986340935e-06,1.076490176704945e-05,050422-154500,0.453487899
2022-05-04 22:00:00,5.327100790815719e-06,4.0980496175930275e-06,9.167980276977419e-05,6.457017277005389e-06,3.8810946953285276e-06,1.1232193496736182e-05,050422-220000,0.429668173
2022-05-05 01:15:00,5.198479649604773e-06,4.049798548701633e-06,8.395939832600373e-05,6.377650940352973e-06,3.657035426436997e-06,1.096933147389767e-05,050522-011500,0.456496132
2022-05-05 02:00:00,5.223432038212521e-06,4.054720817143295e-06,8.878465110336026e-05,6.381357722633872e-06,3.7211180082885836e-06,1.1021815189351775e-05,050522-020000,0.471341597
2022-05-05 02:45:00,5.126416000725176e-06,3.985642381672086e-06,6.176323555016365e-05,6.281698355218795e-06,3.6194668818424787e-06,1.091192330685487e-05,050522-024500,0.47715365
2022-05-05 03:15:00,5.160654699994645e-06,4.0484399646807966e-06,4.3427274996208825e-05,6.377751830644732e-06,3.548087890613494e-06,1.102814719505509e-05,050522-031500,0.486991223
2022-05-05 04:00:00,5.227291895695947e-06,4.068050623530811e-06,0.00010326040943542987,6.408765037152527e-06,3.6846821869253086e-06,1.1117279504848732e-05,050522-040000,0.509473188
2022-05-05 04:15:00,5.141504610067453e-06,4.0232454343250135e-06,6.465838721657759e-05,6.338979615817291e-06,3.56194745411566e-06,1.0889832222917211e-05,050522-041500,0.519638264
2022-05-05 05:15:00,5.245365011267008e-06,4.106229205199813e-06,6.658848832752019e-05,6.468237884935466e-06,3.6317470563469404e-06,1.111656642358525e-05,050522-051500,0.544181851
2022-05-05 06:30:00,5.221210803948399e-06,4.057742162117417e-06,7.430889277129066e-05,6.390473115794979e-06,3.6991761032626623e-06,1.1084194099975751e-05,050522-063000,0.514158057
2022-05-05 07:15:00,5.272318819699496e-06,4.108866134722134e-06,6.851858943846281e-05,6.470399962230678e-06,3.7052146227342154e-06,1.12078401139576e-05,050522-071500,0.480945736
2022-05-05 07:30:00,5.295506407312592e-06,4.134949124319461e-06,7.334384221581935e-05,6.512281473564218e-06,3.697965981625225e-06,1.1245790411318168e-05,050522-073000,0.465948283
2022-05-05 11:30:00,5.233843213349951e-06,4.062318675484784e-06,7.430889277129066e-05,6.397517478849932e-06,3.7226313174962225e-06,1.1077573161987533e-05,050522-113000,0.449973875
2022-05-05 11:45:00,5.280118057907112e-06,4.094845182906568e-06,8.395939832600373e-05,6.444804951229723e-06,3.7714342700354187e-06,1.1088970859027338e-05,050522-114500,0.458692642
2022-05-05 12:00:00,5.111227621983085e-06,3.95728061812518e-06,9.071475221430288e-05,6.235410420174205e-06,3.6563483643802667e-06,1.0791521892852965e-05,050522-120000,0.467702878
2022-05-05 12:15:00,5.050675469389754e-06,3.9038917309514995e-06,9.071475221430288e-05,6.151584257151794e-06,3.6299643951240294e-06,1.068443083601211e-05,050522-121500,0.472114319
2022-05-05 12:30:00,5.071131474378926e-06,3.927121876465345e-06,7.044869054940542e-05,6.186599676605451e-06,3.627483455183058e-06,1.0698841169815995e-05,050522-123000,0.476549676
2022-05-05 13:00:00,5.1297090567410115e-06,3.952094656731284e-06,8.685454999241765e-05,6.2294657906729304e-06,3.7177384436400713e-06,1.0802366304084495e-05,050522-130000,0.480031556
2022-05-05 13:15:00,5.210226382881312e-06,4.050887239521014e-06,7.527394332676196e-05,6.384790311335828e-06,3.677948928177334e-06,1.1068158151368757e-05,050522-131500,0.483118689
2022-05-05 13:30:00,4.9265433574159065e-06,3.8067509674987803e-06,8.588949943694634e-05,5.997330853274982e-06,3.545934977664725e-06,1.0415115731856349e-05,050522-133000,0.492561126
2022-05-05 13:45:00,5.0297624321736915e-06,3.893950907844952e-06,7.334384221581935e-05,6.130620195946307e-06,3.607282431263256e-06,1.06833487457878e-05,050522-134500,0.4952573
2022-05-05 14:00:00,5.012220846627662e-06,3.8769695193858646e-06,7.237879166034804e-05,6.113150509512537e-06,3.5880395396477525e-06,1.0571871682417192e-05,050522-140000,0.4901137
2022-05-05 14:30:00,4.65807846591811e-06,3.6260829995629277e-06,7.430889277129066e-05,5.71830381670465e-06,3.2705298254174326e-06,9.866182046489503e-06,050522-143000,0.473453961
2022-05-05 14:45:00,4.896188437492152e-06,3.7942775249450703e-06,6.465838721657759e-05,5.97907846303569e-06,3.4922561191877446e-06,1.0327003217897919e-05,050522-144500,0.460691095
2022-05-05 15:00:00,4.853804593156327e-06,3.7635188179928124e-06,6.948363999393412e-05,5.933233992885e-06,3.45189283387465e-06,1.029786020310075e-05,050522-150000,0.45423708
