,04/30/23 00:00:00,04/30/23 00:15:00,04/30/23 00:30:00,04/30/23 00:45:00,04/30/23 01:00:00,04/30/23 01:15:00,04/30/23 01:30:00,04/30/23 01:45:00,04/30/23 02:00:00,04/30/23 02:15:00,04/30/23 02:30:00,04/30/23 02:45:00,04/30/23 03:00:00,04/30/23 03:15:00,04/30/23 03:30:00,04/30/23 03:45:00,04/30/23 04:00:00,04/30/23 04:15:00,04/30/23 04:30:00,04/30/23 04:45:00,04/30/23 05:00:00,04/30/23 05:15:00,04/30/23 05:30:00,04/30/23 05:45:00,04/30/23 06:00:00,04/30/23 06:15:00,04/30/23 06:30:00,04/30/23 06:45:00,04/30/23 07:00:00,04/30/23 07:15:00,04/30/23 07:30:00,04/30/23 07:45:00,04/30/23 08:00:00,04/30/23 08:15:00,04/30/23 08:30:00,04/30/23 08:45:00,04/30/23 09:00:00,04/30/23 09:15:00,04/30/23 09:30:00,04/30/23 09:45:00,04/30/23 10:00:00,04/30/23 10:15:00,04/30/23 10:30:00,04/30/23 10:45:00,04/30/23 11:00:00,04/30/23 11:15:00,04/30/23 11:30:00,04/30/23 11:45:00,04/30/23 12:00:00,04/30/23 12:15:00,04/30/23 12:30:00,04/30/23 12:45:00,04/30/23 13:00:00,04/30/23 13:15:00,04/30/23 13:30:00,04/30/23 13:45:00,04/30/23 14:00:00,04/30/23 14:15:00,04/30/23 14:30:00,04/30/23 14:45:00,04/30/23 15:00:00,04/30/23 15:15:00,04/30/23 15:30:00,04/30/23 15:45:00,04/30/23 16:00:00,04/30/23 16:15:00,04/30/23 16:30:00,04/30/23 16:45:00,04/30/23 17:00:00,04/30/23 17:15:00,04/30/23 17:30:00,04/30/23 17:45:00,04/30/23 18:00:00,04/30/23 18:15:00,04/30/23 18:30:00,04/30/23 18:45:00,04/30/23 19:00:00,04/30/23 19:15:00,04/30/23 19:30:00,04/30/23 19:45:00,04/30/23 20:00:00,04/30/23 20:15:00,04/30/23 20:30:00,04/30/23 20:45:00,04/30/23 21:00:00,04/30/23 21:15:00,04/30/23 21:30:00,04/30/23 21:45:00,04/30/23 22:00:00,04/30/23 22:15:00,04/30/23 22:30:00,04/30/23 22:45:00,04/30/23 23:00:00,04/30/23 23:15:00,04/30/23 23:30:00,04/30/23 23:45:00,05/01/23 00:00:00,05/01/23 00:15:00,05/01/23 00:30:00,05/01/23 00:45:00,05/01/23 01:00:00,05/01/23 01:15:00,05/01/23 01:30:00,05/01/23 01:45:00,05/01/23 02:00:00,05/01/23 02:15:00,05/01/23 02:30:00,05/01/23 02:45:00,05/01/23 03:00:00,05/01/23 03:15:00,05/01/23 03:30:00,05/01/23 03:45:00,05/01/23 04:00:00,05/01/23 04:15:00,05/01/23 04:30:00,05/01/23 04:45:00,05/01/23 05:00:00
max_amp,0.002908708720100034,0.0030254388594499458,0.0029906708943366893,0.002994565183748207,0.0029594848844195706,0.002919632994525133,0.0028641265355283433,0.003069434622241925,0.0028045431741607835,0.0026815739643841208,0.002726383195313206,0.002707284603036739,0.002836379938344773,0.002837710528908595,0.0027282252021547616,0.0028894252521732616,0.00289205452788989,0.002794514075424331,0.0029895395275658827,0.0028224048561281217,0.0030527623643470617,0.0030479156447476763,0.0031141483658669858,0.003188876243979915,0.002946392369091819,0.0029277423170224006,0.003212848108034984,0.002554608350505513,0.0023192588695988255,0.002489776346212861,0.0023219836538298107,0.0024680056068956753,0.0023888317334772864,0.0024171746701963643,0.0022374754812743104,0.0022469991597806045,0.0023218419880175465,0.0027831100034094213,0.0023002190148022233,0.0025589147415372047,0.002294441562157422,0.0025695913141011656,0.0025250132045338404,0.0024182965102330966,0.0024660700177818857,0.0026129864598283706,0.002667328494700656,0.002549660170289821,0.002682805350722872,0.0025946846506100544,0.0027609427006680034,0.0028844927163666147,0.0029153057303689793,0.00283344642961576,0.002861388454535915,0.002538214282621153,0.002852845630785264,0.0028566329369950046,0.0027886401569484375,0.0031097533122500603,0.0023067320211441543,0.0022622955551789407,0.002411697457518366,0.0024388615923302353,0.002623599243796802,0.0026340225050979845,0.0025476204698450795,0.0027712539597698287,0.0026699830567018927,0.0025680968591620537,0.002451311524551463,0.0024071435540051226,0.0022260667779001324,0.002414913530320465,0.002692804294939041,0.0034809429886628086,0.002969958586811632,0.0031266221725514986,0.002918938293385965,0.0024875681745300895,0.00244679871221658,0.0026372324108005045,0.002587776430864268,0.002634026916876531,0.00268679122348217,0.0027041670477938157,0.0029578413907819586,0.002711511539830876,0.002712595854883253,0.002628085251107992,0.0031781698821047623,0.002774253930728074,0.002882756248495165,0.0029330416270915488,0.00306653122431344,0.003092265039658849,0.003117693446537764,0.0030923132791266144,0.0029615966050969846,0.0028937684149615843,0.002635840130486159,0.0026669518382515097,0.0028426698138133526,0.0026191279562822406,0.0027008534260068544,0.002892003582670204,0.0025837042531539783,0.0027856608626425183,0.0024597575761476195,0.0026481951418578964,0.002578488214483318,0.0026403285180894944,0.002568322462790826,0.0025757529514721165,0.002294191475024789,0.002562542998367515,0.0026858181151651825
mean_amp,0.002274873783123339,0.0023667037762491257,0.002363924887025672,0.0022445525316001176,0.0022678668372067296,0.0022357327631200414,0.002282647725821799,0.002269887096446642,0.0022598370273114172,0.0022004494108793862,0.002219524020444918,0.002202944606260818,0.0022336855595510314,0.0022075127629662453,0.0022098780597351714,0.002347802711295208,0.002341170536876602,0.00233304904925449,0.0023479024864461336,0.002279794976710512,0.002359730468236014,0.0023818553906777775,0.0023664112616669274,0.0023957474602420053,0.0023802772942567983,0.0023355433370021677,0.0024162381645220694,0.002054250673887041,0.00197304405777811,0.002005585186042976,0.001949541420530662,0.0018399947146589362,0.0018768930329816195,0.0019093626666184015,0.0019031243545223832,0.0019615487963804547,0.0019407255402222577,0.0019600483834489283,0.0019326325337825842,0.0019388593175039019,0.0019213294752932844,0.0020457929291318564,0.0019968257060526745,0.002045665134520613,0.001985702737795982,0.002073192993912952,0.0020955817859787474,0.0020502552404831485,0.0020348247638254232,0.0021387815312187966,0.002159315097351127,0.0021486482348981846,0.002339751531404181,0.0021420252671049004,0.002116834586276203,0.0021080814987321636,0.0022246019312016176,0.002234878171493096,0.002223296351080033,0.002432706758114442,0.0019143522426319087,0.0018155966946927361,0.001848216020330918,0.00191720259117758,0.0019753709713467432,0.00203063973911789,0.0020608725781175114,0.002172503789011308,0.0020769016185722953,0.002096514545672217,0.0020548219453762587,0.0019339293011674302,0.0018366681361808063,0.0018872081332917227,0.002202629494344016,0.002284809298938423,0.0022638241354021845,0.0024981561407780213,0.0022603046374656956,0.0021060399436935353,0.0021292557053056637,0.0022051458699747233,0.002233603168924376,0.002292734082807102,0.0023008216981951625,0.002285805977544043,0.0023117048870742976,0.002341077069740087,0.002399410489476337,0.002296962512752925,0.002434005253540933,0.002381941259973183,0.002379397765041682,0.0024761917009728596,0.0024903726292856646,0.0025348843493833294,0.002502592987553886,0.0025071304625737196,0.0024599238190918453,0.002407182239778311,0.0023123925908396237,0.0022891840364257818,0.002282099487558302,0.002240058356169544,0.002275398144194869,0.0022075780959239224,0.0021904366370298052,0.0021481661332161256,0.0021100970067350704,0.002100766337419779,0.002094834095783644,0.002037176369961376,0.002151012433471331,0.0020446750755195526,0.0019448009924104839,0.002150105285000876,0.002077688603192228
median_amp,0.0022702985894864575,0.002346061213116934,0.002352357419818015,0.002274366173386896,0.0022368049092600134,0.0022019489537817008,0.0023124206785375885,0.002281592331017839,0.002297106156525279,0.0021745214933474046,0.0021909192272179636,0.0022155173620077816,0.002200907069765948,0.0022352420564126676,0.002212133808104203,0.0023083756751841994,0.002366119291304985,0.0023289574765656008,0.0023678509537633802,0.002287236865242925,0.0023672600911420973,0.0023446471733070007,0.0023433167027250377,0.0023962838986924685,0.0023863607268776966,0.0023397672796421996,0.002330381973217355,0.0020705347057079606,0.0019689103948801567,0.002027764453317116,0.0019104792393392456,0.0018275944843815168,0.0018961541897767028,0.0018975056017571583,0.0018939056532784153,0.001978467480413396,0.0019507767438269059,0.0019455901204329233,0.001957948414504137,0.001920873846514134,0.0018908042283184603,0.0020288097782588227,0.0019668249946508667,0.0020677607557955174,0.0019687634703885746,0.002080919410678752,0.0020758286414005334,0.0020404630397491096,0.0020426432528216085,0.0021276511228748747,0.0021510936162360407,0.0021488251718845153,0.0023214613352378934,0.0021428866015198826,0.0020935837202831946,0.002100000541903277,0.002204219852304732,0.0022347573412328783,0.0022005227750134266,0.002441561587698199,0.0019262075937337558,0.0018376967014150114,0.001837719378850767,0.0018991984467963653,0.0019557790289150894,0.0019782948681394547,0.0020739384753840464,0.0021615231638081045,0.0020467469879804578,0.002088138774235355,0.0020668516214573606,0.0019136033952795212,0.001792874825921951,0.0018729518719243173,0.0022065988828280413,0.0022946488679590747,0.0022785023254678553,0.0024862633817343506,0.0022464896487441118,0.0020977910719647934,0.0021244507397595613,0.0022034580558521148,0.00223183976950823,0.0022807692710907625,0.002290342224142374,0.0022435719152915485,0.002303158745790823,0.0023314693887113314,0.002383301365548838,0.0022719391714592927,0.0023999917921109686,0.0023554445832998146,0.002371515928056388,0.0024637344153754116,0.0024536682063982275,0.00251419995762145,0.002472733835557553,0.002514127336559531,0.0024506326715402846,0.0024126096825835917,0.0023259324308391913,0.002287995918377271,0.002250791514173964,0.002233238978721418,0.0022717285954921276,0.0021830552885843306,0.0022032162831000417,0.002111427850275941,0.002118096994550023,0.00209764036738314,0.002055898477767616,0.0020005653365858063,0.002166228752577196,0.0020420391310398264,0.001940913789840049,0.0021480422271214833,0.0020196080437349904
impulses_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
impulses_ch2,278.0,354.0,353.0,292.0,279.0,255.0,308.0,309.0,288.0,265.0,245.0,233.0,256.0,273.0,252.0,339.0,329.0,317.0,372.0,324.0,328.0,336.0,348.0,370.0,359.0,359.0,391.0,248.0,215.0,186.0,182.0,125.0,139.0,141.0,129.0,173.0,137.0,164.0,136.0,152.0,151.0,210.0,174.0,206.0,185.0,225.0,250.0,214.0,171.0,242.0,274.0,251.0,332.0,260.0,231.0,234.0,287.0,285.0,285.0,433.0,89.0,82.0,100.0,121.0,124.0,142.0,142.0,244.0,163.0,172.0,166.0,110.0,97.0,91.0,178.0,262.0,289.0,429.0,224.0,206.0,219.0,297.0,304.0,341.0,315.0,314.0,326.0,358.0,374.0,296.0,417.0,298.0,304.0,388.0,443.0,443.0,425.0,405.0,404.0,341.0,304.0,296.0,283.0,234.0,276.0,247.0,263.0,238.0,216.0,201.0,178.0,155.0,218.0,160.0,140.0,202.0,172.0
impulses_ch1,12362.0,11596.0,11758.0,12164.0,12181.0,12453.0,11894.0,12484.0,11729.0,12447.0,11553.0,11692.0,11541.0,12182.0,12143.0,12691.0,13004.0,12301.0,12549.0,12967.0,11964.0,12325.0,12269.0,12531.0,12681.0,12611.0,12527.0,11325.0,10745.0,11103.0,10890.0,10666.0,10516.0,11125.0,10795.0,11072.0,10937.0,11097.0,11054.0,10916.0,10687.0,11064.0,11348.0,11314.0,11378.0,11346.0,11394.0,11382.0,11364.0,11576.0,11845.0,11667.0,11678.0,11900.0,11595.0,11833.0,11862.0,11871.0,12181.0,12025.0,11374.0,11127.0,11216.0,11557.0,11684.0,12382.0,12387.0,12596.0,12334.0,12023.0,12430.0,11654.0,11423.0,11671.0,11385.0,11996.0,12422.0,11765.0,12379.0,12762.0,13333.0,13457.0,13799.0,13844.0,13400.0,13433.0,13452.0,13379.0,13414.0,13417.0,14034.0,12190.0,12102.0,12766.0,12615.0,12595.0,11964.0,12067.0,12164.0,11573.0,11934.0,11779.0,11876.0,11501.0,11481.0,11454.0,12117.0,11357.0,10614.0,10388.0,10626.0,10018.0,10879.0,10411.0,10426.0,10603.0,9970.0
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
