,4/30/2023 0:00,4/30/2023 0:15,4/30/2023 0:30,4/30/2023 0:45,4/30/2023 1:00,4/30/2023 1:15,4/30/2023 1:30,4/30/2023 1:45,4/30/2023 2:00,4/30/2023 2:15,4/30/2023 2:30,4/30/2023 2:45,4/30/2023 3:00,4/30/2023 3:15,4/30/2023 3:30,4/30/2023 3:45,4/30/2023 4:00,4/30/2023 4:15,4/30/2023 4:30,4/30/2023 4:45,4/30/2023 5:00,4/30/2023 5:15,4/30/2023 5:30,4/30/2023 5:45,4/30/2023 6:00,4/30/2023 6:15,4/30/2023 6:30,4/30/2023 6:45,4/30/2023 7:00,4/30/2023 7:15,4/30/2023 7:30,4/30/2023 7:45,4/30/2023 8:00,4/30/2023 8:15,4/30/2023 8:30,4/30/2023 8:45,4/30/2023 9:00,4/30/2023 9:15,4/30/2023 9:30,4/30/2023 9:45,4/30/2023 10:00,4/30/2023 10:15,4/30/2023 10:30,4/30/2023 10:45,4/30/2023 11:00,4/30/2023 11:15,4/30/2023 11:30,4/30/2023 11:45,4/30/2023 12:00,4/30/2023 12:15,4/30/2023 12:30,4/30/2023 12:45,4/30/2023 13:00,4/30/2023 13:15,4/30/2023 13:30,4/30/2023 13:45,4/30/2023 14:00,4/30/2023 14:15,4/30/2023 14:30,4/30/2023 14:45,4/30/2023 15:00,4/30/2023 15:15,4/30/2023 15:30,4/30/2023 15:45,4/30/2023 16:00,4/30/2023 16:15,4/30/2023 16:30,4/30/2023 16:45,4/30/2023 17:00,4/30/2023 17:15,4/30/2023 17:30,4/30/2023 17:45,4/30/2023 18:00,4/30/2023 18:15,4/30/2023 18:30,4/30/2023 18:45,4/30/2023 19:00,4/30/2023 19:15,4/30/2023 19:30,4/30/2023 19:45,4/30/2023 20:00,4/30/2023 20:15,4/30/2023 20:30,4/30/2023 20:45,4/30/2023 21:00,4/30/2023 21:15,4/30/2023 21:30,4/30/2023 21:45,4/30/2023 22:00,4/30/2023 22:15,4/30/2023 22:30,4/30/2023 22:45,4/30/2023 23:00,4/30/2023 23:15,4/30/2023 23:30,4/30/2023 23:45,5/1/2023 0:00,5/1/2023 0:15,5/1/2023 0:30,5/1/2023 0:45,5/1/2023 1:00,5/1/2023 1:15,5/1/2023 1:30,5/1/2023 1:45,5/1/2023 2:00,5/1/2023 2:15,5/1/2023 2:30,5/1/2023 2:45,5/1/2023 3:00,5/1/2023 3:15,5/1/2023 3:30,5/1/2023 3:45,5/1/2023 4:00,5/1/2023 4:15,5/1/2023 4:30,5/1/2023 4:45,5/1/2023 5:00
max_amp,0.043887992,0.045743235,0.045398597,0.045546895,0.045100184,0.044407187,0.043562942,0.046819209,0.042530604,0.040785666,0.041179103,0.040848809,0.042707382,0.042591276,0.040858972,0.04341374,0.043636706,0.041987696,0.044917962,0.042361553,0.045965453,0.045746251,0.046889742,0.04775876,0.044363839,0.044083025,0.048064276,0.038464746,0.034734132,0.037206047,0.034659388,0.036839004,0.035411463,0.036160985,0.033322849,0.033540122,0.034657274,0.041305268,0.034257292,0.038110062,0.034052741,0.038224658,0.037605164,0.036137886,0.03672732,0.038915355,0.039678574,0.038100922,0.039579148,0.038729895,0.041348962,0.043199296,0.043802596,0.042883562,0.042992486,0.038530273,0.043516204,0.043363891,0.042695531,0.047479492,0.035539446,0.03485482,0.037188723,0.037509035,0.040242175,0.040290726,0.039351766,0.042582948,0.041026825,0.03920952,0.037530854,0.036854619,0.034144079,0.037107439,0.041665017,0.053859669,0.045875403,0.048170641,0.045163926,0.03842417,0.037696868,0.040805168,0.040073295,0.040686441,0.041675717,0.041552094,0.045688235,0.041664949,0.041718362,0.040310359,0.049174944,0.042629046,0.044217265,0.044653987,0.046686294,0.047387279,0.04790632,0.047516329,0.04542656,0.044465499,0.040392816,0.04108868,0.043757822,0.040245388,0.041501177,0.04443906,0.039701675,0.042727963,0.037729084,0.040692033,0.039621525,0.040571774,0.039286384,0.039684208,0.03525243,0.039411222,0.041196522
mean_amp,0.034324387,0.035783465,0.035884548,0.034139313,0.034560478,0.034005165,0.034718735,0.034623418,0.034270192,0.033467955,0.033523537,0.033239085,0.033632611,0.033132621,0.033096002,0.035275838,0.035324704,0.035054164,0.035277337,0.034217506,0.035530469,0.035749334,0.035631062,0.035880329,0.035839843,0.035166283,0.036146974,0.030930859,0.029549083,0.029970522,0.029100081,0.027464918,0.027822607,0.028564106,0.028343338,0.029279311,0.02896849,0.029089876,0.028782805,0.028875541,0.028515233,0.030432752,0.029738838,0.030569458,0.029573183,0.03087618,0.0311734,0.03063805,0.030019558,0.031924798,0.032338751,0.032179,0.035154869,0.032419061,0.031805532,0.032000827,0.033933218,0.03392561,0.034039823,0.037142394,0.029494114,0.027972604,0.028499758,0.02948606,0.030299302,0.031061219,0.031833225,0.033382583,0.031913565,0.032009435,0.031460392,0.029609463,0.028171366,0.028998745,0.034080678,0.035352223,0.034968112,0.038488111,0.034973069,0.032530902,0.032804607,0.034119613,0.034588706,0.035414669,0.035688815,0.035123579,0.035707701,0.035972872,0.036901728,0.035231499,0.037660691,0.036600789,0.036496482,0.037698691,0.037914588,0.038845723,0.038454717,0.03852444,0.037731634,0.03698864,0.035436158,0.03526856,0.035128843,0.034420623,0.034963653,0.033922052,0.033658653,0.032949727,0.032365802,0.032280269,0.032189607,0.031303627,0.032902995,0.031501977,0.029883714,0.033068041,0.031868704
median_amp,0.034255354,0.035471359,0.035708953,0.034592774,0.034087119,0.033491319,0.035171577,0.034801962,0.034835375,0.033073601,0.033091492,0.033428789,0.033139065,0.03354881,0.033129785,0.034683445,0.035701143,0.034992688,0.035577064,0.034329202,0.035643843,0.035190875,0.035283327,0.035888363,0.035931441,0.035229883,0.034862564,0.031176048,0.029487175,0.030301958,0.028517015,0.027279825,0.02810813,0.028386724,0.028206044,0.02953185,0.02911852,0.028875295,0.029159836,0.028607683,0.028062195,0.030180115,0.029292036,0.030899644,0.029320905,0.03099125,0.030879557,0.03049172,0.030134903,0.031758659,0.032215623,0.03218165,0.034880058,0.032432097,0.031456187,0.031878158,0.033622317,0.033923775,0.033691148,0.037277589,0.029676768,0.028313095,0.028337898,0.029209161,0.02999879,0.030260538,0.032035047,0.033213856,0.031450211,0.031881554,0.031644573,0.029298263,0.027499651,0.028779684,0.034142095,0.035504468,0.035194838,0.038304884,0.034759314,0.032403486,0.032730579,0.034093498,0.034561399,0.035229855,0.035526264,0.034474612,0.035575693,0.035825241,0.036653978,0.034847684,0.03713441,0.036193642,0.036375586,0.037509036,0.037355783,0.038528746,0.037995903,0.038631953,0.037589121,0.037072038,0.035643649,0.035250255,0.034646913,0.034315837,0.034907267,0.03354523,0.033855027,0.032386215,0.03248851,0.032232236,0.031591315,0.030741055,0.033135751,0.031461365,0.029823983,0.033036312,0.030977834
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
impulses_ch4,224,270,271,222,205,202,242,234,224,211,189,172,190,204,169,239,236,231,273,247,262,246,261,265,275,262,283,187,156,142,137,88,94,106,85,117,95,106,91,113,112,151,125,132,118,164,187,165,124,185,199,185,262,213,171,178,234,219,239,345,73,71,82,91,104,110,115,198,136,150,133,94,75,73,148,224,246,364,193,169,181,262,270,281,271,259,275,296,308,247,349,242,251,308,341,372,347,351,347,286,246,256,232,192,240,206,222,186,181,165,149,145,179,133,111,177,144
impulses_ch3,11967,11367,11514,11805,11846,12121,11580,12217,11353,12054,11109,11280,11097,11595,11581,12328,12636,11933,12157,12542,11583,11979,11953,12163,12367,12205,12219,10769,10096,10456,10133,9840,9723,10392,10033,10267,10187,10313,10320,10221,9917,10412,10677,10661,10688,10659,10805,10703,10496,10968,11331,11040,11345,11440,11057,11432,11508,11474,11877,11759,10975,10681,10799,11142,11228,11997,12066,12307,11995,11593,12046,11219,10895,11189,11170,11773,12134,11653,12172,12416,13008,13116,13550,13624,13231,13158,13192,13120,13210,13119,13877,11991,11942,12588,12328,12416,11821,11935,12029,11390,11673,11514,11593,11245,11248,11201,11812,11010,10242,10080,10279,9658,10585,10104,10006,10325,9683
impulses_ch2,7184,6404,6380,7048,6905,7210,6698,6828,6775,7247,6853,6944,6667,7303,7171,6842,6911,6763,6979,7309,6634,6626,6692,6769,6754,6893,6603,7848,8135,7955,8122,8591,8404,8366,8273,7907,8100,8147,8087,8003,8206,7716,8104,7627,8054,7701,7644,7880,7811,7506,7290,7405,6789,7510,7603,7537,7026,6964,7053,6379,7876,8663,8331,7989,7778,7660,7482,7172,7408,7428,7748,7972,8518,8202,6389,6559,6946,6007,6513,7559,7781,7657,7462,7365,7319,7415,7191,6992,6831,7179,7179,6271,6313,6250,6465,6049,6026,5893,6044,6084,6372,6600,6680,6569,6555,6706,7256,6982,6820,6630,6671,6775,6856,6913,7464,6526,6517
impulses_ch1,1834,1707,1714,1881,1799,1945,1827,1840,1805,1894,1899,1773,1755,1893,1952,1865,1848,1740,1840,1925,1742,1715,1730,1768,1781,1759,1745,2208,2264,2106,2162,2358,2368,2289,2274,2137,2239,2233,2115,2187,2213,2149,2171,2052,2183,2097,2048,2114,2060,1960,1996,1882,1820,1930,2063,2012,1778,1851,1827,1629,2051,2332,2217,2129,2086,1930,1971,1899,1936,1970,2045,2104,2351,2207,1607,1703,1773,1546,1661,2028,2031,2037,2059,1906,1905,1913,1875,1769,1768,1802,1850,1631,1637,1646,1685,1603,1601,1530,1512,1597,1613,1748,1776,1718,1730,1750,1920,1881,1763,1763,1772,1806,1799,1786,2072,1707,1711
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
