,05/01/23 05:00:00,05/01/23 05:15:00,05/01/23 05:30:00,05/01/23 05:45:00,05/01/23 06:00:00,05/01/23 06:15:00,05/01/23 06:30:00,05/01/23 06:45:00,05/01/23 07:00:00,05/01/23 07:15:00,05/01/23 07:30:00,05/01/23 07:45:00,05/01/23 08:00:00,05/01/23 08:15:00,05/01/23 08:30:00,05/01/23 08:45:00,05/01/23 09:00:00,05/01/23 09:15:00,05/01/23 09:30:00,05/01/23 09:45:00,05/01/23 10:00:00,05/01/23 10:15:00,05/01/23 10:30:00,05/01/23 10:45:00,05/01/23 11:00:00,05/01/23 11:15:00,05/01/23 11:30:00,05/01/23 11:45:00,05/01/23 12:00:00,05/01/23 12:15:00,05/01/23 12:30:00,05/01/23 12:45:00,05/01/23 13:00:00,05/01/23 13:15:00,05/01/23 13:30:00,05/01/23 13:45:00,05/01/23 14:00:00,05/01/23 14:15:00,05/01/23 14:30:00,05/01/23 14:45:00,05/01/23 15:00:00,05/01/23 15:15:00,05/01/23 15:30:00,05/01/23 15:45:00,05/01/23 17:00:00,05/01/23 17:15:00,05/01/23 17:30:00,05/01/23 17:45:00,05/01/23 18:00:00,05/01/23 18:15:00,05/01/23 18:30:00,05/01/23 18:45:00,05/01/23 19:00:00,05/01/23 19:15:00,05/01/23 19:30:00,05/01/23 19:45:00,05/01/23 20:00:00,05/01/23 20:15:00,05/01/23 20:30:00,05/01/23 20:45:00,05/01/23 21:00:00,05/01/23 21:15:00,05/01/23 21:30:00,05/01/23 21:45:00,05/01/23 22:00:00,05/01/23 22:15:00,05/01/23 22:30:00,05/01/23 22:45:00,05/01/23 23:00:00,05/01/23 23:15:00,05/01/23 23:30:00,05/01/23 23:45:00,05/02/23 00:00:00,05/02/23 00:15:00,05/02/23 00:30:00,05/02/23 00:45:00,05/02/23 01:00:00,05/02/23 01:15:00,05/02/23 01:30:00,05/02/23 01:45:00,05/02/23 02:00:00,05/02/23 02:15:00,05/02/23 02:30:00,05/02/23 02:45:00,05/02/23 03:00:00,05/02/23 03:15:00,05/02/23 03:30:00,05/02/23 03:45:00,05/02/23 04:00:00,05/02/23 04:15:00,05/02/23 04:30:00,05/02/23 04:45:00,05/02/23 05:00:00,05/02/23 05:15:00,05/02/23 05:30:00,05/02/23 05:45:00,05/02/23 06:00:00,05/02/23 06:15:00,05/02/23 06:30:00,05/02/23 06:45:00,05/02/23 07:00:00,05/02/23 07:15:00,05/02/23 07:30:00,05/02/23 07:45:00,05/02/23 08:00:00,05/02/23 08:15:00,05/02/23 08:30:00,05/02/23 08:45:00,05/02/23 09:00:00,05/02/23 09:15:00,05/02/23 09:30:00,05/02/23 09:45:00,05/02/23 10:00:00,05/02/23 10:15:00,05/02/23 10:30:00,05/02/23 10:45:00,05/02/23 11:00:00,05/02/23 11:15:00,05/02/23 11:30:00,05/02/23 11:45:00,05/02/23 12:00:00,05/02/23 12:15:00,05/02/23 12:30:00,05/02/23 12:45:00,05/02/23 13:00:00,05/02/23 13:15:00,05/02/23 13:30:00,05/02/23 13:45:00,05/02/23 14:00:00,05/02/23 14:15:00,05/02/23 14:30:00,05/02/23 14:45:00,05/02/23 15:00:00,05/02/23 15:15:00,05/02/23 15:30:00,05/02/23 15:45:00,05/02/23 16:00:00,05/02/23 16:15:00,05/02/23 16:30:00,05/02/23 16:45:00,05/02/23 17:00:00,05/02/23 17:15:00,05/02/23 17:30:00,05/02/23 17:45:00,05/02/23 18:00:00,05/02/23 18:15:00,05/02/23 18:30:00,05/02/23 18:45:00,05/02/23 19:00:00,05/02/23 19:15:00,05/02/23 19:30:00,05/02/23 19:45:00,05/02/23 20:00:00
max_amp,0.0411965217535909,0.03658376872580272,0.03150065665092336,0.03242382181800733,0.031521529038454864,0.03380005255619532,0.0334618052358433,0.03498689208434263,0.035245215936784015,0.036184016590519806,0.031961904212251785,0.030794666003204508,0.034340677199167155,0.03575649991002915,0.0315453773308294,0.034999704563684564,0.038140436455336095,0.036270356291659214,0.03195624458867038,0.03681312117428553,0.0342214481337343,0.03129463515090811,0.03206892331115033,0.029763287703586796,0.03071403376788113,0.03264298265230494,0.03081685028589618,0.03229003473534189,0.03189275253589787,0.03201200547218243,0.034958831998799914,0.03186508547511099,0.030628840007062886,0.03358971190954371,0.032626751827534134,0.03327219101813626,0.03490420203666233,0.036533401601040995,0.03523457283779043,0.03985171991428491,0.04007509325338172,0.03823309260207003,0.04196866659774372,0.03962552523190395,0.03810096840753708,0.038870706739779964,0.038969982262399616,0.0405967980573925,0.04156710554700037,0.041827051271433144,0.042280728803624455,0.04129719414782244,0.042977337790364195,0.04203055832345609,0.03906269422241955,0.03853616413351108,0.04097869446301563,0.04049521424533186,0.03964948905905724,0.04252651418350387,0.04311384871919936,0.04460113704066626,0.04436262756410621,0.04136169324306648,0.057988092370202804,0.059000303321023136,0.06307426913157763,0.057631142210504534,0.058435418165797344,0.057869187587522776,0.06035096526040226,0.05872330382289533,0.0640258603227332,0.059518197352717545,0.06219164319179404,0.05537808538822107,0.053922792986080346,0.05787369917576456,0.054790281865836975,0.05337798799137441,0.05579820165455279,0.055574300017528944,0.05758136720571994,0.05672251702892107,0.05797262283580307,0.05859332969786064,0.05309582860480531,0.05558052246884135,0.05600041591498554,0.06092130451082876,0.05760951528471163,0.05337823753472163,0.05821861934365605,0.056562753387459454,0.053881482007732365,0.051844132465842796,0.05261618515075219,0.05234965672134995,0.05038598625286122,0.04949967470776936,0.05466155845157602,0.046483980321691896,0.05308687462430856,0.05145214279513517,0.05246085093252812,0.05186254672374804,0.05561282776197995,0.05143944007582665,0.050628859018793944,0.05481875303181467,0.05493401878950134,0.05116493458022614,0.052012477238863444,0.05164289456373701,0.04747060797675936,0.05098420161262324,0.05285245691347626,0.047133856538879776,0.04745066434686333,0.05288212630522963,0.05259753501768783,0.048439824009424856,0.05116848312071873,0.04978601692847724,0.05475951701242354,0.050295307715652375,0.0536408708230448,0.05253219465425954,0.052554736207046315,0.054806170662054406,0.050954234643737537,0.05558788364121344,0.05138709539937093,0.05652012887691469,0.06126147611546191,0.05868933142114774,0.06307350317355487,0.05818663478272938,0.05833831338735802,0.060076706421720576,0.06039764615650281,0.0572773748877684,0.05691320374628743,0.06444884507248522,0.06232128557178468,0.06769001874491076,0.05898971213475406,0.0651810948657996,0.0623568522231285,0.059309564865943736,0.060798831998882634,0.06163722103836153,0.060503503466209994
mean_amp,0.03186870447509771,0.02834551941272301,0.0262812700034443,0.026751243725054944,0.0269827502544182,0.026939852602649524,0.02748590232179441,0.027149786060773298,0.028923741488248254,0.028510204761267404,0.026887769213363277,0.025614161426157453,0.025921097739450765,0.026337357443530204,0.026360024005267206,0.0267888180943525,0.026291416116181583,0.027267863196248097,0.02679236319170954,0.026112927047853566,0.027588154040559403,0.026179158589503492,0.02692417198361409,0.02505713613527926,0.025464396858156605,0.026362073140221615,0.025037666168666747,0.02517877869398332,0.026389552085372747,0.027001617236431484,0.02580992692918303,0.02566873970983937,0.025761589772333157,0.027528870107732285,0.028185242334995426,0.028778120591072133,0.02957499894460564,0.02958354589302075,0.03063540952626037,0.0313438684055696,0.031371047965325374,0.03202760353365636,0.031801548480084665,0.032909365444128855,0.03362625052524331,0.033931006375109624,0.034627600125814034,0.03446848927715656,0.03440429636012113,0.03399729415618264,0.034602917304702135,0.03413035531172185,0.035880596367065885,0.034161782285867325,0.035033518575591165,0.034891003728634164,0.035225048584121045,0.034250078366931176,0.03406774905043263,0.03566347469093946,0.03648300524768626,0.03635370671454884,0.03635867933317247,0.0356500252810159,0.04938686242130246,0.04930771716719336,0.0504171385185469,0.0489171601848507,0.04941960505949565,0.047789249990876505,0.04907649298261603,0.047881381688902165,0.04718083345905202,0.0480124017611189,0.04808559918356341,0.04672881273584618,0.04727942832631266,0.04664275434682306,0.0461997873894451,0.04578263327065721,0.04678189510306688,0.04661755037935787,0.046508449721573156,0.04753150208150763,0.04782119950232439,0.04655265420970636,0.04584342102620491,0.04612943598467088,0.04634530265760074,0.04698206075132415,0.046088066975238685,0.04531984092630676,0.04452141159037117,0.04582175300734011,0.04276148540502257,0.041905990541139526,0.04222841828674527,0.04283306200363871,0.04155262855081838,0.04213197496604928,0.04234332258104489,0.0399215463300194,0.04295736279549751,0.0422584808409271,0.042108366872930486,0.04307927094681949,0.04265199912376782,0.04212565277467079,0.04173675331109181,0.04299109674845393,0.041930949590392445,0.041473141550815176,0.042443444251825155,0.04135247558156271,0.04143613220471849,0.04159989958836175,0.04314198784204788,0.040664918674116146,0.040520699764592424,0.041611176966069106,0.041761515267667366,0.041384246803922636,0.04086394088156996,0.04050084678224164,0.04173020116324507,0.04366540731017299,0.04278213356992218,0.04217032268588991,0.04298443208291811,0.043554565729559444,0.042697957995795885,0.043627155379667194,0.04386400347843191,0.045259707152017783,0.048108520049404406,0.04811319616524224,0.04954483138841597,0.047709273665810785,0.0484451423557626,0.04916550378901294,0.05014786860992763,0.04878974612988842,0.04756193633668558,0.051781462555934646,0.05115808200719355,0.051655969086692045,0.049608931234149334,0.04917816460123145,0.050171486790975175,0.04999073529781679,0.05063885284658055,0.0496049040088524,0.05142280296854796
median_amp,0.030977833650025356,0.027880653014627076,0.02626791910948256,0.026833506590722676,0.026611181732897664,0.027134573478206667,0.027432134883105697,0.026923399940153674,0.02871761304002393,0.028391746880019476,0.027379008381987816,0.02531893021036955,0.025736620288340402,0.02580505885037568,0.026118935614784386,0.026676321468824312,0.02612860703220249,0.026782477316416878,0.02685100909347702,0.025502280834177077,0.02766663603863255,0.02636396928888756,0.02718051157118169,0.02486896646394517,0.025232504966955647,0.026514704791769476,0.02486882863306618,0.02511138466760561,0.02644084207561183,0.026970315545308897,0.02574386232436246,0.025298642195967672,0.02577726391112595,0.027449662957489476,0.028031990566394598,0.028994692964143698,0.029815299416068988,0.029729506714490442,0.030291799762593805,0.03118811280725632,0.031214468770096475,0.03203003845897896,0.031113854554698128,0.03238996759570027,0.03351851672151587,0.034160314733782116,0.0346172182572742,0.03464734930596483,0.03420500320359404,0.03424455547808819,0.034329678978926456,0.034193805822468844,0.03542098094415136,0.033698655894372334,0.03484105823273135,0.03517922519148642,0.035021285940896714,0.03376965910510851,0.03419565108822896,0.035497704099799535,0.036469035286901055,0.03643570563160965,0.03643479394848252,0.03546489273412645,0.049439659844371035,0.04869315699355342,0.04984468442289003,0.04805066259747506,0.050081186486448506,0.04760787664748193,0.04889775445924046,0.04751671989254032,0.04759568269108767,0.04749115302221126,0.048002811101095166,0.046523984961869644,0.047731086331562415,0.04607561162199461,0.04612181387885259,0.04598775523038383,0.047098416218944686,0.04714694245801523,0.04644816507157971,0.047493170740216376,0.04751408665005294,0.04619829780986161,0.046025162226783045,0.04613097891862468,0.04599763177052267,0.04685544424428881,0.046397365812190214,0.044564749780891484,0.04456596853803706,0.04546409343868889,0.04266330073940688,0.042031022533929124,0.04172770009845089,0.04256669249126682,0.0415700058323748,0.04253378074005824,0.041935275181065754,0.03940949969548764,0.042665164557699364,0.0419606026154244,0.041267690017053035,0.043667386154244675,0.042097730135810724,0.0419220877590161,0.04181481390898558,0.042508433782816754,0.04185967964385622,0.04141146314156195,0.0421734744537626,0.04105559627552938,0.04174882315372,0.04099383265265274,0.04316515460349492,0.04064885968896224,0.04040498154580306,0.04120804412775883,0.04117082289166108,0.04167991731684474,0.04080880144255079,0.04033420345984297,0.04145238268169249,0.04383647935470622,0.042585166851663414,0.041615045267961615,0.04295398458627742,0.04372283787995462,0.042551849847136974,0.04338135339610495,0.044105232831973804,0.044563816445090276,0.048587727535287784,0.047795711886923664,0.049314564951806965,0.04747511118905553,0.0486762617038601,0.048139414272524245,0.049847781853214555,0.04927841374442038,0.0480167590601522,0.051543610788105154,0.05084189832315539,0.051581380194881954,0.049411722742201264,0.048538533753019086,0.049966111102534135,0.05006858939280175,0.0500208235110028,0.04925329705924377,0.050793504292044045
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3,1,2,0,0,2,0,2,1,0,2,2,1,1,1,1,2,1,3,0,0,2,2,0,0,0,1,2,0,2,2,1,2,1,1,2,2,1,0,0,2,0,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,3,2,3,1,2,1,1,3,1,2,1,3,0,1,0,1,0
impulses_ch4,144,80,71,77,92,87,86,82,98,96,69,57,52,75,51,74,74,88,91,67,93,83,83,68,61,87,79,59,83,81,79,87,65,83,91,115,116,119,127,124,133,138,144,165,142,156,183,179,181,164,193,178,212,176,179,204,207,167,193,226,209,221,229,192,1118,1156,1279,1101,1078,1017,1060,941,915,984,967,881,877,909,819,836,929,898,905,948,958,877,793,808,857,924,855,801,738,818,611,589,573,660,581,592,570,485,660,613,638,660,644,593,626,678,616,527,588,589,573,570,705,512,539,598,599,550,539,527,561,671,614,619,632,719,662,722,698,812,1029,1066,1052,968,1057,1106,1216,1086,1006,1386,1289,1370,1167,1084,1195,1165,1271,1120,1285
impulses_ch3,9683,8918,8243,8457,8160,8144,8445,8343,8831,8689,8084,8083,7861,7854,7754,7671,7815,8176,8021,7602,8212,7860,8101,7502,7838,8095,7574,7914,8195,8410,8075,8026,8114,8917,9015,9393,9349,9764,9946,10329,10313,10647,10506,11149,11864,11713,11750,11989,12045,12475,12523,12523,12816,13229,13296,13088,13275,13237,13238,13688,13862,13827,13964,14146,11937,11923,11995,11974,11817,12095,11790,11676,11811,11824,11649,11917,11839,11750,11902,11862,11716,12052,11681,11733,11908,11822,11784,11878,11712,11747,11789,11681,11644,11640,11670,11581,11283,11421,11573,11392,11291,11368,11484,11417,11494,11643,11576,11566,11603,11371,11516,11245,11693,11405,11447,11435,11445,11463,11510,11436,11402,11564,11562,11412,11231,11634,11567,11446,11654,11934,11773,11734,11858,12256,11947,12121,12108,12389,12386,12094,12251,12165,12393,12205,12121,12367,12390,12188,12296,12440,12340,12073,12240
impulses_ch2,6517,7427,8170,8109,7804,7813,7687,7820,7332,7445,7815,8421,8142,7946,7846,7830,7934,7674,8043,7984,7687,8134,7835,8774,8779,8431,8732,8739,8346,8135,8509,8663,8590,8163,7950,7950,7478,7517,7270,7034,7042,6951,6951,6813,6843,6747,6626,6782,6764,7136,7026,7093,6738,7177,7262,7012,7191,7442,7441,7317,6957,6997,7226,7198,4784,4683,4749,4719,4621,4952,4721,4790,4791,4853,4874,4830,4734,5020,4904,4984,4900,5191,4975,4830,4822,4879,4893,4981,5003,4878,5019,5162,5027,4917,5173,5410,5318,5282,5619,5262,5421,5647,5307,5433,5374,5255,5260,5466,5577,5382,5405,5414,5593,5581,5493,5709,5348,5689,5624,5537,5520,5539,5684,5674,5399,5201,5386,5515,5326,5377,5366,5297,5189,5249,4925,4842,4790,5006,4964,4847,4703,4851,5095,4671,4535,4702,4854,4781,4838,4784,4710,4673,4503
impulses_ch1,1711,2011,2226,2274,2160,2195,2156,2065,2020,2051,2214,2338,2219,2165,2140,2141,2271,2152,2126,2259,2082,2327,2154,2457,2391,2430,2421,2518,2341,2309,2434,2401,2384,2222,2168,2125,1973,2060,1965,1820,1902,1803,1815,1738,1731,1771,1801,1744,1752,1806,1838,1894,1749,1837,1874,1830,1810,1927,1921,2006,1734,1871,1810,1885,1198,1224,1222,1261,1150,1185,1182,1229,1156,1238,1275,1196,1231,1277,1261,1301,1281,1327,1268,1188,1218,1214,1219,1256,1238,1213,1260,1276,1259,1283,1342,1426,1424,1347,1435,1328,1341,1446,1374,1394,1358,1328,1391,1393,1406,1385,1359,1468,1403,1481,1463,1522,1396,1472,1469,1443,1427,1416,1436,1459,1472,1336,1362,1408,1424,1394,1403,1380,1332,1369,1229,1279,1158,1226,1271,1167,1242,1201,1312,1124,1125,1187,1202,1213,1215,1234,1159,1195,1149
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
