,08/28/23 00:00:00,08/28/23 00:15:00,08/28/23 00:30:00,08/28/23 00:45:00,08/28/23 01:00:00,08/28/23 01:15:00,08/28/23 01:30:00,08/28/23 01:45:00,08/28/23 02:00:00,08/28/23 02:15:00,08/28/23 02:30:00,08/28/23 02:45:00,08/28/23 03:00:00,08/28/23 03:15:00,08/28/23 03:30:00,08/28/23 03:45:00,08/28/23 04:00:00,08/28/23 04:15:00,08/28/23 04:30:00,08/28/23 04:45:00,08/28/23 05:00:00,08/28/23 05:15:00,08/28/23 05:30:00,08/28/23 05:45:00,08/28/23 06:00:00,08/28/23 06:15:00,08/28/23 06:30:00,08/28/23 06:45:00,08/28/23 07:00:00,08/28/23 07:15:00,08/28/23 07:30:00,08/28/23 07:45:00,08/28/23 08:00:00,08/28/23 08:15:00,08/28/23 08:30:00,08/28/23 08:45:00,08/28/23 09:00:00,08/28/23 09:15:00,08/28/23 09:30:00,08/28/23 09:45:00,08/28/23 10:00:00,08/28/23 10:15:00,08/28/23 10:30:00,08/28/23 10:45:00,08/28/23 11:00:00,08/28/23 11:15:00,08/28/23 11:30:00,08/28/23 11:45:00,08/28/23 12:00:00,08/28/23 12:15:00,08/28/23 12:30:00,08/28/23 12:45:00,08/28/23 13:00:00,08/28/23 13:15:00,08/28/23 13:30:00,08/28/23 13:45:00,08/28/23 14:00:00,08/28/23 14:15:00,08/28/23 14:30:00,08/28/23 14:45:00,08/28/23 15:00:00,08/28/23 15:15:00,08/28/23 15:30:00,08/28/23 15:45:00,08/28/23 16:00:00,08/28/23 16:15:00,08/28/23 16:30:00,08/28/23 16:45:00,08/28/23 17:00:00,08/28/23 17:15:00,08/28/23 17:30:00,08/28/23 17:45:00,08/28/23 18:00:00,08/28/23 18:15:00,08/28/23 18:30:00,08/28/23 18:45:00,08/28/23 19:00:00,08/28/23 19:15:00,08/28/23 19:30:00,08/28/23 19:45:00,08/28/23 20:00:00,08/28/23 20:15:00,08/28/23 20:30:00,08/28/23 20:45:00,08/28/23 21:00:00,08/28/23 21:15:00,08/28/23 21:30:00,08/28/23 21:45:00,08/28/23 22:00:00,08/28/23 22:15:00,08/28/23 22:30:00,08/28/23 22:45:00,08/28/23 23:00:00,08/28/23 23:15:00,08/28/23 23:30:00,08/28/23 23:45:00,08/29/23 00:00:00
max_amp,0.01153628516677266,0.010804968303235948,0.011742375179553385,0.01612569964171965,0.012931199435271639,0.012958966703956576,0.011917707655764392,0.011123529918147025,0.01092691446243747,0.011995281174719276,0.010829943838721566,0.01299203457305023,0.010916924243551689,0.013970344806015238,0.012167777642166746,0.013067716081094779,0.015263682369473307,0.011962307674377864,0.011989575150482717,0.013769205873269361,0.011413601228627628,0.013214090249675662,0.013568634299084415,0.01065356900147474,0.013762227298101188,0.011000264153414898,0.014229512740559995,0.012262576366439874,0.014607525931913423,0.014677266158720335,0.018394746954119665,0.015147937616183573,0.013617690106722138,0.01306544141174901,0.012420796335705342,0.012517913195761197,0.011764706706317555,0.011749940978796915,0.013551544994635218,0.01090096971554646,0.013040785407947671,0.01310205680929172,0.010336584489411323,0.012769710388425696,0.013863674096011486,0.010343625537859932,0.010490122877873655,0.012798589049346791,0.014333152937774768,0.017861201481702116,0.008910017542559844,0.011740646746561393,0.009937843476192747,0.008803133061500561,0.008260204265868256,0.008681446759236587,0.007778031154089221,0.00796524305467948,0.008594509616960927,0.00801426970892026,0.008228198139665565,0.008457778882762232,0.007991871721903162,0.009024794934188252,0.008436038813229785,0.00911607222147324,0.007101932965962772,0.00791655331351235,0.007679521098944254,0.009400296996250864,0.0066291879588875795,0.006785122589215289,0.007858748849061238,0.008437462654857212,0.00856285529512895,0.0074476930772046515,0.009542085053079378,0.009888273577627624,0.008675631317474185,0.008638981042449118,0.010163176986649753,0.008619963447515243,0.009702514365718526,0.010368386848354571,0.008916672563598458,0.009631203384817879,0.00916035575856787,0.01134983830279439,0.013120439941366663,0.011215778512049765,0.011476491239760626,0.010154373727495088,0.009737803769459276,0.00934875761022538,0.012161980178631617,0.01087434405014867,0.008944160169040469
mean_amp,0.006958814387737895,0.007225683346030326,0.007994306342562514,0.007828807746457715,0.007688363733839159,0.008011879855868936,0.007854552290695505,0.007403342178775072,0.007212290057411219,0.007699804198492961,0.007769528701947638,0.007723551830993237,0.007845102303625603,0.00788709117410164,0.00758203211143321,0.008070243351788757,0.008288964708733004,0.007942415806936137,0.007540443427773552,0.007904752453427064,0.007895380022714399,0.0077110311758831285,0.008603253301355921,0.00770612806730037,0.007839302719406156,0.007350438985172802,0.008232818934032342,0.007844901340952651,0.007573870962669611,0.00796583223599588,0.007977736920697106,0.008645923807276478,0.008558110020844207,0.008121432677582058,0.0073683582338897905,0.007577982578799311,0.007235445915591314,0.007777288005176585,0.008040149066494206,0.007332324895536046,0.007959896834245467,0.008062092395308262,0.007866377792874694,0.008201891489597997,0.008523069262092193,0.007517743221056766,0.007648336111478186,0.008250510223909237,0.008544076192929267,0.011102645261166036,0.0062162591990273545,0.006606195080994431,0.0061858760527320365,0.006136552924615147,0.006224568972783099,0.005563269096270624,0.005619211061509311,0.005344629809616504,0.006220541454884865,0.005710405184049541,0.005751572125669137,0.005621822075956362,0.005546375548302881,0.005468108093459252,0.005496692841498764,0.005302580478894673,0.004939824968652852,0.005292309813063685,0.005123131571155984,0.005388654362166793,0.004554538386023286,0.004757407902188816,0.005178362673980876,0.005202083654990632,0.0051993735806989665,0.005428415898441846,0.006169103995400479,0.006317106004590272,0.006221369400634883,0.006144137069142215,0.006275615940073612,0.0060838847384000645,0.006007872257710397,0.006154543442419532,0.005956198154077997,0.006026247052904715,0.006278240615532871,0.006214707179796727,0.006525524735094541,0.006423096138146117,0.006336315923114973,0.0060875532429242925,0.006020291274890654,0.006254372692776873,0.006064994653396601,0.006343609022647017,0.006267660423043462
median_amp,0.006688623929759141,0.00698296679277601,0.007812358387931913,0.007428185224225627,0.0076143983103907536,0.007745176990952746,0.007624622932902717,0.0071122681445009535,0.0072373317747732625,0.0075728232561383425,0.007783242530563419,0.007535899491522135,0.0076107004148946375,0.0075138451498544786,0.007463826070280968,0.00798347039601406,0.007987207029603163,0.007546636334724055,0.007196396319082748,0.007884245083053857,0.007680604047376178,0.007427609697772189,0.008428626220127853,0.007659000992060957,0.007412808403239251,0.007430128916283408,0.008076709303756546,0.0076008202259562835,0.007495127508717546,0.007756551519042224,0.0077841585817942215,0.008377154549198143,0.008249164495565437,0.007549610028143381,0.006946017704288931,0.007592943871220812,0.007036986981881466,0.00792821199890526,0.00769546675736712,0.007131690070629643,0.008114045008701005,0.007729496268761553,0.007913016549208368,0.008157445268190304,0.008235476115436926,0.007576090419504055,0.007564722584533713,0.008105058366706419,0.00819625898058121,0.010841134647972681,0.006093444816369095,0.006311039972276533,0.006063781340913766,0.005948927907830543,0.006099396441550242,0.005372858586198184,0.0055670425594615495,0.005228400249753967,0.0060284093183139206,0.005666568691952803,0.005691435911752144,0.005492216359368401,0.005515406407808205,0.005496556445875626,0.005367181129656048,0.0049391078773771665,0.004820686626669026,0.005087457674801156,0.005017397677144703,0.005184341565425949,0.004554382062499358,0.00463060917731451,0.005084454591464195,0.00507471419675488,0.005037841363153629,0.0054738996347312155,0.00619598100240982,0.006173354140640465,0.006044006807852557,0.00600747767889767,0.006151401832972593,0.005984114792767634,0.005900651021586374,0.006168335936880167,0.00587494118842406,0.005847728995499512,0.006154882291758849,0.006167230887364454,0.006350736178715572,0.006344583985890176,0.006029525201330729,0.0058121472731404175,0.006013661410301334,0.006090041288442838,0.005755420706512318,0.006099511296538832,0.006285242322799125
impulses_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch4,0.0,1.92,3.84,3.84,0.0,5.76,1.92,0.0,0.0,1.92,3.84,5.76,0.0,0.0,1.92,5.76,9.6,1.92,0.0,3.84,1.92,15.36,7.68,1.92,3.84,0.0,5.76,3.84,0.0,3.84,9.6,11.52,7.68,0.0,1.92,3.84,1.92,3.84,0.0,0.0,3.84,5.76,1.92,5.76,1.92,1.92,1.92,3.84,0.0,21.119999999999997,1.92,3.84,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,1.92,1.92,1.92,3.84,0.0,0.0,3.84,3.84,5.76,1.92
impulses_ch3,203.51999999999998,211.2,347.52,328.32,328.32,345.59999999999997,328.32,264.96,266.88,295.68,282.24,307.2,380.15999999999997,345.59999999999997,286.08,349.44,337.91999999999996,276.48,301.44,307.2,318.71999999999997,357.12,422.4,286.08,332.15999999999997,251.51999999999998,387.84,291.84,255.35999999999999,337.91999999999996,326.4,372.47999999999996,407.03999999999996,299.52,230.39999999999998,286.08,264.96,324.47999999999996,316.8,234.23999999999998,318.71999999999997,328.32,337.91999999999996,384.0,428.15999999999997,236.16,289.92,351.36,395.52,476.15999999999997,67.2,101.75999999999999,76.8,105.6,88.32,65.28,48.0,36.48,84.47999999999999,36.48,61.44,82.56,69.12,65.28,76.8,86.39999999999999,42.239999999999995,53.76,48.0,67.2,32.64,32.64,65.28,71.03999999999999,80.64,86.39999999999999,115.19999999999999,82.56,113.28,101.75999999999999,90.24,115.19999999999999,99.84,103.67999999999999,92.16,105.6,136.32,86.39999999999999,115.19999999999999,172.79999999999998,149.76,120.96,147.84,170.88,113.28,157.44,184.32
impulses_ch2,3482.8799999999997,3941.7599999999998,4398.72,4030.08,4195.2,4446.72,4525.44,4321.92,3959.04,4176.0,4320.0,4056.96,4331.5199999999995,4592.639999999999,4321.92,4312.32,4373.76,4120.32,3880.3199999999997,4350.72,4239.36,4032.0,4992.0,3966.72,4358.4,3880.3199999999997,4702.08,4356.48,4074.24,4156.8,4199.04,4917.12,4744.32,4392.96,3755.52,4149.12,3966.72,4093.44,4164.48,3932.16,4316.16,4696.32,4233.599999999999,4419.84,4638.72,4145.28,4375.68,4471.679999999999,5047.679999999999,8240.64,2814.72,3104.64,2810.88,2701.44,2728.3199999999997,2188.7999999999997,2294.4,2016.0,2853.12,2434.56,2430.72,2186.88,2098.56,2188.7999999999997,2071.68,1962.24,1816.32,2104.3199999999997,2083.2,2232.96,1468.8,1608.96,1789.4399999999998,1944.96,1941.12,1964.1599999999999,2334.72,2609.2799999999997,2492.16,2219.52,2486.4,2307.8399999999997,2415.36,2269.44,2411.52,2442.24,2609.2799999999997,2419.2,2701.44,2655.36,2618.88,2547.8399999999997,2288.64,2409.6,2232.96,2522.88,2474.88
impulses_ch1,14108.16,15000.96,14872.32,14864.64,15242.88,14791.68,15321.599999999999,15515.519999999999,15302.4,14574.72,15361.92,14501.76,14903.039999999999,15168.0,14993.279999999999,15271.68,14592.0,14749.439999999999,14672.64,14315.519999999999,14547.84,14737.92,14613.119999999999,14407.68,14736.0,14824.32,14426.88,14547.84,15058.56,14686.08,14868.48,15168.0,14851.199999999999,14914.56,14263.68,14256.0,14682.24,14622.72,14574.72,14732.16,15248.64,14901.119999999999,14699.519999999999,14160.0,14455.68,14876.16,15219.84,14997.119999999999,15588.48,17531.52,19756.8,19282.559999999998,18366.719999999998,18382.079999999998,18969.6,17892.48,17500.8,17773.44,18261.12,18255.36,18115.2,17521.92,17324.16,16542.72,16669.44,15970.56,15934.08,16283.519999999999,15123.84,15642.24,12927.359999999999,13157.76,13096.32,13301.76,13113.6,13422.72,13255.68,13119.359999999999,13743.359999999999,13175.039999999999,13046.4,12858.24,13232.64,12798.72,13098.24,12537.6,13044.48,12988.8,12956.16,12727.68,12762.24,12599.039999999999,12232.32,12424.32,12192.0,12399.359999999999,12019.199999999999
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
