,08/03/22 00:01:00,08/03/22 00:16:00,08/03/22 00:31:00,08/03/22 00:46:00,08/03/22 01:01:00,08/03/22 01:16:00,08/03/22 01:31:00,08/03/22 01:46:00,08/03/22 02:01:00,08/03/22 02:16:00,08/03/22 02:31:00,08/03/22 02:46:00,08/03/22 03:01:00,08/03/22 03:16:00,08/03/22 03:31:00,08/03/22 03:46:00,08/03/22 04:01:00,08/03/22 04:16:00,08/03/22 04:31:00,08/03/22 04:46:00,08/03/22 05:01:00,08/03/22 05:16:00,08/03/22 05:31:00,08/03/22 05:46:00,08/03/22 06:01:00,08/03/22 06:16:00,08/03/22 06:31:00,08/03/22 06:46:00,08/03/22 07:01:00,08/03/22 07:16:00,08/03/22 07:31:00,08/03/22 07:46:00,08/03/22 08:01:00,08/03/22 08:16:00,08/03/22 08:31:00,08/03/22 08:46:00,08/03/22 09:01:00,08/03/22 09:16:00,08/03/22 09:31:00,08/03/22 09:46:00,08/03/22 10:01:00,08/03/22 10:16:00,08/03/22 10:31:00,08/03/22 10:46:00,08/03/22 11:01:00,08/03/22 11:16:00,08/03/22 11:31:00,08/03/22 11:46:00,08/03/22 12:01:00,08/03/22 12:16:00,08/03/22 12:31:00,08/03/22 12:46:00,08/03/22 13:01:00,08/03/22 13:16:00,08/03/22 13:31:00,08/03/22 13:46:00,08/03/22 14:01:00,08/03/22 14:16:00,08/03/22 14:31:00,08/03/22 14:46:00,08/03/22 15:01:00,08/03/22 15:16:00,08/03/22 15:31:00,08/03/22 15:46:00,08/03/22 16:01:00,08/03/22 16:16:00,08/03/22 16:31:00,08/03/22 16:46:00,08/03/22 17:01:00,08/03/22 17:16:00,08/03/22 17:31:00,08/03/22 17:46:00,08/03/22 18:01:00,08/03/22 18:16:00,08/03/22 18:31:00,08/03/22 18:46:00,08/03/22 19:01:00,08/03/22 19:16:00,08/03/22 19:31:00,08/03/22 19:46:00,08/03/22 20:01:00,08/03/22 20:16:00,08/03/22 20:31:00,08/03/22 20:46:00,08/03/22 21:01:00,08/03/22 22:01:00,08/03/22 22:46:00,08/03/22 23:01:00,08/03/22 23:16:00,08/03/22 23:31:00,08/03/22 23:46:00,08/04/22 00:01:00
max_amp,0.0017043540857118976,0.00208903495061218,0.0021958609422178866,0.0019267854334090657,0.001893865958782358,0.00162650460341463,0.001903148654232174,0.0020870694603202116,0.0019056533255688167,0.0019041046011509463,0.0020278816009720074,0.0019462202904923411,0.0024625756111846184,0.001885744788770247,0.001735956052374498,0.0016379521255873864,0.0017673706432956124,0.001948173841348758,0.001667964494619012,0.001781068364293703,0.001768809048275302,0.002069556353025966,0.0021019519781401677,0.0017861186834164382,0.0017361476931896285,0.0019187994615357902,0.0016036939651994972,0.001563749378184211,0.0017165466631481722,0.0017685794995379288,0.0015416122090476914,0.0017674946680189324,0.0022891419697493717,0.0020320748789076437,0.0016425262159230835,0.0016975151154611917,0.0018517448232944595,0.00220871755730749,0.0018024535301681317,0.0016429746376508956,0.002057229240710356,0.0017117293369556378,0.0016929890705193256,0.002047022750013171,0.001445122706439812,0.0016968040762679931,0.002062338235564408,0.0016748034277818261,0.0016328687671271645,0.0018742490717663762,0.0016884280208410288,0.0019447472690538848,0.0019505922429623444,0.0015250669001953745,0.0014339850791541388,0.0019275409699398675,0.0016036991749600704,0.0016425674532847252,0.002355152605411006,0.009343335575702572,0.18826590659251863,0.136281969549404,0.09781667389997424,0.06805652172816028,0.07719920496202562,0.08682960681014838,0.0906957967546117,0.07390861954487336,0.08093178285977108,0.0651869457276455,0.054264470477817774,0.04993554332237428,0.03670799109703198,0.038721086372239484,0.0323148359363375,0.01866262338215101,0.017521814070789295,0.016054087251955458,0.01554493792088632,0.014504252242552905,0.016021665617294355,0.01506183393298541,0.013223669774906854,0.012903196562877892,0.01197498840523225,0.013917540339935105,0.01584565696205494,0.016617334394719543,0.013258606440022122,0.013005876887253702,0.016367615653901383,0.012699604560421107
mean_amp,0.0013033854169518919,0.0013519377016548869,0.0014365938756192155,0.001490489489633289,0.001296166730642072,0.0012084985825996939,0.0013250780163263566,0.0013993258372449666,0.001411137722682726,0.0013601840797122769,0.0013488991994129351,0.0013801496590128335,0.0013232323459634345,0.0013125245445447806,0.001097819475732284,0.0011151252694950706,0.001191275691096388,0.001215053169155978,0.001220592764181224,0.0011683910861694901,0.0012060177617704876,0.0012732054289052738,0.0014378314577863807,0.0012949516810966241,0.0012042995445637125,0.0011784271801808237,0.0011325149672294014,0.0011040396196439041,0.0011029347955370864,0.001173048022883343,0.0010396000064089746,0.0010930310695605725,0.0012662063413296021,0.001289566484467515,0.0011392836798020938,0.0011740267191263968,0.0012975182361053363,0.0012329033041966974,0.0011999742365374083,0.0011332951167356351,0.001296982427015908,0.001189462935946583,0.0011524160088763672,0.0011916496992035322,0.0010715623165458577,0.0010599143577643179,0.0011884648404196668,0.0011629285587037813,0.0012057926507093623,0.0012454500938997432,0.001230769159358424,0.0011698458024820323,0.001186133523167574,0.0010939029714512871,0.0009723406247410945,0.00098942588589852,0.0010444606974952173,0.0011529365077442932,0.001297518743219491,0.005166348594605825,0.12047028998816571,0.09592272434081937,0.07091988919298248,0.048126003077945415,0.05707116641158482,0.06961750112686274,0.06223809133978849,0.056483561103875236,0.053401079756631005,0.04955578478222806,0.042021329731842624,0.0332881747107017,0.02603370364366574,0.022332363651714603,0.01850347181542583,0.013846075967002885,0.013382571971571191,0.011303826152790625,0.008997256204825221,0.00951521954521953,0.010585048304414476,0.01051039263834718,0.009569324723204516,0.00944355532077861,0.008958032819503838,0.009711227596725842,0.009688592278172816,0.01040866734935709,0.009510609875458475,0.008557723277734106,0.009507215423302694,0.008982188288928616
median_amp,0.0013032963462589848,0.001342288612244796,0.0013554491068800078,0.0014950279173085949,0.0012868846667137774,0.0011706721169918526,0.001289972178044261,0.0013532572233390869,0.001414519558779336,0.0013726429077424809,0.001342608287800045,0.0013645343892640625,0.0013172215510006628,0.0012588541720440507,0.0010611681830899984,0.0011035128782040178,0.0011490077705631643,0.001191368150414665,0.001205653047100103,0.0011555366990154432,0.0011564312875616853,0.001230558685928567,0.0013972729603865881,0.0012849538397296657,0.0011766660346043327,0.0011317484109893401,0.0011037802422642976,0.0010752184762971425,0.0010839772074360595,0.0011603574230372247,0.0010251436333091187,0.001067435562366293,0.0012112556267015685,0.001257858613646416,0.0011018341786266646,0.0011630600258039248,0.001317202584586997,0.0012075743808646717,0.001149876598417414,0.0010995934580247495,0.0012728802883438788,0.0011586368450168414,0.001108932697250418,0.001146748392384944,0.0010796183258391136,0.0010206388664164086,0.0011524876230581118,0.001128893315620261,0.0012070745154315818,0.0011977111935617584,0.0012311723365203333,0.0011635785147644058,0.0011766921570108763,0.0010717818564067545,0.0009326448997762748,0.0009611130167370646,0.0010049715784687008,0.0011158166982822046,0.0012612657474432337,0.005119071637239678,0.12180320163838751,0.09385965871195662,0.06986656498940187,0.04715750224592344,0.0559898017728193,0.06831500620301276,0.06164674262818626,0.0556802064090738,0.05188404861688216,0.04848418585694299,0.04071512533122271,0.0334060248160513,0.026181622894731527,0.022035554614195416,0.017812532748558613,0.013618254883731074,0.01323765214967175,0.011177385479205144,0.008994598508589084,0.009316189237244973,0.010231998671123083,0.010206699762980304,0.009483805033460323,0.009341064637535186,0.009183646577136304,0.009214766401051799,0.009378579481253417,0.010280897141107963,0.009441621508181609,0.008613267738267469,0.009004074399355036,0.008694937538145528
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,603,149,72,22,42,62,35,27,42,17,7,6,6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5760,7495,4335,1615,2419,3823,3044,2520,1979,1762,1144,579,313,175,138,67,62,38,24,29,44,34,30,37,19,28,23,35,25,20,19,13
impulses_ch3,0,2,2,3,2,1,5,6,3,2,4,1,2,3,3,2,2,5,1,1,6,2,3,2,0,3,2,3,3,5,0,2,4,2,0,2,8,1,1,1,1,2,2,2,2,3,3,0,0,5,0,6,4,1,1,4,2,9,15,290,10314,11232,13736,13794,13957,13319,13664,13985,13688,13857,12938,10528,7642,6060,4052,2285,1853,1383,797,900,1112,988,997,934,944,994,964,1232,932,742,890,792
impulses_ch2,221,243,226,189,191,184,207,217,205,195,198,226,208,200,110,127,170,152,168,135,169,154,259,183,146,159,151,139,140,146,111,132,172,213,170,175,202,190,127,132,179,168,127,158,115,112,160,163,176,185,195,144,165,125,102,98,113,216,244,3309,3664,3249,4759,6885,5816,4598,5362,5849,6195,6766,7587,9429,11585,12786,13844,14765,14690,14338,11596,11423,12175,12108,10153,8946,8781,10030,9908,10345,9182,8638,9269,9183
impulses_ch1,4313,4394,5188,6517,4372,3514,4109,4849,5341,5240,4678,4645,4006,3986,2817,3110,3581,3709,3564,3412,3377,3937,4957,4013,3739,3655,3065,2981,2893,3263,2675,2805,3658,3725,3065,3145,3702,3681,3431,3059,4295,3214,3142,3327,2732,2576,3319,3088,3465,3582,3421,3089,3172,2889,2148,2241,2551,2959,3531,11217,867,745,1145,1758,1454,1104,1292,1490,1641,1734,2073,2596,3467,4060,4939,6491,6660,7809,9950,9877,8394,7626,9430,9563,9975,9291,9202,8904,9580,10010,9580,9603
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18826590659251863,0.0,0.0,0.0,0.05414373194851488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
