,08/08/22 00:01:00,08/08/22 00:16:00,08/08/22 00:31:00,08/08/22 00:46:00,08/08/22 01:01:00,08/08/22 01:16:00,08/08/22 01:31:00,08/08/22 01:46:00,08/08/22 02:01:00,08/08/22 02:16:00,08/08/22 02:31:00,08/08/22 02:46:00,08/08/22 03:01:00,08/08/22 03:16:00,08/08/22 03:31:00,08/08/22 03:46:00,08/08/22 04:01:00,08/08/22 04:16:00,08/08/22 04:31:00,08/08/22 04:46:00,08/08/22 05:01:00,08/08/22 05:16:00,08/08/22 05:31:00,08/08/22 05:46:00,08/08/22 06:01:00,08/08/22 06:16:00,08/08/22 06:31:00,08/08/22 06:46:00,08/08/22 07:01:00,08/08/22 07:16:00,08/08/22 07:31:00,08/08/22 07:46:00,08/08/22 08:01:00,08/08/22 08:16:00,08/08/22 08:31:00,08/08/22 08:46:00,08/08/22 09:01:00,08/08/22 09:16:00,08/08/22 09:31:00,08/08/22 09:46:00,08/08/22 10:01:00,08/08/22 10:16:00,08/08/22 10:31:00,08/08/22 10:46:00,08/08/22 11:01:00,08/08/22 11:16:00,08/08/22 11:31:00,08/08/22 11:46:00,08/08/22 12:01:00,08/08/22 12:16:00,08/08/22 12:31:00,08/08/22 12:46:00,08/08/22 13:01:00,08/08/22 13:16:00,08/08/22 13:31:00,08/08/22 13:46:00,08/08/22 14:01:00,08/08/22 14:16:00,08/08/22 14:31:00,08/08/22 14:46:00,08/08/22 15:01:00,08/08/22 15:16:00,08/08/22 15:31:00,08/08/22 15:46:00,08/08/22 16:01:00,08/08/22 16:16:00,08/08/22 16:31:00,08/08/22 16:46:00,08/08/22 17:01:00,08/08/22 17:16:00,08/08/22 17:31:00,08/08/22 17:46:00,08/08/22 18:01:00,08/08/22 18:16:00,08/08/22 18:31:00,08/08/22 18:46:00,08/08/22 19:01:00,08/08/22 19:16:00,08/08/22 19:31:00,08/08/22 19:46:00,08/08/22 20:01:00,08/08/22 20:16:00,08/08/22 20:31:00,08/08/22 20:46:00,08/08/22 21:01:00,08/08/22 21:16:00,08/08/22 21:31:00,08/08/22 21:46:00,08/08/22 22:01:00,08/08/22 22:16:00,08/08/22 22:31:00,08/08/22 22:46:00,08/08/22 23:01:00,08/08/22 23:16:00,08/08/22 23:31:00,08/08/22 23:46:00,08/09/22 00:01:00
max_amp,0.0004037542404888785,0.0004176420176401568,0.000516041998181195,0.0003648501047534987,0.0004259407685492113,0.0003605538254387146,0.0004651648840153921,0.0005086350055821344,0.0004311308261975942,0.000513607562767489,0.00041733503324958355,0.0004109072667213151,0.00037822161788980674,0.0004080343306313725,0.0003813974158464312,0.0004023239989667156,0.0003939105516275669,0.0004001058929104353,0.00041546475579635496,0.0003524776547428913,0.000373150736160636,0.00046424372765076774,0.0003505170262279556,0.0004278570274106036,0.00038210801413969645,0.00034093738586014194,0.0004114167329883771,0.0003587028776435593,0.00035035909316950625,0.00039772923265965824,0.00040178544071456146,0.0003741639321756756,0.00041916940839814706,0.00044845287761587175,0.00039908279571099225,0.0003894971338512665,0.0003958104505781706,0.0004421898859814162,0.000369076022312984,0.000398867643998014,0.00043008707248118295,0.00037625665627791916,0.0004118119365367848,0.00033889914438251564,0.00041273584058171465,0.00036210144732054793,0.0003740673363759772,0.0003646076737805272,0.0003445313518980735,0.00042328297270508854,0.00038360513703772955,0.00039956276466227003,0.00046176650118207675,0.00045735943531811403,0.0003992319378786949,0.00035445171034852706,0.00028389298983833066,0.0003294045936275766,0.0003471302520562093,0.00041351190283820126,0.00043023849624196185,0.00038203823520002777,0.000356208291673165,0.0003804975046629274,0.0003355431653712947,0.0003382194233672511,0.0003372429405361281,0.000333766727165643,0.00028834556065041175,0.0003416195045498846,0.00032663710157503507,0.0003277580401831724,0.00035006269442548526,0.00033023527966030344,0.0003771815903821916,0.00030212367703263444,0.00031320771251717484,0.0003619842428265063,0.0003243375696542588,0.00032908358619898896,0.0003192726953851194,0.00028459833388007523,0.00033187648420319354,0.0003059640419896262,0.0002940985764773884,0.0003177598156885213,0.00026810955988127745,0.0003126792187545449,0.0003235236056093966,0.00029253696285925633,0.000311231719254214,0.00033030635508276207,0.0002788091404777136,0.000313055690049475,0.000302957167000112,0.0003056152431764248,0.00035776865828870204
mean_amp,0.0002869673912935607,0.00027586018075983094,0.0002926281101361859,0.00028083558998904975,0.0002862981845376413,0.0002869230080313764,0.000292682110267398,0.00029686342809482583,0.00030155652034997423,0.00028597926620815806,0.0002912709575454859,0.00028423831910136883,0.0002838201015493673,0.0002828394825242861,0.0002775912669802173,0.00028139941111785454,0.00026732323244956657,0.000276730785659204,0.000276534486254435,0.00026689050940698365,0.0002757657021725431,0.0002720424096801974,0.00026905884463738783,0.00027384777236152215,0.00027234083550723635,0.00025310834760846273,0.00025898002261355807,0.0002540676554828134,0.00026249718320773565,0.0002558828234079378,0.00025769399180239095,0.00025408322398458836,0.0002588752320555461,0.0002575960896310456,0.0002534409449223058,0.0002531079279976654,0.0002592726498253035,0.00026896683900063696,0.0002567284236281439,0.0002518837353165007,0.00025987524819796865,0.0002721542777430593,0.00026581833760825317,0.0002519927134924344,0.0002607334653523996,0.00026231394975727366,0.00025362894462386686,0.00025122991549176926,0.0002609749001679195,0.0002504282623968223,0.00023883359633130298,0.00025173509102430414,0.0002973967151273666,0.0002936255220673305,0.000275789079318242,0.0002109399821613644,0.0002056143832996489,0.0002607931527243729,0.00028755611938531886,0.0003098283882607342,0.00032435270454857413,0.0002831744789426211,0.0002901228079545683,0.00027990572939087506,0.0002556893472495998,0.0002457430841172972,0.0002367397957182706,0.00022992756192524066,0.00023718930039058988,0.00022633254996406207,0.00021898389601030443,0.0002394815653559093,0.00024052336139312902,0.0002491508863490225,0.0002208934412644843,0.00021619059220660326,0.00020374368231909024,0.0002111757274240234,0.00020831126360806954,0.00020648517438449045,0.00021178626075651032,0.00019770735707954669,0.00020692314924806155,0.00019936464981231328,0.0002032226514770831,0.0002043058520845833,0.0002017322274841926,0.00020146515340517524,0.0002066254783798462,0.00020686426760379962,0.0002116987734985083,0.00021410295062937644,0.00019921570791300608,0.0002086188453747904,0.00020743557510123314,0.00020836139615955726,0.00021678082925945263
median_amp,0.00028186399304990195,0.0002631366173197848,0.0002815452979236066,0.00027902201221653613,0.0002768580218203723,0.00028293406909132537,0.00028805612136593485,0.0002840546300095203,0.00029799887635654566,0.0002857238368830652,0.0002915306829780724,0.00027007754259882413,0.0002790690833144458,0.0002784321780848105,0.00026859918281625075,0.000283621512248935,0.000265123086788587,0.0002693418302770989,0.00026867678077760585,0.000260013272831726,0.000278441562162536,0.00026680596606684333,0.00027001183491848706,0.0002693405484661576,0.0002657197853799011,0.00024935198718021917,0.00025262777563516884,0.00025512295408674704,0.0002584079579657578,0.00024651766484112716,0.0002533915347263814,0.00024525117465617536,0.0002574846422651471,0.0002551234859904601,0.0002481840127146437,0.00024557977542804404,0.00025463370796572997,0.00027107543321019717,0.00025396089046723826,0.00023671024258549117,0.0002496578502903443,0.0002691094059197091,0.0002583822150636668,0.00024540550043506765,0.00025290249032911493,0.00026465312194849243,0.0002525673448725768,0.00025055726482774393,0.0002581701157779679,0.0002385854973147136,0.00023520511755582152,0.0002480244305922527,0.0002959227738490713,0.00028981471444305127,0.00027017715555168137,0.0002017108791800414,0.0002009810208850698,0.00025362191003363795,0.0002858361115418132,0.0003097236533715945,0.0003210464093443383,0.0002780548976514859,0.0002861567969164972,0.00027225558972744017,0.0002579701536994492,0.0002486476967065209,0.00023074032772638274,0.00022372269613048278,0.00023658560488484343,0.00022074802582919335,0.00021421789482035738,0.00023883939549325004,0.00023410795223646004,0.0002509537275561855,0.00021495236437729025,0.0002101766827214246,0.00019734284325252733,0.00020628738230246961,0.0002063927388124548,0.0002021064533391359,0.0002077479468062773,0.00018809374710490202,0.00019992041334665047,0.00019102757255083297,0.00020160695455382228,0.00020614289648383875,0.00020002280018127473,0.00020281927067831708,0.00020788375849680027,0.0002050883247995967,0.00020990178975924045,0.00021324547724315562,0.00019491206905246163,0.00020549429743517777,0.00020356784376741606,0.00020065146347014569,0.00021173130416079456
impulses_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch2,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
impulses_ch1,172.0,133.0,159.0,147.0,166.0,198.0,180.0,209.0,188.0,148.0,194.0,183.0,145.0,171.0,153.0,153.0,139.0,139.0,164.0,133.0,115.0,158.0,138.0,154.0,170.0,105.0,139.0,104.0,135.0,125.0,110.0,106.0,126.0,139.0,114.0,128.0,130.0,141.0,149.0,129.0,165.0,117.0,130.0,119.0,116.0,138.0,112.0,126.0,142.0,146.0,110.0,136.0,182.0,208.0,168.0,92.0,19.0,44.0,45.0,67.0,95.0,56.0,67.0,46.0,34.0,41.0,56.0,46.0,41.0,49.0,42.0,55.0,42.0,48.0,29.0,36.0,67.0,59.0,52.0,45.0,65.0,36.0,57.0,54.0,77.0,49.0,47.0,64.0,66.0,60.0,94.0,95.0,53.0,61.0,67.0,63.0,90.0
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
