Time,Turbidity,fDOM
8/8/2022 12:00,2.43,29.88
8/8/2022 12:15,2.47,29.96
8/8/2022 12:30,2.37,29.94
8/8/2022 12:45,2.8,29.77
8/8/2022 13:00,2.61,30.27
8/8/2022 13:15,3.6,31.16
8/8/2022 13:30,3.48,34.96
8/8/2022 13:45,4.61,35.67
8/8/2022 14:00,5.89,38.96
8/8/2022 14:15,11.69,41.61
8/8/2022 14:20,12.72,43.55
8/8/2022 14:25,13.5,46.95
8/8/2022 14:30,15.13,51.36
8/8/2022 14:35,18.62,58.02
8/8/2022 14:40,21.86,59.25
8/8/2022 14:45,22.83,62.04
8/8/2022 14:50,21.92,62.92
8/8/2022 14:55,20.84,63.83
8/8/2022 15:00,20.05,64.95
8/8/2022 15:05,18.39,64.7
8/8/2022 15:10,16.8,61.67
8/8/2022 15:15,15.8,66.96
8/8/2022 15:20,15.03,67.66
8/8/2022 15:25,13.19,68.93
8/8/2022 15:30,13.95,69.78
8/8/2022 15:35,13.29,70.73
8/8/2022 15:40,12.38,70.97
8/8/2022 15:45,11.9,71.88
8/8/2022 15:50,11.27,71.79
8/8/2022 15:55,10.83,71.36
8/8/2022 16:00,10.49,71.62
8/8/2022 16:05,9.96,72.13
8/8/2022 16:10,9.61,72.5
8/8/2022 16:15,9.44,72.33
8/8/2022 16:30,8.56,73.44
8/8/2022 16:45,7.79,73.34
8/8/2022 17:00,7.57,74.08
8/8/2022 17:15,7.04,73.38
8/8/2022 17:30,6.67,74.26
8/8/2022 17:45,6.33,74.82
8/8/2022 18:00,6.09,76.41
8/8/2022 18:15,5.9,75.98
8/8/2022 18:30,5.76,75.37
8/8/2022 18:45,5.65,73.22
8/8/2022 19:00,5.47,75.76
8/8/2022 19:15,5.22,75.61
8/8/2022 19:30,5.19,75.58
8/8/2022 19:45,5.05,75.45
8/8/2022 20:00,4.99,75.04
8/8/2022 20:15,4.96,74.65
8/8/2022 20:30,4.98,74.1
8/8/2022 20:45,4.72,73.41
8/8/2022 21:00,4.77,73.29
8/8/2022 21:15,4.66,72.7
8/8/2022 21:30,4.54,72.18
8/8/2022 21:45,4.52,71.64
8/8/2022 22:00,4.43,71.09
8/8/2022 22:15,4.42,70.56
8/8/2022 22:30,4.26,70
8/8/2022 22:45,4.21,69.38
8/8/2022 23:00,4.18,68.84
8/8/2022 23:15,4.11,68.26
8/8/2022 23:30,4.05,67.76
8/8/2022 23:45,4.03,67.18
8/9/2022 0:00,4.03,66.7
