Time,Turbidity,fDOM
8/3/2022 13:00,2.07,27.1
8/3/2022 13:15,2.1,27.11
8/3/2022 13:30,2.1,26.93
8/3/2022 13:45,1.99,26.85
8/3/2022 14:00,2.05,26.79
8/3/2022 14:15,2.11,26.84
8/3/2022 14:30,2.04,26.92
8/3/2022 14:45,3.04,27.4
8/3/2022 15:00,18.11,32.36
8/3/2022 15:05,26.81,34.04
8/3/2022 15:10,25.93,38.71
8/3/2022 15:15,22.16,45.55
8/3/2022 15:20,16.68,51.48
8/3/2022 15:25,13.37,58.2
8/3/2022 15:30,11.8,64.89
8/3/2022 15:35,11.45,66.76
8/3/2022 15:40,10.31,66.18
8/3/2022 15:45,10.98,64.42
8/3/2022 15:50,9.74,64.43
8/3/2022 15:55,9.89,65.26
8/3/2022 16:00,10.06,66.24
8/3/2022 16:05,11.08,67.32
8/3/2022 16:10,12.25,68.51
8/3/2022 16:15,12.71,70.7
8/3/2022 16:20,13.47,70.28
8/3/2022 16:25,13.68,72.53
8/3/2022 16:30,17.51,71.16
8/3/2022 16:35,14.24,73.47
8/3/2022 16:40,16.62,72.79
8/3/2022 16:45,16.35,71.75
8/3/2022 16:50,15.1,68.05
8/3/2022 16:55,14.71,72.17
8/3/2022 17:00,13.79,74.38
8/3/2022 17:05,13.49,75.04
8/3/2022 17:10,13.13,75.86
8/3/2022 17:15,12.38,76.52
8/3/2022 17:20,12.09,75.77
8/3/2022 17:25,11.92,74.76
8/3/2022 17:30,11.45,70.75
8/3/2022 17:35,11.08,75.2
8/3/2022 17:40,10.83,75.39
8/3/2022 17:45,10.63,74.63
8/3/2022 17:50,10.48,74.48
8/3/2022 17:55,10.31,73.96
8/3/2022 18:00,9.73,73.45
8/3/2022 18:15,9.25,71.92
8/3/2022 18:30,8.51,70.43
8/3/2022 18:45,8.16,69.05
8/3/2022 19:00,7.63,67.8
8/3/2022 19:15,7.52,66.63
8/3/2022 19:30,7.19,65.49
8/3/2022 19:45,7.01,64.56
8/3/2022 20:00,6.63,63.37
8/3/2022 20:15,6.52,60.91
8/3/2022 20:30,6.31,61.48
8/3/2022 20:45,6.05,60.46
8/3/2022 21:00,6.04,59.73
8/3/2022 21:15,5.75,59
8/3/2022 21:30,5.64,58.2
8/3/2022 21:45,5.44,57.57
8/3/2022 22:00,5.31,56.79
8/3/2022 22:15,5.33,56.25
8/3/2022 22:30,5.19,55.53
8/3/2022 22:45,5.37,54.98
8/3/2022 23:00,5.01,55.08
8/3/2022 23:15,5,54.62
8/3/2022 23:30,4.81,54.21
8/3/2022 23:45,4.73,53.67
8/4/2022 0:00,4.8,53.02
8/4/2022 0:15,4.71,52.39
8/4/2022 0:30,4.58,51.84
8/4/2022 0:45,4.52,51.52
8/4/2022 1:00,4.52,50.96
8/4/2022 1:15,4.43,50.64
8/4/2022 1:30,4.47,50.15
8/4/2022 1:45,4.4,49.64
8/4/2022 2:00,4.34,49.19
8/4/2022 2:15,4.24,48.83
8/4/2022 2:30,4.26,48.5
8/4/2022 2:45,4.23,48.19
8/4/2022 3:00,4.34,47.81
8/4/2022 3:15,4.24,47.46
8/4/2022 3:30,4.27,47.11
8/4/2022 3:45,4.16,46.86
8/4/2022 4:00,4.1,46.53
8/4/2022 4:15,4.07,46.26
8/4/2022 4:30,4.15,46.01
8/4/2022 4:45,4.14,45.65
8/4/2022 5:00,4.04,45.48
8/4/2022 5:15,3.98,45.23
8/4/2022 5:30,4.15,45
8/4/2022 5:45,3.99,44.7
8/4/2022 6:00,4.03,44.53
8/4/2022 6:15,3.98,44.3
8/4/2022 6:30,4,44.2
8/4/2022 6:45,3.94,44
8/4/2022 7:00,3.92,43.84
8/4/2022 7:15,3.93,43.62
8/4/2022 7:30,3.88,43.64
8/4/2022 7:45,3.89,43.54
8/4/2022 8:00,3.87,43.41
8/4/2022 8:15,3.81,43.21
8/4/2022 8:30,3.81,43.07
8/4/2022 8:45,3.8,42.93
8/4/2022 9:00,3.72,42.8
8/4/2022 9:15,3.75,42.69
8/4/2022 9:30,3.74,42.51
8/4/2022 9:45,3.77,42.36
8/4/2022 10:00,3.71,42.09
