Time,Turbidity,fDOM,P2 (depth),P3(depth),avg depth,q
8/8/2022 12:00,2.43,29.88,0.136659941,0.247965178,0.192312559,1.488206545
8/8/2022 12:15,2.47,29.96,0.136658824,0.245630763,0.191144794,1.488106232
8/8/2022 12:30,2.37,29.94,0.134904775,0.246210376,0.190557576,1.337720307
8/8/2022 12:45,2.8,29.77,0.137826817,0.249132886,0.193479851,1.596302665
8/8/2022 13:00,2.61,30.27,0.140157987,0.24971223,0.194935108,1.833105312
8/8/2022 13:15,3.6,31.16,0.143670314,0.256729698,0.200200006,2.248205378
8/8/2022 13:30,3.48,34.96,0.146581672,0.262565359,0.204573516,2.652705539
8/8/2022 13:45,4.61,35.67,0.150083516,0.260811476,0.205447496,3.222910225
8/8/2022 14:00,5.89,38.96,0.155917288,0.27190225,0.213909769,4.413966756
8/8/2022 14:15,11.69,41.61,0.164746547,0.280660697,0.223253622,6.952070909
8/8/2022 14:30,15.13,51.36,0.164770337,0.290011828,0.229391083,6.960354441
8/8/2022 14:45,22.83,62.04,0.169932894,0.296430045,0.23318147,6.986936552
8/8/2022 15:00,20.05,64.95,0.162344454,0.299934214,0.231139334,6.158964524
8/8/2022 15:15,15.8,66.96,0.16117311,0.299934214,0.230553662,5.801922905
8/8/2022 15:30,13.95,69.78,0.158840765,0.299353916,0.229097341,5.14473918
8/8/2022 15:45,11.9,71.88,0.158841525,0.299354666,0.229098096,5.14494219
8/8/2022 16:00,10.49,71.62,0.155338405,0.29760366,0.226471033,4.280619267
8/8/2022 16:15,9.44,72.33,0.155931009,0.29469222,0.225311614,4.417171217
8/8/2022 16:30,8.56,73.44,0.154180993,0.29294254,0.223561766,4.024577733
8/8/2022 16:45,7.79,73.34,0.157096071,0.291182063,0.224139067,4.696836233
8/8/2022 17:00,7.57,74.08,0.154183886,0.288269877,0.221226882,4.025200554
8/8/2022 17:15,7.04,73.38,0.152422567,0.285927842,0.219175205,3.661317044
8/8/2022 17:30,6.67,74.26,0.154175429,0.286509232,0.22034233,4.023380122
8/8/2022 17:45,6.33,74.82,0.151842337,0.284176113,0.218009225,3.547946575
8/8/2022 18:00,6.09,76.41,0.15242278,0.28242363,0.217423205,3.66135924
8/8/2022 18:15,5.9,75.98,0.153593756,0.285937648,0.219765702,3.89989354
8/8/2022 18:30,5.76,75.37,0.152421565,0.279508697,0.215965131,3.661118553
8/8/2022 18:45,5.65,73.22,0.150668357,0.279507677,0.215088017,3.327958194
8/8/2022 19:00,5.47,75.76,0.152419333,0.279506511,0.215962922,3.660676439
8/8/2022 19:15,5.22,75.61,0.15066609,0.276581853,0.213623972,3.327545261
8/8/2022 19:30,5.19,75.58,0.150665097,0.279494459,0.215079778,3.327364401
8/8/2022 19:45,5.05,75.45,0.150664208,0.277741477,0.214202843,3.32720249
8/8/2022 20:00,4.99,75.04,0.14950195,0.274827252,0.212164601,3.121351142
8/8/2022 20:15,4.96,74.65,0.147749316,0.274826709,0.211288012,2.832087199
8/8/2022 20:30,4.98,74.1,0.147748563,0.275406614,0.211577588,2.831968167
8/8/2022 20:45,4.72,73.41,0.145995784,0.271901822,0.208948803,2.566519511
8/8/2022 21:00,4.77,73.29,0.147746943,0.271901043,0.209823993,2.831712097
8/8/2022 21:15,4.66,72.7,0.146574775,0.275404337,0.210989556,2.651676358
8/8/2022 21:30,4.54,72.18,0.145993293,0.271899576,0.208946434,2.566158395
8/8/2022 21:45,4.52,71.64,0.144821272,0.272479521,0.208650396,2.40112323
8/8/2022 22:00,4.43,71.09,0.146572458,0.272478919,0.209525688,2.651330691
8/8/2022 22:15,4.42,70.56,0.146571704,0.271897577,0.209234641,2.651218212
8/8/2022 22:30,4.26,70,0.144819192,0.270725662,0.207772427,2.400838837
8/8/2022 22:45,4.21,69.38,0.143657231,0.267811954,0.205734593,2.246517547
8/8/2022 23:00,4.18,68.84,0.144817833,0.268972531,0.206895182,2.40065304
8/8/2022 23:15,4.11,68.26,0.14656901,0.268972036,0.207770523,2.650816366
8/8/2022 23:30,4.05,67.76,0.146568451,0.267219713,0.206894082,2.65073299
8/8/2022 23:45,4.03,67.18,0.144816283,0.26780993,0.206313106,2.400441147
8/9/2022 0:00,4.03,66.7,0.143644471,0.267218837,0.205431654,2.244872458
