Concentration (mg/L),D50
106.21,74.67
51.233,45.328
59.16,68.435
48.47,66.54
78.71,47.095
45.42,78.83
74.75,68.87
56.59,57.345
27.230,49.800
63.56,74.05
85.89,79.16
50.13,58.66
44.99,102.87
35.73,68.71
31.62,76.46
25.42,78.58
68.76,86.67
50.92,71.05
33.08,50.79
77.49,86.2
93.40,103.31
94.40,65.48
97.05,73.68
96.90,48.90
92.95,93.48
95.55,53.79
96.63,47.58
97.07,30.72
96.80,22.36
96.80,30.83
97.00,24.91
95.85,67.13
96.98,51.68
96.33,57.56
95.38,63.54
97.30,66.59
96.53,46.75
96.20,27.12
96.83,56.02
96.70,43.66
96.73,85.50
95.60,64.14
96.40,39.62
91.03,87.10
95.70,26.28
96.60,35.26
95.50,72.78
96.20,25.16
95.10,99.54
96.20,40.12
96.83,25.61
96.60,30.82
