Concentration (mg/L),D50
206.82,73.56
142.53,62.62
31.82,60.99
55.06,52.93
36.44,53.04
66.04,48.97
39.15,47.88
23.32,43.69
204.03,47.79
105.77,52.41
68.83,52.83
36.65,52.74
25.92,49.87
19.05,58.19
18.36,57.25
76.44,60.85
327.453,58.62333333
241.809,43.32666667
158.525,31.1975
132.472,47.942
98.910,37.68666667
90.357,40.83
84.562,63.396
69.045,53.68166667
59.01,50.762
50.82,49.308
42.72,35.21
48.345,51.8225
74.882,52.998
98.146,74.874
91.214,67.73
74.508,72.894
52.01,48.816
52.247,65.50166667
48.755,59.456
48.024,60.0075
44.088,68.61
37.737,76.40666667
223.614,34.544
200.690,28.584
231.914,39.4225
233.2525,50.475
124.56,44.346
210.4575,52.925
116.066,45.988
113.2575,52.728
81.15,49.8075
56.15,44.7425
83.528,46.058
72.105,50.4025
67.61,51.93333333
70.3,59.06
67.88,56.53
84.66,78.86
67.57,82.1
54.936,51.824
75.338,50.37
59.166,50.552
50.774,55.232
232.052,63.43
143.896,66.166
104.006,52.12
88.144,57.696
92.256,56.002
87.688,56.87
95.622,71.586
82.494,55.464
77.09,52.92666667
69.395,47.8725
65.814,65.116
79.97,71.525
